DataID,Date,ChannelGroup,DeviceCategory,TotalUsers,NewUsers,Sessions,Purchases,Revenue
60059,2024-01-07,Organic Search,desktop,905,597,1258,62,2666
60060,2024-12-08,Email,Desktop,176,119,220,4,352
60061,2024-11-12,Referral,desktop,147,83,173,3,327
60062,2024-03-13,email,smart tv,917,513,1008,20,2580
60063,2024-09-17,email,tablet,1837,1083,2450,49,5684
60064,2024-06-27,Email,desktop,1439,1021,1694,33,1023
60065,2024-08-30,Social,mobile,445,338,557,11,1430
60066,2024-01-03,Social,tablet,1139,683,1295,25,950
60067,2024-02-11,Paid Search,desktop,2664,1092,2835,141,19458
60068,2024-01-25,Referral,desktop,2004,1242,2278,45,4905
60069,2024-04-21,Organic Search,desktop,1156,751,1360,68,1428
60070,2024-02-04, direct ,mobile,1943,1282,2068,165,11055
60071,2024-05-18, direct ,Desktop,377,177,434,34,2346
60072,2024-03-13, direct ,Desktop,1278,766,1579,126,4410
60073,05/06/2024,Paid Search,mobile,1511,921,1889,94,6204
60074,2024-01-26,Email,desktop,125,93,163,3,192
60075,2024-06-04,Paid Search,Desktop,1383,1009,1821,91,12194
60076,2024-06-18,Social,Desktop,1927,1310,2471,49,3822
60077,2024-03-01,email,Desktop,1306,731,1866,37,3774
60078,2024-07-30,Direct,desktop,1964,1355,2728,218,13734
60079,2024-07-25,Social,mobile,846,532,1020,20,1600
60080,2024-08-11,Direct,mobile,1478,798,1760,140,8540
60081,2024-11-11,Direct,smart tv,1482,874,1925,154,
60082,2024-08-12,Referral,Desktop,408,208,492,9,873
60083,2024-06-04,Paid Search,mobile,1304,534,1787,89,9523
60084,2024-09-17,email,desktop,1154,750,-1480,29,3944
60085,2024-01-11,Email,smart tv,177,118,234,4,196
60086,2024-04-18,Referral,mobile,523,402,569,11,1331
60087,2024-04-04,Organic Search,smart tv,107,57,145,7,700
60088,2024-11-15,email,smart tv,207,124,256,5,525
60089,2024-06-09,Email,mobile,123,84,133,2,232
60090,2024-06-01, direct ,desktop,1716,1235,2288,183,20130
60091,2024-11-16, direct ,tablet,565,412,615,49,1372
60092,2024-05-24,Social,smart tv,197,108,244,4,480
60093,2024-06-17,Referral,Desktop,814,504,1163,23,2760
60094,2024-08-16,Direct,mobile,1116,881,1431,114,16644
60095,2024-02-07,Social,mobile,410,205,563,11,407
60096,10/20/2024,email,tablet,931,521,1226,24,3480
60097,2024-05-06,Organic Search,mobile,304,145,362,18,1026
60098,2024-06-14,Social,smart tv,2598,1117,2920,58,4234
60099,2024-10-02,Referral,tablet,195,144,233,4,352
60100,12/07/2024,email,desktop,1625,942,2322,46,2024
60101,2024-12-03,email,tablet,2039,1203,2582,51,3468
60102,02/27/2024,Paid Search,Desktop,1208,676,1299,64,6592
60103,2024-09-18,Paid Search,desktop,1835,1119,2294,114,9918
60104,2024-04-28,Paid Search,desktop,858,523,965,48,2304
60105,2024-02-03,email,mobile,235,164,253,5,110
60106,2024-08-14,email,smart tv,1979,1266,2639,52,6656
60107,2024-11-02,Social,smart tv,667,460,878,17,714
60108,2024-05-23,email,smart tv,989,682,1319,26,572
60109,2024-09-04,email,desktop,827,339,1009,20,2000
60110,2024-03-05,Social,mobile,1819,1400,2492,49,3136
60111,2024-03-05,Email,desktop,1108,831,1385,27,1377
60112,2024-06-30, direct ,Desktop,1752,735,2276,182,16016
60113,2024-03-23,email,tablet,1218,791,1400,28,2968
60114,2024-04-13,email,desktop,1438,618,1998,39,5265
60115,2024-08-08,Email,tablet,1479,1094,1761,35,3920
60116,2024-01-19,Direct,mobile,1251,813,1762,140,20020
60117,2024-10-12,Email,Desktop,817,531,1135,22,2288
60118,2024-03-28,email,tablet,472,325,583,11,726
60119,2024-10-31,Organic Search,mobile,730,394,803,40,4160
60120,2024-06-19,Paid Search,Desktop,314,169,398,19,1539
60121,2024-12-06,Social,Desktop,798,462,877,17,1683
60122,2024-04-26,Direct,smart tv,2516,1081,2765,221,7735
60123,10/04/2024,Direct,tablet,452,334,629,50,2050
60124,2024-01-29,Organic Search,tablet,2385,1335,2807,140,
60125,2024-05-30,Social,tablet,693,297,937,18,1854
60126,2024-04-16, direct ,smart tv,1979,910,2129,170,24310
60127,2024-01-06,Paid Search,mobile,180,81,254,12,1116
60128,2024-06-10,Direct,mobile,235,138,336,26,2366
60129,2024-01-06,Paid Search,desktop,1386,803,-1541,77,5467
60130,2024-06-16,Social,Desktop,838,477,1148,22,924
60131,2024-01-23,email,tablet,1987,914,2454,49,4018
60132,2024-06-10,Referral,smart tv,444,177,494,9,441
60133,2024-08-06, direct ,smart tv,2362,1157,2513,201,8844
60134,2024-08-01,Direct,desktop,2247,1168,2775,222,23976
60135,2024-08-30,Referral,desktop,1553,1118,1726,34,4522
60136,2024-02-10,Paid Search,mobile,1496,1032,1919,95,3610
60137,2024-03-25,Social,smart tv,262,157,360,7,679
60138,2024-06-29,email,Desktop,1456,1150,1714,34,3808
60139,2024-03-04,Email,mobile,2020,1595,2557,51,6987
60140,2024-09-27,email,tablet,2086,1189,2398,47,1222
60141,2024-05-02,Direct,desktop,238,116,-268,21,1785
60142,05/03/2024,email,smart tv,1829,1115,2010,40,1520
60143,2024-02-18,Organic Search,desktop,2148,1202,2755,137,
60144,2024-03-04,Referral,smart tv,1884,960,2005,40,2600
60145,2024-02-19,Paid Search,tablet,741,355,852,42,1596
60146,2024-02-24,Organic Search,mobile,857,359,974,48,6576
60147,2024-05-07,Email,smart tv,2017,1048,2522,50,2250
60148,2024-07-31, direct ,smart tv,1536,814,1787,142,16330
60149,2024-02-05, direct ,desktop,1996,1377,2194,175,13125
60150,2024-11-27,Organic Search,tablet,1777,710,2195,109,8720
60151,05/23/2024,Direct,desktop,1026,605,1104,88,6688
60152,2024-05-23,email,Desktop,1387,1040,1954,39,2652
60153,2024-09-01,Referral,desktop,1789,715,2386,47,2209
60154,2024-08-16,Organic Search,desktop,1743,871,2455,122,13908
60155,2024-05-23,Referral,smart tv,1362,749,1622,32,1440
60156,2024-07-23,Email,smart tv,526,268,642,12,1524
60157,2024-12-06,Email,tablet,160,75,196,3,414
60158,2024-10-23,Social,mobile,1371,630,1736,34,4862
60159,2024-10-21,Paid Search,mobile,1645,970,1750,87,7395
60160,2024-10-13,Email,smart tv,1831,1391,-2509,50,2000
60161,2024-05-27,Direct,mobile,2005,822,2538,203,6699
60162,2024-05-02,Organic Search,desktop,762,304,1059,52,
60163,2024-01-14,Direct,Desktop,1880,1278,2380,190,3800
60164,06/13/2024,Organic Search,smart tv,1862,1322,2419,120,15960
60165,2024-12-13,Email,desktop,2371,1185,2928,58,3944
60166,2024-02-09,Organic Search,smart tv,2574,1492,2926,146,6278
60167,09/03/2024,Referral,smart tv,901,414,-1156,23,1932
60168,2024-04-21,Email,Desktop,341,167,397,7,1008
60169,2024-02-14,Referral,smart tv,874,638,1067,21,1722
60170,2024-11-06,Paid Search,desktop,1436,990,1545,77,9625
60171,2024-04-16,Direct,mobile,1238,742,1318,105,6510
60172,2024-06-27,Paid Search,mobile,822,427,1055,52,7124
60173,2024-06-24, direct ,mobile,500,375,575,46,2806
60174,2024-12-08,Paid Search,mobile,193,94,248,12,936
60175,2024-01-02, direct ,mobile,1396,725,1791,143,3003
60176,2024-08-14,Social,Desktop,486,379,572,11,1496
60177,2024-02-02,Direct,tablet,826,404,1164,93,2697
60178,2024-02-01,Social,Desktop,2399,1727,2553,51,3876
60179,2024-05-18,Social,desktop,1228,933,1706,34,2448
60180,2024-05-28,Paid Search,tablet,824,494,916,45,
60181,2024-02-06, direct ,Desktop,296,145,333,26,
60182,2024-10-22,Paid Search,mobile,837,544,1116,55,7095
60183,2024-02-24,Direct,smart tv,1532,919,1742,139,20572
60184,2024-06-11,Email,desktop,1589,667,2177,43,5031
60185,2024-11-11,Email,Desktop,1771,743,1925,38,1026
60186,2024-03-05,Social,smart tv,894,429,1177,23,529
60187,2024-04-03,email,Desktop,1853,796,2288,45,1935
60188,2024-02-25, direct ,desktop,1113,634,1237,98,3724
60189,2024-09-01, direct ,tablet,2290,1625,2574,205,21935
60190,12/02/2024,Social,smart tv,1389,750,1635,32,2400
60191,2024-10-20,Email,desktop,2109,1602,2740,54,4374
60192,2024-10-28,email,tablet,1846,1107,2052,41,2788
60193,2024-08-24,Email,desktop,664,365,923,18,396
60194,06/17/2024,Direct,Desktop,2332,1818,2621,209,23617
60195,2024-11-08,Paid Search,desktop,1725,793,1917,95,13585
60196,2024-02-07,Paid Search,desktop,1308,745,1656,82,5494
60197,2024-11-26,email,tablet,290,121,323,6,846
60198,2024-11-01,Referral,tablet,370,162,475,9,495
60199,2024-12-17,email,Desktop,1679,1141,2073,41,5617
60200,2024-05-06,email,Desktop,1897,1062,2019,40,4560
60201,2024-10-13,Paid Search,desktop,2058,1049,2673,133,15561
60202,2024-04-11,email,mobile,2042,1572,2522,50,1500
60203,2024-02-09,Social,mobile,1259,906,1679,33,4191
60204,2024-12-02,Organic Search,smart tv,1773,815,2015,100,12100
60205,2024-03-01,email,mobile,511,347,691,13,
60206,2024-01-10, direct ,tablet,1819,1236,2140,171,4446
60207,2024-07-02, direct ,Desktop,856,342,931,74,3330
60208,2024-04-22,Organic Search,tablet,1022,500,1400,70,
60209,2024-07-06, direct ,smart tv,428,261,504,40,4240
60210,2024-01-14,Organic Search,mobile,2250,990,2587,129,3741
60211,2024-03-07,Direct,Desktop,2399,1127,2637,210,12180
60212,2024-05-23,Direct,mobile,382,255,490,39,1521
60213,2024-05-07,Organic Search,smart tv,193,152,261,13,1664
60214,2024-01-16,Email,smart tv,576,259,613,12,1560
60215,2024-05-31,Social,tablet,1642,689,1932,38,5130
60216,2024-01-06,Email,mobile,2613,1358,2872,57,4104
60217,2024-11-17,Social,mobile,1191,488,1588,31,1984
60218,2024-03-22,Paid Search,tablet,634,431,881,44,5412
60219,2024-02-12,Referral,desktop,1614,1145,2242,44,1628
60220,2024-09-03,email,desktop,854,555,1204,24,1488
60221,2024-08-06, direct ,desktop,676,439,914,73,10512
60222,2024-02-17,Email,tablet,1553,1040,1745,34,2618
60223,2024-06-08,Social,smart tv,1208,893,1474,29,1189
60224,2024-06-16,email,tablet,1978,1028,2505,50,5250
60225,2024-06-09,Organic Search,Desktop,503,261,681,34,2856
60226,2024-05-22, direct ,tablet,2540,1143,2920,233,5592
60227,2024-04-22,email,smart tv,1107,708,1258,25,3200
60228,06/19/2024,Social,Desktop,2516,1710,2961,59,6667
60229,2024-03-09,Social,tablet,1866,1194,2456,49,3577
60230,2024-04-04,Direct,desktop,767,582,817,65,4680
60231,2024-07-15, direct ,tablet,396,257,502,40,4800
60232,2024-12-24,Email,mobile,1699,1274,1827,36,2880
60233,2024-02-14,Organic Search,tablet,2051,1558,2772,138,10626
60234,2024-09-05,Organic Search,desktop,2036,1221,2341,117,5031
60235,2024-08-15,email,mobile,465,330,511,10,1350
60236,2024-01-24,Email,mobile,843,413,1082,21,1386
60237,2024-06-21,Direct,tablet,1797,844,2090,167,11356
60238,2024-05-30,Organic Search,tablet,1198,610,1577,78,11622
60239,05/24/2024,email,tablet,2169,1605,2892,57,7638
60240,2024-06-21,Referral,mobile,2323,1672,2904,58,4524
60241,2024-08-31,Email,smart tv,2127,1084,2727,54,7614
60242,2024-01-12,email,tablet,1371,699,1693,33,3168
60243,2024-10-15,Social,desktop,980,392,1290,25,3100
60244,2024-06-15,Email,Desktop,1207,760,1285,25,1450
60245,2024-12-02,Direct,smart tv,978,449,1305,104,6032
60246,2024-02-22,email,desktop,1658,1193,2099,41,3034
60247,2024-04-30,Email,smart tv,1369,985,1851,37,1221
60248,2024-11-17,Direct,Desktop,1519,759,1670,133,18487
60249,2024-01-28,email,desktop,2128,1596,2838,56,3640
60250,2024-03-03,Direct,Desktop,743,453,929,74,4144
60251,2024-05-31,Paid Search,mobile,1417,651,1915,95,2565
60252,2024-02-07, direct ,desktop,1511,906,1778,142,9230
60253,2024-04-15,email,Desktop,1116,848,1269,25,1125
60254,2024-04-22, direct ,mobile,1640,918,2343,187,22066
60255,2024-01-22, direct ,mobile,2178,1154,2829,226,5424
60256,2024-12-03,Email,smart tv,2653,1220,2823,56,3640
60257,2024-04-01,Email,tablet,1189,499,1630,32,2560
60258,2024-03-10,email,desktop,832,540,1028,20,
60259,2024-05-24,email,Desktop,466,279,648,12,396
60260,2024-10-31,email,tablet,1184,651,1645,32,2176
60261,2024-03-19, direct ,smart tv,1110,555,1501,120,9360
60262,2024-04-24,Paid Search,smart tv,1241,521,1571,78,6942
60263,2024-08-12,Direct,tablet,1618,1164,2248,179,13246
60264,2024-01-28,Referral,desktop,2264,973,-2728,54,2322
60265,2024-11-04,Referral,Desktop,1161,801,1549,30,
60266,2024-01-03,Organic Search,tablet,527,379,694,34,2108
60267,2024-05-14,email,desktop,918,697,1293,25,950
60268,2024-04-11,Direct,mobile,1464,732,1764,141,4512
60269,2024-05-19,Email,mobile,572,257,763,15,855
60270,2024-09-14,Organic Search,desktop,1365,600,1950,97,8730
60271,2024-04-15,Email,desktop,1903,1332,2644,52,7072
60272,2024-12-28,Email,tablet,2621,1467,2945,58,5800
60273,2024-11-27,Organic Search,desktop,721,483,880,44,924
60274,2024-06-12,Social,tablet,720,338,810,16,1120
60275,2024-06-22,Email,mobile,1904,1047,2026,40,4760
60276,2024-07-30,Social,mobile,1455,829,1693,33,1782
60277,2024-06-06,Paid Search,mobile,518,238,682,34,4590
60278,08/03/2024,Organic Search,Desktop,1849,869,2151,107,13482
60279,2024-02-16,email,smart tv,2762,1187,2970,59,2891
60280,2024-05-08,Referral,desktop,1824,1404,2073,41,1763
60281,2024-10-28,Social,Desktop,741,392,893,17,2091
60282,2024-06-25, direct ,tablet,650,474,793,63,5859
60283,2024-03-06,email,smart tv,2177,1219,2532,50,1350
60284,2024-09-24,Referral,desktop,1220,658,1436,28,588
60285,2024-08-15,Social,desktop,347,156,395,7,280
60286,2024-11-26,email,Desktop,637,388,693,13,1859
60287,2024-02-22,Referral,smart tv,432,332,528,10,
60288,2024-02-27,Direct,Desktop,1723,913,1894,151,20385
60289,2024-07-18,Organic Search,Desktop,240,105,305,15,1830
60290,2024-02-01,email,Desktop,753,489,966,19,2660
60291,2024-10-20,Organic Search,mobile,99,49,138,6,162
60292,2024-07-22,Email,Desktop,222,93,242,4,436
60293,2024-05-19, direct ,tablet,1416,1062,1610,128,6656
60294,2024-03-24,email,Desktop,691,297,961,19,2736
60295,02/09/2024,Social,tablet,92,71,116,2,294
60296,2024-04-13,Paid Search,desktop,672,443,782,39,4290
60297,03/17/2024,Social,desktop,285,190,391,7,637
60298,2024-10-18,Referral,smart tv,1607,1028,2061,41,2009
60299,2024-10-17,Email,desktop,2248,966,2959,59,7611
60300,2024-06-12,Organic Search,smart tv,1688,1012,2345,117,10062
60301,2024-09-29,Paid Search,Desktop,1363,667,1842,92,10396
60302,2024-01-15,Paid Search,smart tv,1113,690,1446,72,
60303,2024-01-19,email,desktop,1219,914,1544,30,720
60304,2024-10-24, direct ,tablet,865,544,1095,87,8091
60305,2024-01-14,Email,smart tv,1276,574,1824,36,3492
60306,2024-07-09,Email,smart tv,2274,1364,2472,49,2695
60307,2024-04-16,email,Desktop,311,205,335,6,648
60308,09/21/2024, direct ,mobile,2095,1194,2409,192,6912
60309,2024-04-02, direct ,mobile,223,142,260,20,720
60310,2024-11-10,Organic Search,mobile,1470,867,1616,80,6960
60311,2024-05-09,Paid Search,desktop,1830,951,2232,111,6216
60312,2024-06-18, direct ,Desktop,1994,1096,2849,227,19749
60313,2024-04-19,email,Desktop,587,422,734,14,1190
60314,2024-03-16,Email,smart tv,403,318,453,9,936
60315,2024-05-12,Paid Search,smart tv,2353,1364,2906,145,8700
60316,2024-06-12,Referral,mobile,1057,644,1175,23,1771
60317,2024-09-17,Social,Desktop,2318,1784,2793,55,1540
60318,2024-01-06,email,mobile,229,112,247,4,236
60319,2024-12-09,Direct,desktop,1192,584,1569,125,5375
60320,2024-03-30,Referral,mobile,2066,1425,2490,49,3577
60321,2024-07-09,Social,mobile,1358,583,1562,31,2263
60322,2024-07-29,Social,desktop,900,603,1200,24,1824
60323,2024-04-20,Referral,tablet,2229,913,2752,55,5060
60324,2024-03-20,Social,tablet,628,489,757,15,2025
60325,2024-02-28,email,Desktop,1548,619,2212,44,3916
60326,2024-11-14,Direct,desktop,419,289,477,38,1102
60327,2024-09-04,email,smart tv,586,380,666,13,403
60328,2024-04-06, direct ,tablet,1332,959,1625,130,14040
60329,2024-06-18,Social,Desktop,1745,1238,1897,37,3589
60330,2024-10-16,Social,smart tv,391,289,460,9,450
60331,2024-05-13,Social,desktop,775,472,1092,21,1701
60332,2024-12-12,Paid Search,tablet,1304,991,1763,88,2904
60333,12/16/2024, direct ,tablet,199,97,252,20,800
60334,2024-08-15,email,smart tv,1394,1059,1680,33,2937
60335,2024-05-21,Direct,smart tv,1422,867,1616,129,5418
60336,2024-09-24,Organic Search,tablet,126,57,162,8,
60337,2024-11-03,Direct,tablet,130,59,165,13,1235
60338,2024-04-08,Social,tablet,2317,1760,2695,53,1537
60339,2024-11-04,Direct,tablet,503,286,553,44,3036
60340,2024-05-20,Email,tablet,1504,767,2149,42,3654
60341,2024-07-27,Paid Search,desktop,1613,741,2042,102,9588
60342,2024-05-27,Organic Search,smart tv,380,190,427,21,1806
60343,2024-12-07, direct ,smart tv,1589,1191,1962,156,3900
60344,2024-05-06,Email,Desktop,2077,1433,2258,45,1395
60345,2024-09-16, direct ,mobile,1888,1264,2453,196,23324
60346,2024-10-03,Direct,tablet,629,276,707,56,5992
60347,2024-06-25,Referral,smart tv,141,94,202,4,240
60348,2024-01-17,Referral,smart tv,981,392,1383,27,2268
60349,2024-09-30,Social,Desktop,373,193,445,8,1096
60350,2024-10-11,Referral,smart tv,833,374,992,19,456
60351,2024-08-10, direct ,mobile,2216,975,2639,211,16247
60352,2024-10-10, direct ,desktop,1170,702,1482,118,14514
60353,2024-09-08,Referral,desktop,1305,756,1389,27,756
60354,2024-12-02,Organic Search,desktop,1771,920,2242,112,7952
60355,2024-06-16, direct ,tablet,454,217,614,49,5292
60356,2024-02-03,Email,Desktop,396,265,441,8,952
60357,02/14/2024,Direct,mobile,654,372,735,58,7366
60358,2024-01-20,Referral,desktop,126,97,140,2,100
60359,2024-10-03,email,tablet,1915,1187,2280,45,2835
60360,2024-09-06,Social,desktop,1030,721,1288,25,2475
60361,2024-09-26,Email,desktop,2493,1595,2653,53,3339
60362,2024-11-17,email,tablet,397,174,509,10,1110
60363,2024-03-27,email,mobile,1102,650,1344,26,2496
60364,2024-01-22,email,tablet,1305,717,1652,33,4521
60365,2024-12-18,Social,smart tv,138,89,182,3,
60366,2024-04-18,Organic Search,smart tv,431,254,508,25,525
60367,06/28/2024,Referral,mobile,659,382,795,15,1170
60368,2024-12-10,Organic Search,smart tv,1453,915,2076,103,6283
60369,2024-11-09,Social,smart tv,681,320,973,19,1330
60370,2024-11-19,Paid Search,desktop,850,527,914,45,2430
60371,2024-10-15,Organic Search,mobile,331,244,461,23,1794
60372,2024-01-16,Referral,tablet,1184,686,1622,32,832
60373,2024-05-12,Direct,desktop,2238,1700,2697,215,5590
60374,2024-06-07,email,Desktop,1075,505,1250,25,1600
60375,2024-02-19,Email,desktop,2266,1563,2576,51,6936
60376,2024-06-28,Paid Search,desktop,387,162,440,22,726
60377,2024-03-05,Direct,desktop,1852,888,2129,170,
60378,2024-12-11,Social,smart tv,331,208,390,7,980
60379,10/28/2024,Email,mobile,750,592,816,16,2016
60380,2024-08-08,Direct,Desktop,168,114,219,17,969
60381,2024-07-07,email,smart tv,537,413,681,13,
60382,2024-02-22,email,desktop,1659,912,2243,44,5236
60383,2024-09-18,Direct,mobile,753,331,828,66,6930
60384,2024-11-29,Email,desktop,1815,798,1995,39,4212
60385,2024-12-18, direct ,mobile,1304,612,1611,128,16384
60386,2024-12-05,Paid Search,smart tv,978,743,1341,67,6030
60387,2024-04-09,email,mobile,1628,1107,1790,35,4480
60388,2024-01-19,Referral,desktop,1932,1217,2477,49,5831
60389,2024-09-07,Email,Desktop,2422,1864,2577,51,5814
60390,2024-12-16,Organic Search,smart tv,1566,876,1822,91,8190
60391,2024-10-04,Paid Search,mobile,1862,931,2483,124,7192
60392,2024-07-11,Referral,smart tv,1858,1337,1977,39,1521
60393,2024-11-29,Organic Search,Desktop,2195,1338,2711,135,19440
60394,2024-12-01,Direct,desktop,136,106,175,14,588
60395,2024-09-18, direct ,tablet,2697,1995,2997,239,18642
60396,2024-11-14,Organic Search,desktop,2048,942,2302,115,7245
60397,2024-09-07, direct ,smart tv,473,198,584,46,4278
60398,2024-01-16,Organic Search,smart tv,2058,926,2709,135,13905
60399,2024-08-14, direct ,Desktop,757,567,881,70,1610
60400,2024-03-06, direct ,smart tv,2271,1635,2839,227,7264
60401,2024-09-29, direct ,smart tv,1284,564,1712,136,9656
60402,2024-08-22,Paid Search,mobile,1874,1049,2205,110,15620
60403,07/28/2024,Organic Search,tablet,389,291,487,24,2160
60404,06/11/2024,Paid Search,tablet,861,456,1104,55,1760
60405,2024-07-16, direct ,Desktop,1588,809,1847,147,11172
60406,2024-01-03,Social,Desktop,2489,1095,2861,57,3363
60407,2024-05-11,Social,smart tv,189,94,226,4,536
60408,2024-04-09,Social,tablet,2095,963,2951,59,3245
60409,2024-02-21,Referral,tablet,1226,698,1460,29,2059
60410,03/20/2024,Email,desktop,1922,1460,-2045,40,1720
60411,2024-05-27,Email,tablet,268,134,309,6,252
60412,2024-07-22,Email,desktop,2751,2118,2991,59,2006
60413,2024-02-29,Paid Search,mobile,466,344,-614,30,2310
60414,2024-02-23,Email,Desktop,261,206,297,5,175
60415,2024-04-24,Social,smart tv,245,151,311,6,342
60416,2024-01-16,email,mobile,2120,848,2555,51,1734
60417,2024-10-25,Email,Desktop,1876,1069,2234,44,4400
60418,2024-12-05,Referral,tablet,528,285,574,11,1276
60419,2024-09-06,Paid Search,desktop,2263,905,2902,145,3335
60420,2024-09-20, direct ,tablet,2378,1759,2901,232,23896
60421,2024-12-10,Organic Search,Desktop,1870,822,2494,124,11036
60422,2024-03-09, direct ,tablet,381,236,508,40,2760
60423,2024-07-26,Referral,tablet,1165,477,1641,32,1184
60424,2024-01-14, direct ,smart tv,2280,1254,2591,207,12834
60425,2024-03-24, direct ,desktop,890,364,1099,87,4611
60426,2024-12-12,Referral,tablet,2308,1200,2781,55,5445
60427,2024-03-15,Direct,tablet,2236,1274,2728,218,6104
60428,2024-11-03,Organic Search,desktop,437,275,607,30,2850
60429,2024-01-11,Referral,smart tv,1798,1402,2167,43,2881
60430,2024-06-02,email,tablet,1250,700,1645,32,1696
60431,2024-01-07,Social,desktop,2348,1220,2669,53,4982
60432,2024-12-14,Email,mobile,1788,894,2236,44,2728
60433,2024-07-07,Organic Search,mobile,2090,1086,2944,147,17346
60434,2024-09-06,Email,mobile,217,101,306,6,636
60435,2024-04-01,Direct,desktop,996,557,1145,91,9009
60436,2024-12-28,Email,smart tv,1032,722,1110,22,1078
60437,2024-06-02,email,mobile,448,228,528,10,220
60438,2024-03-30,Email,Desktop,288,115,395,7,308
60439,2024-08-26,Direct,tablet,2357,1791,2773,221,
60440,2024-04-21,Social,desktop,1524,883,1752,35,3675
60441,2024-05-22,Paid Search,desktop,2038,1283,2581,129,11868
60442,2024-12-12,Organic Search,smart tv,537,311,611,30,2160
60443,2024-09-11,Direct,desktop,899,710,1168,93,7347
60444,2024-09-03,Paid Search,mobile,2072,1077,2727,136,3536
60445,2024-01-03,email,smart tv,506,349,576,11,1452
60446,03/27/2024,Organic Search,mobile,196,105,223,11,572
60447,2024-05-31,Paid Search,mobile,1422,711,1693,84,12264
60448,2024-06-02,Referral,Desktop,1283,846,1646,32,1536
60449,2024-07-18,Social,tablet,468,219,551,11,1617
60450,2024-11-25,Email,desktop,386,165,425,8,856
60451,2024-06-21,Direct,Desktop,1171,608,1302,104,5096
60452,2024-01-27,Paid Search,desktop,140,85,182,9,1143
60453,2024-06-02, direct ,smart tv,2335,934,2994,239,23900
60454,2024-03-29,email,mobile,507,223,570,11,
60455,2024-04-23,Organic Search,tablet,310,220,353,17,1207
