WeekStartDate,AdPlatform,AmountSpend,Impressions,Clicks,TotalUsers,NewUsers,Revenue,Orders,NewCustomers
2024-01-22,Affiliate,3036,139656,2793,1731,1159,14276,86,42
2024-05-06, google ads ,1935,40635,2844,2161,1512,11072,64,29
2024-07-08,Google Ads,3930,310470,12418,10431,7197,25168,208,83
2024-02-19,TikTok Ads,4313,405422,4054,3040,1611,1980,60,46
2024-09-02,tiktok,4202,352968,17648,11824,8631,72776,827,603
2024-04-01, google ads ,1893,159012,3180,1971,1438,10833,157,72
2024-09-09,TikTok Ads,2471,108724,2174,1804,1244,22464,144,97
11/11/2024,TikTok Ads,2407,139606,1396,879,553,7426,79,48
09/23/2024,Google Ads,4468,375312,18765,13886,9303,113659,1249,636
2024-02-12, google ads ,2332,81620,5713,3542,2408,15222,177,72
2024-02-12, google ads ,4193,209650,2096,1718,927,7820,85,55
2024-01-29,Affiliate,4605,363795,3637,2364,1843,28408,212,86
2024-05-13,Affiliate,2062,200014,14000,10780,5713,107236,646,290
2024-04-22,TikTok Ads,3505,185765,7430,5572,3231,99198,501,255
2024-03-25, google ads ,1233,49320,986,709,361,6566,49,37
2024-05-27, google ads ,3044,222212,13332,11465,8598,117376,917,550
02/26/2024,Facebook Ads,2609,140886,5635,5071,3498,32568,354,177
2024-08-12,tiktok,3388,250712,15042,11883,8555,26544,237,184
2024-03-04,TikTok Ads,2628,202356,4047,3642,2512,14040,72,37
2024-01-22,Facebook Ads,3612,130032,5201,3484,2543,20280,104,82
2024-10-21,tiktok,998,25948,1297,830,614,2145,33,14
2024-03-11,Google Ads,3305,191690,13418,10063,5534,107712,704,359
2024-01-15, google ads ,541,42739,1709,1213,921,7728,48,21
2024-05-20, google ads ,3642,105618,6337,4752,3278,17466,142,96
2024-01-22,Affiliate,1044,58464,584,502,296,930,30,23
2024-09-16, google ads ,4337,221187,8847,7519,4285,42750,375,202
2024-11-25,Facebook Ads,4234,228636,4572,3429,1954,11628,171,111
2024-08-12,tiktok,4459,120393,6019,4333,3076,17028,86,52
2024-01-29,Google Ads,3085,141910,2838,1816,1053,3726,54,39
2024-09-23,Facebook Ads,1883,75320,3012,2439,1756,16965,195,122
2024-10-28,TikTok Ads,4254,204192,2041,1530,810,1350,45,29
2024-01-22,TikTok Ads,2330,100190,5009,3305,2181,37125,297,169
2024-07-15,Affiliate,1558,60762,4253,3955,2017,26702,158,91
2024-02-12,TikTok Ads,2992,122672,2453,1864,1453,6808,74,44
2024-08-26, google ads ,4575,164700,11529,7032,3586,50520,421,286
2024-02-05,Google Ads,3863,274273,10970,6582,4870,18518,394,307
2024-05-27,TikTok Ads,1263,47994,959,834,658,2125,25,15
2024-11-25,TikTok Ads,3069,190278,13319,10655,8097,30672,213,134
2024-10-21,TikTok Ads,1041,59337,2966,2313,1179,17250,115,79
2024-04-22,TikTok Ads,4388,210624,14743,10467,6384,70272,732,490
2024-03-11,Google Ads,2184,170352,8517,6728,4036,38304,336,184
2024-09-09,Google Ads,2482,163812,9828,6486,3307,42790,389,221
2024-09-23,TikTok Ads,1322,103116,1031,670,341,-5148,33,23
2024-01-01,Facebook Ads,4581,371061,25974,22337,12955,38860,670,381
2024-09-02,TikTok Ads,3209,147614,8856,5844,3740,91875,525,257
2024-05-27,Facebook Ads,1719,49851,1994,1415,948,18414,99,52
2024-07-22,tiktok,2717,239096,7172,6741,4583,47517,337,181
2024-12-02,Affiliate,780,53040,1060,879,465,3268,43,30
2024-09-09,Affiliate,4892,273952,10958,9971,6879,49750,398,278
2024-07-08,Facebook Ads,578,39882,1196,897,627,1961,53,29
08/19/2024,Affiliate,795,57240,2862,2232,1450,7176,156,70
2024-03-04, google ads ,3529,109399,7657,6125,3430,19260,428,248
2024-11-25,Affiliate,1201,64854,2594,1841,1307,6909,147,111
2024-11-25,tiktok,4541,122607,8582,6865,4874,37925,205,125
01/29/2024,Affiliate,4552,286776,11471,9176,5964,132854,734,293
2024-08-05,Google Ads,2184,43680,2184,1659,846,2871,33,21
2024-02-26,TikTok Ads,3779,374121,22447,15712,8484,49455,785,408
2024-08-19,Affiliate,1200,112800,7896,5843,3564,28426,233,139
2024-03-25,Google Ads,,32000,640,390,214,-600,15,10
2024-02-26,Affiliate,1391,114062,7984,6067,4186,12705,121,90
2024-05-06,tiktok,4262,213100,14917,13723,8645,128282,686,521
2024-01-01,Google Ads,2051,186641,7465,4777,3678,65704,382,187
2024-07-22,tiktok,1451,87060,5223,3342,2305,17355,267,173
2024-03-04,Affiliate,3576,150192,7509,6607,4955,64152,594,374
2024-11-25, google ads ,3010,102340,1023,859,592,4284,34,21
2024-02-19,Google Ads,1311,49818,3487,3138,2102,11625,125,51
2024-03-18,tiktok,3169,250351,10014,7810,5076,122850,702,379
2024-01-22,Affiliate,4336,264496,18514,13700,10412,87680,685,431
2024-06-24,TikTok Ads,2942,229476,6884,5163,2891,76560,464,259
2024-02-19,tiktok,1691,150499,4514,4107,2998,68634,369,166
2024-05-20,Facebook Ads,3827,294679,8840,7690,4690,34600,692,477
2024-06-03,Google Ads,1129,54192,3251,2080,1456,5478,166,109
2024-02-26,Affiliate,3120,227760,9110,5557,3111,6438,111,75
2024-07-01,TikTok Ads,1381,29001,1740,1600,896,18432,144,61
2024-01-22,tiktok,2965,68195,681,531,265,2535,15,11
2024-08-19,TikTok Ads,2335,65380,653,607,424,1704,24,11
2024-04-08,TikTok Ads,1287,106821,7477,6579,5000,30504,328,213
2024-02-12,Affiliate,2239,44780,2239,1992,1553,6396,39,24
2024-07-08,Facebook Ads,3747,131145,6557,5966,3639,56763,477,233
2024-10-28,Facebook Ads,1476,106272,1062,977,605,2697,87,44
2024-08-12, google ads ,1207,86904,4345,3476,2572,28545,173,69
2024-10-07,Google Ads,2034,107802,1078,808,614,10688,64,32
2024-09-16,Affiliate,3228,196908,1969,1693,846,22952,152,65
2024-10-28,Google Ads,2182,137466,4123,3215,1800,7040,128,67
2024-11-11,Google Ads,4238,258518,18096,12486,8740,87594,1123,875
2024-09-09,TikTok Ads,4165,245735,9829,8354,6181,43754,334,143
2024-06-10, google ads ,2473,108812,3264,1958,1351,8816,58,28
2024-10-28,tiktok,4370,227240,2272,1772,903,19840,124,78
2024-07-29,Facebook Ads,3041,167255,8362,6187,4516,58092,309,231
2024-11-18,tiktok,2620,196500,11790,9785,7534,129276,684,369
2024-07-29, google ads ,4046,335818,23507,21861,13772,225492,1748,804
2024-01-08, google ads ,2403,136971,9587,6806,4900,8840,136,91
2024-01-15,tiktok,4410,264600,2646,1693,1218,1386,33,19
2024-12-02,Google Ads,911,67414,1348,1186,901,4316,83,64
2024-12-16,tiktok,2606,91210,3648,2918,2217,31178,262,123
2024-06-17,Facebook Ads,,166860,10011,8709,5312,-21402,174,121
2024-12-09,Facebook Ads,2080,180960,10857,8685,5905,44720,260,104
07/29/2024,Google Ads,4969,253419,12670,8235,4117,114492,658,329
2024-05-27,Affiliate,4832,231936,6958,5218,2869,56340,313,150
2024-09-23,Facebook Ads,,127449,2548,1758,1336,3068,52,36
2024-11-11,tiktok,1211,35119,702,561,291,1316,28,11
2024-06-17,Facebook Ads,744,63240,1897,1384,705,24552,124,88
2024-08-19,tiktok,1745,139600,4188,3852,3043,11904,192,119
09/16/2024,Google Ads,2088,89784,6284,4084,3103,44745,285,122
2024-11-04,Google Ads,4726,118150,1181,992,605,4012,59,25
2024-09-30,Affiliate,4861,335409,23478,19486,13835,192885,1169,642
2024-01-15, google ads ,4587,243111,2431,1604,1186,11360,80,41
2024-03-04, google ads ,1409,133855,1338,909,718,1917,27,20
2024-10-14,Google Ads,1648,65920,2636,1897,1252,21250,170,95
2024-02-12,TikTok Ads,1784,165912,11613,8593,4554,21297,687,274
2024-10-07,Affiliate,4482,210654,10532,6740,5257,35777,269,190
2024-02-19,tiktok,1551,60489,1209,967,560,-9744,87,46
2024-04-01,TikTok Ads,677,34527,690,614,454,1512,42,16
2024-12-16, google ads ,4142,115976,8118,5033,3774,23718,402,192
2024-11-04,Google Ads,4438,439362,4393,2635,1554,14070,105,74
2024-05-27,Google Ads,2284,77656,5435,3532,1942,13020,105,46
2024-08-05,Facebook Ads,2297,71207,1424,1096,756,-5977,43,18
2024-12-23, google ads ,3389,250786,2507,1955,1388,12901,97,64
2024-04-01,Affiliate,3598,266252,13312,11581,8338,34161,579,272
2024-06-10, google ads ,784,35280,1764,1375,756,12546,123,54
2024-06-10,Affiliate,1016,30480,1219,1133,600,3939,101,45
2024-01-08,Google Ads,2965,266850,13342,11207,5715,149744,784,556
2024-01-01,tiktok,2097,83880,1677,1090,621,2240,32,15
2024-08-12,Affiliate,2978,202504,10125,7492,5843,83065,449,255
2024-11-04,TikTok Ads,4123,333963,16698,14026,10098,63075,841,336
2024-11-18,Facebook Ads,4464,392832,3928,2631,1973,28084,236,160
03/25/2024,TikTok Ads,2440,141520,9906,9311,4748,64356,372,197
2024-08-26,Google Ads,815,79055,1581,948,673,12675,75,57
2024-11-18,TikTok Ads,4532,126896,8882,7460,4998,25330,298,199
2024-04-29,tiktok,3132,100224,2004,1563,969,7564,62,39
2024-04-08,TikTok Ads,2436,65772,3288,2794,2151,7755,55,40
2024-12-16,tiktok,1969,187055,13093,12176,7670,193815,1095,635
2024-07-08,Google Ads,2973,193245,11594,6956,4173,22518,417,266
2024-09-16,Affiliate,,138092,2761,1822,1402,8784,72,54
2024-07-29,Google Ads,2082,145740,7287,4882,2929,14841,97,61
2024-10-21,tiktok,2191,48202,2410,1783,1069,8904,53,32
2024-08-26, google ads ,1518,62238,3111,2426,1868,3783,97,41
2024-07-15,Google Ads,3401,282283,19759,17387,10953,34760,869,608
2024-10-28,Google Ads,2017,96816,3872,3291,2501,34336,296,133
2024-01-29,TikTok Ads,3026,136170,8170,5228,2666,7176,156,106
2024-11-25,Google Ads,1779,74718,4483,3138,1945,35391,251,190
2024-07-22,Facebook Ads,3350,214400,12864,11191,7162,41170,895,653
2024-03-25, google ads ,3523,317070,6341,5389,3610,41667,323,242
2024-09-23,tiktok,1772,40756,2037,1670,1135,9750,50,32
2024-05-06,Google Ads,983,96334,1926,1463,1097,11571,87,51
2024-06-17,Facebook Ads,4953,341757,13670,12849,8994,32256,256,125
2024-05-27,tiktok,4988,174580,10474,6808,4833,40800,544,418
2024-05-13,Facebook Ads,1493,37325,1119,727,363,2268,21,12
2024-06-24,TikTok Ads,2028,129792,7787,6229,3425,99102,498,253
2024-10-07,Google Ads,3370,131430,9200,7176,5094,20306,143,102
2024-04-08, google ads ,1382,106414,3192,2713,1519,7560,108,69
2024-07-08, google ads ,3117,280530,2805,2356,1719,20586,141,64
2024-07-29,Google Ads,2154,163704,9822,7759,4732,36765,387,185
2024-08-05,Facebook Ads,2491,122059,1220,793,602,5983,31,20
2024-08-12,TikTok Ads,3932,145484,1454,1177,765,17766,94,37
2024-05-27,tiktok,812,60088,1802,1693,998,12432,84,63
2024-08-05,TikTok Ads,1606,44968,1349,1200,876,7056,36,20
2024-04-08,Facebook Ads,4169,341858,3418,2597,1636,32399,181,86
2024-08-05,Affiliate,1427,48518,2425,2037,1262,6832,122,57
2024-08-12,Facebook Ads,1484,86072,860,619,433,852,12,9
2024-07-22,TikTok Ads,4705,178790,7151,6721,3629,26320,470,239
04/08/2024,Affiliate,3993,331419,23199,16007,12165,80640,960,508
2024-11-11,Google Ads,2899,185536,5566,4508,2299,6075,135,58
2024-09-09, google ads ,4658,409904,28693,19511,10731,72345,1365,737
2024-04-29,Google Ads,726,29766,297,225,146,2353,13,5
2024-10-07,Google Ads,1082,99544,3981,2667,2000,4240,80,53
2024-04-29,Affiliate,1105,69615,696,473,283,1494,9,4
2024-01-22,TikTok Ads,971,58260,3495,3005,1592,17190,90,65
2024-08-26,TikTok Ads,996,71712,717,544,402,7410,38,19
2024-10-07,TikTok Ads,3815,114450,4578,2792,1451,13344,139,62
2024-04-08,TikTok Ads,1143,57150,2857,2228,1158,21978,111,49
2024-09-09,Facebook Ads,2295,195075,7803,6398,5054,20066,127,91
2024-07-01,TikTok Ads,1753,170041,11902,11187,7159,97446,894,581
2024-05-20,TikTok Ads,2015,167245,5017,4414,2869,12936,308,172
2024-11-25,Google Ads,1401,29421,1471,1220,841,3696,24,18
2024-01-08,Facebook Ads,4416,437184,17487,15738,12275,37366,314,213
2024-05-13,Google Ads,4018,132594,2651,1829,1262,2628,36,21
2024-11-11,Google Ads,1993,193321,9666,6379,4337,23715,255,188
2024-07-08,TikTok Ads,4314,340806,17040,12950,10230,42292,388,155
2024-06-10,Affiliate,4878,253656,17755,12073,7364,127595,845,338
2024-10-21,TikTok Ads,507,42081,2524,2322,1671,14615,185,85
2024-07-22,Affiliate,3493,300398,18023,10994,6046,20633,439,223
2024-06-24,Facebook Ads,4366,122248,6112,3850,3041,39424,308,231
2024-08-19,Facebook Ads,,277739,5554,4831,3285,30301,193,81
2024-12-09,Affiliate,2968,124656,3739,3028,1816,18755,121,61
2024-08-19, google ads ,3651,153342,1533,1149,769,1254,22,14
2024-11-11, google ads ,1258,79254,1585,1410,1085,10192,98,54
2024-04-08,tiktok,1903,47575,1427,1241,868,12728,74,49
2024-09-09,Affiliate,4324,86480,2594,2438,1730,14036,121,95
06/10/2024,Facebook Ads,4736,350464,10513,7674,5295,91950,613,447
2024-11-11,tiktok,1826,173470,12142,9592,6906,48875,575,299
2024-01-08,tiktok,4337,299253,8977,5835,3442,57784,466,326
2024-06-24,Facebook Ads,4647,353172,24722,15080,9198,152776,904,424
2024-07-01,tiktok,4441,346398,20783,13093,7593,82111,523,214
2024-04-29,Google Ads,689,15158,454,372,290,2970,22,11
2024-06-10,Facebook Ads,2773,88736,887,753,504,-5220,60,36
2024-09-30, google ads ,1294,46584,1397,1313,840,3666,78,43
2024-06-24,Facebook Ads,540,23760,712,477,257,1425,19,9
2024-08-26,Affiliate,2587,75023,5251,3308,1654,13464,198,87
2024-03-25,Facebook Ads,4516,230316,16122,9673,7641,62640,580,284
2024-12-16,tiktok,2344,91416,3656,2632,1552,31096,184,132
2024-02-26,Facebook Ads,4611,230550,16138,13394,7366,12832,401,248
2024-05-06,tiktok,739,70944,1418,1148,872,5253,103,54
2024-10-07, google ads ,2823,248424,7452,6557,3475,79234,458,293
2024-07-29,Facebook Ads,4259,144806,10136,9426,5655,20116,188,118
2024-08-12,TikTok Ads,1273,30552,305,262,170,510,5,3
2024-09-16, google ads ,3259,107547,1075,774,402,8096,46,26
2024-04-01,Affiliate,3612,180600,5418,4822,2411,50887,337,175
2024-10-21,TikTok Ads,2688,150528,7526,5042,3226,18120,151,77
2024-05-27, google ads ,563,13512,540,324,246,750,25,15
2024-02-05, google ads ,690,31740,317,193,131,775,5,2
2024-04-01, google ads ,1020,94860,6640,4448,3513,28400,400,244
2024-03-04, google ads ,763,38913,1167,723,383,5976,36,20
2024-06-03, google ads ,1436,130676,1306,1188,617,3055,47,20
2024-01-01,TikTok Ads,1478,56164,2246,1639,835,-27342,147,86
05/20/2024,tiktok,3971,230318,16122,9673,7544,34220,580,411
2024-03-18,Google Ads,4579,256424,10256,7589,5539,47571,303,227
2024-05-13,tiktok,2876,276096,19326,11788,8958,54450,825,602
2024-04-29, google ads ,,133328,2666,2079,1392,10974,62,39
2024-06-10,Google Ads,,23456,234,180,102,370,10,5
2024-04-15, google ads ,3107,292058,20444,15128,11346,20385,453,321
2024-07-22,Affiliate,1157,33553,335,261,200,1755,13,6
02/05/2024,TikTok Ads,4274,200878,10043,7532,5046,112382,677,507
2024-11-18,Google Ads,1954,189538,3790,2501,1750,19950,150,105
2024-01-01,tiktok,4428,199260,3985,3745,2134,36733,337,188
2024-06-10,tiktok,3500,304500,18270,14067,8721,65832,422,320
2024-06-17,Facebook Ads,,116493,6989,5311,2921,46746,318,244
2024-08-19,TikTok Ads,555,19425,1165,710,468,7938,49,33
2024-09-30, google ads ,4391,289806,5796,5042,3983,23936,352,221
2024-09-16,Google Ads,4257,255420,5108,4188,2429,24500,125,92
2024-01-08, google ads ,3923,290302,5806,4818,2842,44599,433,281
2024-07-15,Affiliate,4742,118550,2371,1991,1015,3003,39,18
2024-07-29,Affiliate,3042,301158,18069,15358,11518,17499,307,208
2024-12-23,tiktok,3750,127500,7650,4743,2561,47476,332,182
2024-09-30, google ads ,617,53679,2147,1953,1230,19584,136,77
08/26/2024,Affiliate,2436,153468,6138,3682,2025,6930,110,45
2024-06-10,Facebook Ads,4650,404550,28318,19822,11100,22176,396,201
08/12/2024,TikTok Ads,2048,75776,1515,1060,699,4278,31,13
2024-03-25,Affiliate,2899,150748,6029,5184,3784,9785,103,45
2024-09-09,TikTok Ads,3497,276263,8287,5883,4118,72850,470,366
2024-01-08,Affiliate,1806,142674,5706,4793,3786,43885,335,140
2024-08-26,Facebook Ads,2932,275608,2756,2232,1517,5439,111,52
2024-04-08,Facebook Ads,2411,103673,7257,5950,3986,23463,297,207
12/09/2024,Affiliate,4756,118900,7134,4708,3531,44744,329,259
2024-09-02,Google Ads,2999,251916,7557,6574,4075,33293,197,141
2024-09-16,Google Ads,1335,88110,5286,4545,3045,3060,90,56
2024-04-08,TikTok Ads,3120,283920,11356,7381,4207,22100,221,121
2024-11-18,tiktok,4024,148888,8933,7235,4268,18576,144,79
2024-11-04,TikTok Ads,3087,228438,4568,2740,1918,10638,54,32
2024-04-08,Affiliate,2874,155196,10863,7495,5096,81464,599,413
2024-03-25, google ads ,1260,117180,8202,5085,3254,58930,355,230
2024-04-01,Google Ads,4051,239009,16730,11209,6613,111552,672,389
2024-09-16, google ads ,4905,402210,24132,16409,9681,267156,1476,664
2024-02-12,TikTok Ads,3140,194680,9734,8857,6377,49383,531,292
2024-09-02,Facebook Ads,3775,207625,2076,1660,1311,7301,49,35
2024-12-16,TikTok Ads,2040,163200,4896,4357,3354,61248,348,233
2024-02-05,Google Ads,1031,90728,2721,2476,1609,5550,74,33
2024-11-18,Affiliate,4945,365930,21955,19759,13831,125853,1383,843
2024-01-01,Google Ads,,227688,4553,4006,2603,57600,360,273
2024-04-15,Google Ads,4132,161148,1611,1047,544,-4212,52,30
02/12/2024,Google Ads,2144,64320,3859,3473,1979,10899,173,114
2024-01-22,Facebook Ads,4939,271645,16298,15157,10761,68887,757,317
2024-04-01,Affiliate,2918,230522,2305,1383,857,2079,27,18
2024-12-02, google ads ,4588,146816,1468,1130,745,4114,22,15
2024-06-10,Google Ads,3605,353290,24730,18547,13724,164576,1112,767
2024-02-26,Google Ads,547,38290,2680,2010,1407,35460,180,129
2024-03-25, google ads ,1518,71346,3567,2175,1544,6110,130,58
2024-05-20,tiktok,,107007,1070,652,371,4060,58,27
01/15/2024,TikTok Ads,2908,72700,2181,1417,736,3960,99,39
2024-01-29,Google Ads,3185,108290,2165,1775,1331,13376,88,47
2024-12-09,Affiliate,1798,71920,2876,1926,1078,9775,115,46
2024-10-07, google ads ,3867,104409,7308,6869,3434,20394,618,309
2024-01-08,Google Ads,2994,224550,11227,10441,7308,42117,417,279
2024-07-08,Google Ads,2799,232317,16262,12846,6808,37878,642,359
2024-10-28,TikTok Ads,,19351,967,889,506,8228,44,31
2024-09-02,TikTok Ads,2337,144894,2897,2114,1268,13944,84,61
2024-02-12,tiktok,3265,313440,3134,2757,1736,17160,220,116
2024-10-07,TikTok Ads,,30820,616,474,303,2156,14,8
2024-11-25,tiktok,2662,218284,10914,8622,6207,49632,517,232
2024-10-21,tiktok,4368,345072,3450,2104,1073,18795,105,81
2024-07-08,tiktok,4645,209025,2090,1692,879,6050,50,29
2024-09-09, google ads ,1700,71400,714,464,296,2944,23,11
2024-08-12,tiktok,2347,117350,1173,762,441,2415,15,9
2024-04-01, google ads ,3276,255528,7665,5978,3287,26820,298,146
2024-10-14,Facebook Ads,802,57744,1732,1368,916,5658,82,53
2024-07-01,Google Ads,3431,113223,7925,6577,4143,76270,526,394
2024-03-25,Affiliate,1562,120274,4810,3174,2221,7125,95,38
05/06/2024,Google Ads,3846,273066,10922,9611,6631,140544,768,414
2024-06-03,Google Ads,4847,203574,6107,4091,2168,4392,122,84
2024-09-30,TikTok Ads,1831,60423,604,501,275,2130,30,19
02/12/2024,tiktok,2309,133922,6696,5155,3556,11227,103,66
2024-12-02,tiktok,1356,56952,1139,865,622,4899,69,33
2024-11-18,tiktok,4378,394020,27581,24822,12659,46872,744,357
2024-05-20,Google Ads,3670,355990,24919,15200,9576,25840,304,231
2024-01-22,TikTok Ads,1917,159111,7955,7159,4152,90376,572,320
2024-06-24, google ads ,3694,236416,11820,8746,4373,75492,699,468
2024-04-22, google ads ,4154,141236,5649,4349,2826,48093,391,195
2024-07-08,tiktok,3347,164003,6560,5116,2864,40290,255,168
2024-08-19,TikTok Ads,1706,160364,1603,1074,708,5124,42,22
2024-03-11,Google Ads,3051,85428,854,751,405,836,22,13
2024-12-09,Facebook Ads,4382,376852,26379,19784,14640,97900,1780,1085
2024-07-01,tiktok,1333,82646,3305,2776,1471,21756,111,79
2024-08-12,Google Ads,2817,154935,4648,2928,1991,6902,58,37
2024-07-15,TikTok Ads,1844,60852,608,559,408,2541,33,14
2024-08-12,Google Ads,3361,272241,2722,2558,1483,13872,102,76
2024-10-28, google ads ,,58224,1746,1466,1158,20043,131,61
2024-11-18, google ads ,4995,274725,19230,15191,9570,105237,1063,690
2024-06-17,Google Ads,1286,90020,5401,4914,2555,7056,196,105
