PropertyID,ListingDate,PropertyType,City,Bedrooms,Bathrooms,SquareFeet,MonthlyRent,MaintenanceCosts,IsOccupied,TenantChurn_Flag
90079,2024-07-13,Condo,Houston,1,1.5,758,1550.25743725312,174,No,Yes
90080,2024-11-08,Single Family,San Antonio,1,1.5,626,894.368794510965,749,Yes,No
90081,2024-03-31,Single Family,Houston,2,2,1316,1981.934495832,635,No,Yes
90082,2023-07-16, apartment ,San Antonio,5,5,2255,5275.1472880224,99,Yes,No
90083,2023-01-04,Apartment,Dallas,4,3.5,2188,5771.03676180459,432,No,Yes
90084,2023-04-29, apartment ,San Antonio,2,1.5,1036,2032.30329290158,-685,No,No
90085,2024-02-21,Condo,Houston,2,2,1366,2619.64765633226,443,No,Yes
90086,2024-02-07,single family,Houston,4,4,1940,2550.16845558126,658,Yes,No
90087,2023-03-10,Single Family,Houston,1,1,412,794.023025818552,-508,Yes,No
90088,2024-03-24, apartment ,San Antonio,2,2.5,992,1324.45630652889,308,No,Yes
90089,2023-09-30,Single Family,Houston,1,1.5,617,826.328550352775,234,Yes,No
90090,2024-06-11,Single Family,Houston,3,3,2355,3844.07457658955,777,No,Yes
90091,05/06/2024,Condo,Dallas,1,1.5,506,889.487683981139,512,No,Yes
90092,2023-07-04,Single Family,Dallas,1,1.5,408,779.384172764879,364,No,Yes
90093,2024-09-14, apartment ,Austin,3,3,1764,2684.21145309685,596,No,Yes
90094,2023-12-11,single family,Houston,4,4,3060,6127.05947218978,137,Yes,No
90095,2024-10-21,single family,San Antonio,1,1,730,1782.51239506039,698,No,No
90096,2023-05-18,Townhouse,Houston,5,4.5,2990,6233.08258958584,371,No,Yes
90097,2024-04-09,Condo,San Antonio,4,4,3016,8020.70857674028,642,Yes,No
90098,2023-09-11,Apartment,San Antonio,5,5,3665,6073.64306463611,469,No,Yes
90099,2023-09-19,Townhouse,Houston,2,1.5,1050,1925.02211865272,764,Yes,No
90100,2024-06-11,Apartment,San Antonio,1,1.5,675,1416.36324394441,-392,Yes,No
90101,2024-04-15, apartment ,Houston,1,1,442,609.365159082303,85,No,Yes
90102,2023-10-19,Condo,Dallas,5,4.5,2315,4564.05235088782,87,No,Yes
90103,2024-02-16,Single Family,Austin,3,3.5,2391,6361.67907380945,535,No,No
90104,2024-05-18,Condo,Dallas,4,4.5,2484,3777.30129741174,526,Yes,No
90105,2023-12-16,single family,San Antonio,5,5.5,2675,7169.60752102994,637,No,Yes
90106,2024-01-13,Condo,Houston,3,3,1299,2915.85054813463,464,No,Yes
90107,2023-08-29,Townhouse,Dallas,5,4.5,2465,,599,Yes,No
90108,2024-09-26,Apartment,Houston,3,3.5,1899,4504.71334137293,175,Yes,No
90109,2024-03-11,Townhouse,Austin,4,4.5,2608,5233.36348686952,516,No,Yes
90110,2023-09-10,Apartment,Dallas,5,5,3345,5980.93983989974,519,No,No
90111,2023-03-04, apartment ,Austin,4,3.5,1892,2782.77277158367,-715,Yes,No
90112,2023-05-03,Apartment,Houston,2,1.5,1278,2285.17329650157,194,No,No
90113,2024-03-24, apartment ,Houston,1,1,684,920.977126767196,-625,No,Yes
90114,2024-08-22,Condo,Houston,4,4.5,1684,2863.92823095505,333,No,No
90115,2023-08-28,Condo,Dallas,5,5,2410,6276.02124595084,454,No,Yes
90116,2023-10-28,Apartment,Houston,2,1.5,1438,3215.47385682942,366,Yes,No
90117,2024-01-01,Single Family,San Antonio,5,4.5,2375,,136,No,No
90118,2024-09-02,Condo,Houston,4,4,1784,2283.11475247923,421,Yes,No
90119,2023-03-26,Single Family,San Antonio,3,3.5,1758,4020.22311307836,329,No,Yes
90120,2023-06-30,Townhouse,Houston,3,2.5,1767,3575.42738641786,434,Yes,No
90121,2023-01-08, apartment ,Houston,1,1,680,1541.64110717068,610,No,Yes
90122,2024-02-04,Single Family,San Antonio,1,1,491,1229.25535503456,406,No,Yes
90123,2024-04-04,Townhouse,Houston,4,4,3076,7349.52441933375,213,No,Yes
90124,2023-01-02,Apartment,Dallas,3,2.5,1839,4592.14446400886,134,No,Yes
90125,2023-01-11,Townhouse,Dallas,2,2,1482,3558.90936553698,440,No,No
90126,2024-07-02,Apartment,Austin,5,5.5,3615,4986.64696996223,528,Yes,No
90127,2024-11-06,Single Family,Dallas,4,3.5,1868,4938.09258940876,399,Yes,No
90128,2023-03-29,Townhouse,Austin,1,1,428,897.523141454311,386,No,Yes
90129,2024-07-12,Single Family,San Antonio,2,2,1356,2602.38671139292,242,No,Yes
90130,2024-11-20,Townhouse,Austin,4,3.5,1892,,789,No,Yes
90131,2023-05-28,Townhouse,Austin,3,2.5,1905,4189.47069205529,755,Yes,No
90132,2023-04-05,single family,San Antonio,1,1.5,461,985.837185029051,276,Yes,No
90133,2023-08-24,single family,Houston,2,2.5,912,1107.75354113456,256,Yes,No
90134,2023-06-13, apartment ,San Antonio,5,5,2100,4129.51511792816,790,Yes,No
90135,2023-07-21, apartment ,Austin,2,1.5,872,2235.74475687768,729,No,No
90136,2023-01-11,Apartment,San Antonio,4,4.5,2972,6427.08991585388,617,Yes,No
90137,2023-04-27,Townhouse,Dallas,1,1.5,539,775.624138489004,264,No,Yes
90138,2024-05-30,Townhouse,Dallas,1,1,470,1241.65799198656,726,No,Yes
90139,2024-07-19, apartment ,Houston,3,3.5,1806,2829.00660221251,305,No,Yes
90140,2023-03-08,Condo,Houston,4,4.5,1848,4717.65326423797,441,Yes,No
90141,2024-02-15,Apartment,Austin,2,2.5,1578,2698.22031475856,53,Yes,No
90142,2024-07-26, apartment ,Dallas,4,4,3008,4867.85380969525,305,No,Yes
90143,2023-04-18,Single Family,San Antonio,5,5.5,3440,4360.25443062943,750,Yes,No
90144,2023-05-24,Condo,San Antonio,2,2,872,1382.58752363147,669,Yes,No
90145,2024-04-20,Single Family,Houston,2,2,996,1489.37151003898,573,No,Yes
90146,2024-02-14,Townhouse,Dallas,2,2,1464,2524.38799424935,385,Yes,No
90147,2023-08-31,single family,Austin,3,2.5,1590,2406.46657680742,106,Yes,No
90148,2023-02-25,single family,Houston,2,1.5,1204,2387.97920875511,295,No,Yes
90149,2024-09-03,Single Family,Austin,4,4,2880,5468.37513881753,86,Yes,No
90150,2023-02-08,Condo,San Antonio,3,2.5,1809,2237.00786604039,278,Yes,No
90151,2023-04-12,Apartment,San Antonio,2,2,814,1816.39375034952,225,Yes,No
90152,2024-08-08,Condo,Dallas,4,3.5,2856,6003.5541167082,302,Yes,No
90153,2024-11-10,Single Family,Austin,2,2.5,954,1958.8870428733,150,No,Yes
90154,2024-08-24,single family,Austin,2,1.5,1456,1903.51639198415,89,No,No
90155,2023-07-05,Condo,Austin,3,3.5,2358,5399.85737721438,601,Yes,No
90156,2023-11-21,Apartment,Austin,2,2.5,870,2300.83079855369,724,No,Yes
90157,12/16/2023,Single Family,Austin,5,5,2245,3555.82533252836,477,Yes,No
90158,2024-09-17,Townhouse,Houston,5,5.5,2725,,749,No,Yes
90159,2024-07-24,Townhouse,San Antonio,1,1,724,1496.47198297646,772,No,Yes
90160,2023-04-21,single family,San Antonio,2,2,1246,1617.62334083208,72,Yes,No
90161,04/03/2023,Condo,Austin,3,3,2289,4678.3722614576,798,No,Yes
90162,2023-04-14, apartment ,Dallas,2,2.5,1114,1352.05245324115,598,Yes,No
90163,2023-07-10,Single Family,Austin,5,5,2640,4554.07846769787,747,Yes,No
90164,12/20/2023,Single Family,San Antonio,1,1,463,1197.41761523723,265,Yes,No
90165,2024-09-13,Apartment,Dallas,3,2.5,2163,3501.45906184295,93,No,Yes
90166,2023-08-26,Condo,San Antonio,3,2.5,1461,3615.43837593721,775,Yes,No
90167,2023-12-28,Apartment,Houston,2,1.5,1586,3272.94435892317,301,Yes,No
90168,2023-01-02,Apartment,Austin,1,1.5,578,1343.30531546637,385,No,Yes
90169,2023-01-11,Townhouse,San Antonio,3,3,1950,,50,No,Yes
90170,02/02/2023,Townhouse,Dallas,2,1.5,874,1558.54676187185,560,Yes,No
90171,2024-06-26,Condo,Houston,5,4.5,2455,4049.19057824122,252,No,Yes
90172,2023-11-28, apartment ,Dallas,5,5.5,3530,6576.39986277018,719,Yes,No
90173,2023-05-20, apartment ,Houston,1,1,718,1313.5266651957,652,Yes,No
90174,2023-07-19,single family,Austin,2,2,1420,2734.4143354904,516,Yes,No
90175,2023-10-23,single family,San Antonio,1,1,562,1155.10170268635,116,No,Yes
90176,2024-02-06,Apartment,San Antonio,2,2.5,1336,3258.69374042428,143,No,Yes
90177,2023-02-09,Apartment,San Antonio,5,5,2335,4771.75587990706,170,No,Yes
90178,2023-04-13,Single Family,San Antonio,1,1,774,1662.26519113167,619,No,Yes
90179,2024-05-24,Townhouse,San Antonio,5,4.5,3895,7471.62082132749,575,Yes,No
90180,06/05/2023, apartment ,San Antonio,2,2.5,1570,3784.87719176937,609,Yes,No
90181,2024-02-02,Townhouse,San Antonio,5,4.5,3890,7582.99601600924,465,No,No
90182,2023-11-10,Apartment,San Antonio,5,5,3395,9158.71808141317,780,Yes,No
90183,2024-04-22,Apartment,Houston,5,5,3960,10460.2919796315,267,No,Yes
90184,2023-12-09, apartment ,San Antonio,5,5.5,2345,5962.92082133979,666,No,Yes
90185,2023-03-25,Condo,Dallas,4,4.5,2588,6438.79728207644,576,No,No
90186,2023-05-22,single family,Dallas,1,1,460,562.289673553915,205,Yes,No
90187,2024-08-12,Single Family,Austin,5,5.5,3160,7416.23842514131,224,Yes,No
90188,2024-02-11,single family,Dallas,1,1,658,1603.94066976949,575,Yes,No
90189,2024-10-07,Condo,Austin,4,4.5,2828,7567.00338256462,298,No,No
90190,2024-03-29,single family,Dallas,1,1,787,1036.55190545034,573,Yes,No
90191,2024-08-14,Townhouse,Houston,1,1.5,456,1120.82275823281,266,Yes,No
90192,01/05/2024,Townhouse,Dallas,5,5.5,2495,5378.4880816373,115,No,Yes
90193,12/01/2023,Condo,Dallas,2,2,1390,1769.2872323912,716,No,Yes
90194,2023-12-24, apartment ,San Antonio,1,1,724,1869.94733179712,90,No,No
90195,2024-08-03,single family,Austin,4,4,2124,5402.9987529072,734,Yes,No
90196,2024-08-28, apartment ,Austin,5,4.5,2830,7070.67224130159,235,No,Yes
90197,2024-11-03,Apartment,Houston,4,4.5,2708,7276.18017978658,429,Yes,No
90198,2024-01-28,Single Family,Dallas,3,3.5,1776,2554.30441956627,245,Yes,No
90199,2024-09-30,single family,Dallas,4,4.5,2528,5283.09858851428,477,Yes,No
90200,2023-07-29,single family,San Antonio,5,5,3815,7135.88831995352,754,Yes,No
90201,2024-10-09,single family,Dallas,2,2.5,836,1880.58763266773,55,No,No
90202,2023-07-07,Apartment,San Antonio,4,4.5,3180,5401.175707799,778,No,Yes
90203,2023-06-23,Single Family,San Antonio,3,3.5,1932,4929.99458408113,83,Yes,No
90204,2023-06-04,Condo,Austin,3,2.5,1584,2508.19534746082,533,No,Yes
90205,2024-07-16,Townhouse,Houston,4,4,2372,4586.42069482953,400,Yes,No
90206,2024-06-11,single family,Austin,1,1.5,522,658.773141422576,407,Yes,No
90207,2023-06-13, apartment ,Austin,4,4,2564,3531.21199407839,377,Yes,No
90208,2023-07-15, apartment ,Dallas,3,3.5,1662,4295.41504939423,613,No,Yes
90209,2023-04-10,single family,Houston,4,4.5,2120,3808.10548023139,383,No,Yes
90210,2024-08-22,single family,San Antonio,5,4.5,3535,8788.3159661816,750,No,Yes
90211,2023-01-06,Condo,San Antonio,3,3.5,2244,4685.35451116923,743,Yes,No
90212,2024-05-16,Single Family,Houston,3,3.5,1989,3800.40214067116,693,Yes,No
90213,2024-07-02,Condo,Austin,4,3.5,2868,7244.75186467727,275,Yes,No
90214,2024-06-05,single family,Dallas,1,1.5,546,863.406353244002,338,No,Yes
90215,2023-06-28,Apartment,Dallas,3,3,1377,3473.00967457416,115,Yes,No
90216,2024-08-07,Townhouse,Austin,5,5,2830,6982.16818007602,693,No,Yes
90217,2023-10-08,Single Family,San Antonio,5,5,3605,8841.74181527167,312,No,Yes
90218,2023-10-02,Condo,Dallas,1,1.5,559,720.417324685267,688,Yes,No
90219,2023-07-29, apartment ,San Antonio,2,2,804,,59,No,Yes
90220,2024-04-17, apartment ,Dallas,1,1,517,1001.48984171208,221,Yes,No
90221,2024-07-12,Condo,Dallas,2,1.5,1140,1897.32697810667,515,Yes,No
90222,2023-01-01,single family,San Antonio,2,2,1102,2665.99514169236,370,Yes,No
90223,2024-03-21,Apartment,Austin,5,5,2010,4029.92661001809,524,No,Yes
90224,2024-10-07,single family,Houston,2,1.5,844,1081.83535536911,375,No,Yes
90225,2023-05-16,single family,Houston,2,2,984,1606.33403077719,533,Yes,No
90226,2023-10-22,Condo,Austin,5,5,2020,3227.23522223776,332,No,No
90227,2024-03-25,Single Family,Austin,5,4.5,2645,5283.6302605244,379,No,Yes
90228,2023-10-21,Single Family,Austin,1,1,700,1330.53355599313,725,No,Yes
90229,2023-02-16,Single Family,Austin,5,5.5,2640,5354.50268751499,80,Yes,No
90230,2024-07-16, apartment ,Houston,5,5.5,2720,4934.4265480444,762,No,No
90231,2023-06-15, apartment ,Houston,4,4,3164,4784.81060744189,142,Yes,No
90232,2023-11-11,Townhouse,Dallas,5,5.5,2025,4397.87539845932,302,No,Yes
90233,2024-11-18,Apartment,Houston,2,1.5,1414,2991.04638544826,484,No,Yes
90234,2024-08-22, apartment ,San Antonio,3,2.5,1413,2894.91616772959,150,Yes,No
90235,2023-10-26,single family,Austin,1,1.5,426,1021.24154306466,600,No,Yes
90236,08/26/2024, apartment ,Houston,3,2.5,1260,3067.32077336932,793,No,No
90237,2024-06-15, apartment ,Austin,3,2.5,1218,2385.80005139578,60,Yes,No
90238,2024-06-16,Townhouse,Houston,1,1,530,1375.21850295934,586,Yes,No
90239,2023-02-13,Apartment,Austin,2,2,888,1788.69982463489,739,No,Yes
90240,2024-04-05,Townhouse,San Antonio,1,1.5,797,959.729208102696,678,No,No
90241,2023-02-19,Apartment,San Antonio,5,4.5,3955,7410.14933635814,492,Yes,No
90242,2023-07-20,single family,Dallas,1,1.5,615,1125.39651876031,310,Yes,No
90243,2023-02-02, apartment ,Dallas,2,1.5,846,1935.81045985371,156,Yes,No
90244,2023-11-24,Apartment,Austin,4,4,2396,5233.87136121666,708,Yes,No
90245,2023-03-04,single family,San Antonio,5,5,2655,6065.09660006831,66,No,No
90246,2024-03-28,Apartment,Houston,1,1.5,457,758.619178113024,660,No,Yes
90247,2024-03-22,single family,Austin,4,3.5,1968,3692.7154577076,520,Yes,No
90248,2024-09-21, apartment ,Houston,2,2,1288,1905.94603947976,152,Yes,No
90249,2023-03-29,Apartment,Houston,1,1,762,1243.72668137146,337,Yes,No
90250,2024-09-04,Townhouse,Houston,3,3.5,1680,3212.02762659827,401,Yes,No
90251,2023-08-20,Single Family,Dallas,1,1,640,1249.5909712769,425,No,No
90252,2023-12-23, apartment ,Houston,4,4.5,2424,6119.9333172932,561,Yes,No
90253,2024-10-19,Apartment,Houston,5,4.5,3310,8270.87522214738,344,Yes,No
90254,2024-01-13,Condo,San Antonio,2,2,1098,2441.45438745369,442,Yes,No
90255,2024-02-12,Townhouse,Houston,4,3.5,2632,3424.29161988436,236,Yes,No
90256,2024-01-31, apartment ,Austin,3,3.5,1560,2144.0790585373,658,No,Yes
90257,2024-05-30,Townhouse,Dallas,4,3.5,2264,4502.42273558491,165,No,No
90258,2023-03-03, apartment ,Austin,1,1,456,861.172600552241,457,Yes,No
90259,2023-06-21,Townhouse,San Antonio,2,2.5,1258,2978.63156478518,81,Yes,No
90260,2024-06-15,single family,Houston,3,3.5,1935,3941.11946480005,310,No,Yes
90261,2024-10-07,single family,Dallas,5,5,2060,4632.51206859784,456,Yes,No
90262,2024-02-01,Single Family,Houston,1,1.5,418,1038.02032093155,391,Yes,No
90263,2023-11-13,Townhouse,San Antonio,1,1.5,759,1521.7067882122,491,Yes,No
90264,2024-04-24,Townhouse,Houston,4,4,2536,5393.29225670346,421,No,No
90265,2024-10-01,Single Family,Houston,5,5.5,2930,7259.66327065214,-754,Yes,No
90266,2023-03-12,Townhouse,Houston,4,4.5,3160,4147.99108203128,769,No,Yes
90267,2023-05-04,single family,Dallas,4,4.5,3164,7538.31699397318,149,Yes,No
90268,2024-11-30,Condo,San Antonio,1,1,578,896.427811562376,484,Yes,No
90269,11/12/2024, apartment ,San Antonio,3,3.5,2343,3967.35172334269,60,Yes,No
90270,2024-02-21,single family,San Antonio,1,1,560,1109.26310327522,180,Yes,No
90271,2023-09-08,Townhouse,San Antonio,2,2,976,2045.37662527513,507,No,No
90272,2024-11-29,single family,Austin,3,3.5,2379,6083.08933631689,249,Yes,No
90273,2023-11-22,single family,Austin,3,3.5,2157,3745.84018347582,516,No,No
90274,2024-11-24, apartment ,Austin,3,3.5,1512,2311.32875386818,67,No,Yes
90275,2023-05-12, apartment ,Austin,5,5.5,3200,6128.91313182605,230,Yes,No
90276,2023-07-25,Condo,Dallas,3,3,1353,,360,Yes,No
90277,2024-07-12,Townhouse,Dallas,1,1,475,1131.9361626622,147,Yes,No
90278,2024-04-12, apartment ,Dallas,1,1.5,446,568.052500304045,565,Yes,No
90279,2024-06-09,Single Family,Houston,5,5,2645,,422,No,Yes
90280,2023-07-06,Townhouse,Austin,3,3.5,1395,2643.33428099115,505,No,Yes
90281,2023-03-16,Townhouse,Dallas,4,3.5,2880,4486.45805234018,164,No,Yes
90282,2023-06-04, apartment ,Dallas,1,1,669,1415.85183604409,277,No,Yes
90283,2024-09-09,Condo,Houston,2,2,1550,2097.24727723154,792,No,Yes
90284,2023-07-19,Single Family,Houston,2,2.5,1208,2769.71093513114,318,No,Yes
90285,09/08/2024,Townhouse,Dallas,1,1,557,1403.08069692221,657,No,Yes
90286,2024-11-03, apartment ,San Antonio,5,4.5,3475,6394.7101083804,410,Yes,No
90287,2023-02-23,Single Family,Austin,2,2,1456,3476.39727183189,404,No,Yes
90288,2024-11-02,Townhouse,San Antonio,1,1,707,1581.59051748057,762,No,Yes
90289,2024-01-14,Apartment,Austin,1,1,422,628.138188010984,364,No,Yes
90290,2023-05-04,Townhouse,San Antonio,3,3.5,2244,5908.04326532206,164,No,Yes
90291,2023-03-10,Single Family,Houston,1,1,460,998.058174528209,266,No,Yes
90292,2023-09-05, apartment ,Austin,4,3.5,1808,2510.71492542043,747,Yes,No
90293,2023-11-20,Apartment,Houston,4,4,2464,4611.36807101079,391,No,No
90294,2023-09-27,Condo,Dallas,1,1,588,729.219700401844,306,Yes,No
90295,2024-08-19,Townhouse,Dallas,4,4.5,2376,6172.33137621113,479,Yes,No
90296,2024-10-27,single family,Austin,3,2.5,2277,,585,No,Yes
90297,2024-08-12,Single Family,Austin,3,3,2244,2885.45771454231,672,Yes,No
90298,2023-01-11,Condo,Austin,5,4.5,3625,9613.19414229397,300,No,No
90299,2024-02-14,Single Family,San Antonio,1,1,490,760.943818766132,644,Yes,No
90300,2024-09-27,Townhouse,Dallas,5,5,3160,3913.07407428374,369,Yes,No
90301,2023-01-07,Condo,Dallas,1,1.5,603,1134.25101073503,604,Yes,No
90302,2023-10-28,Single Family,Houston,4,3.5,1808,4546.95976341803,87,Yes,No
90303,2024-03-12,Condo,San Antonio,1,1,570,820.499929733807,130,No,Yes
90304,2024-06-23,single family,Dallas,2,2,934,2258.43166610321,95,Yes,No
90305,2024-09-15, apartment ,Dallas,3,3,2352,3728.8316168476,674,Yes,No
90306,2024-02-23,Apartment,Dallas,4,4.5,2112,3372.11040919689,156,No,No
90307,2024-02-19, apartment ,San Antonio,4,4.5,2264,5325.45145465576,199,No,Yes
90308,2024-11-17,single family,Houston,2,2.5,1352,2587.04777106636,760,No,No
90309,2024-09-29,Condo,Houston,4,4,3036,3865.4701818283,87,Yes,No
90310,2024-01-18,Apartment,Houston,4,3.5,3000,6544.58517057103,715,Yes,No
90311,2024-05-03,single family,Austin,4,4.5,2460,4571.11435943521,446,No,No
90312,2023-06-06, apartment ,San Antonio,5,4.5,3040,6628.06710440855,680,No,Yes
90313,2024-10-27,Single Family,Austin,2,1.5,1590,2426.09396576746,795,No,No
90314,2023-02-12,single family,Houston,1,1,576,1059.54120725856,586,No,No
90315,2024-09-03, apartment ,Dallas,5,5.5,3200,8339.01255131653,618,No,No
90316,2024-09-29,Apartment,Dallas,3,2.5,1245,2497.89594166837,56,No,Yes
90317,2024-09-18,Single Family,Dallas,1,1,523,774.59610674707,619,Yes,No
90318,2023-02-25,Apartment,Dallas,1,1.5,706,1790.77210405151,158,Yes,No
90319,2023-06-10,single family,San Antonio,3,3.5,1464,3656.50239003734,118,Yes,No
90320,2024-01-08, apartment ,San Antonio,2,1.5,1408,3649.31590833725,671,No,Yes
90321,2023-05-17,Townhouse,Austin,4,3.5,2800,4960.90340608773,207,Yes,No
90322,2023-11-15,Townhouse,Houston,4,4,3180,5913.55159502269,657,Yes,No
90323,2024-10-22,Condo,Dallas,5,5.5,2800,7062.18761158278,751,Yes,No
90324,2024-11-06,Apartment,San Antonio,2,1.5,1242,2058.18017783714,401,Yes,No
