RecordID,Date,Platform,Impressions,Reach,PageViews,FollowersGained,Engagements,PostsPublished,VideoViews,WatchTimeMins,WebUsers,Purchases,Revenue,Sessions
50024,2024-04-17,Facebook,2362,1204,191,34,259,0,0,0,334,0,0,400
50025,2024-05-07,Instagram,2629,1472,308,-1,315,0,0,0,320,6,720,384
50026,05/16/2024,LinkedIn,2432,1070,426,31,291,2,0,0,88,0,0,105
50027,2024-04-26, instagram ,3171,2600,495,0,126,0,0,0,72,0,0,86
50028,2024-04-14,YouTube,2426,1431,259,8,218,0,2170,48568,361,1,108,433
50029,2024-03-09,Facebook,2415,1593,275,48,313,2,0,0,191,0,0,229
50030,2024-04-19, instagram ,1585,871,371,10,206,2,0,0,280,9,918,336
50031,04/17/2024,YouTube,-3666,2346,260,10,403,1,9704,1381,345,0,0,414
50032,2024-05-06,Facebook,2175,1848,310,37,108,3,0,0,172,7,637,206
50033,2024-05-05, instagram ,1036,559,16,2,134,2,0,0,167,2,140,200
50034,2024-05-04,YouTube,4321,2333,144,22,172,1,1918,13346,164,0,0,196
50035,03/19/2024,LinkedIn,1468,822,673,20,161,2,0,0,318,0,0,381
50036,2024-03-15,Facebook,934,635,757,6,93,0,0,0,236,1,87,283
50037,2024-05-07,YouTube,3138,2353,696,4,439,0,4894,43722,398,0,0,477
50038,2024-03-13,LinkedIn,4935,3948,181,27,493,0,0,0,205,0,0,246
50039,2024-03-23,LinkedIn,-3422,2874,176,7,376,1,0,0,483,0,0,579
50040,2024-05-02,LinkedIn,-2215,1395,115,0,22,0,0,0,74,5,625,88
50041,2024-04-02,Instagram,4895,4307,174,23,244,0,0,0,198,0,0,237
50042,04/11/2024,Instagram,1109,920,774,-5,155,0,0,0,229,0,0,274
50043,2024-04-03,LinkedIn,2116,1079,250,0,211,2,0,0,279,5,255,334
50044,2024-03-10,Facebook,3550,2130,475,-3,461,1,0,0,464,4,320,556
50045,03/13/2024,youtube,1066,938,538,48,10,3,1342,25847,416,0,0,499
50046,2024-05-10,YouTube,194,116,604,8,23,2,3557,28217,59,0,0,70
50047,2024-04-10,LinkedIn,127,83,786,41,11,0,0,0,467,6,822,560
50048,2024-03-08,YouTube,1313,669,613,4,105,1,7920,7391,263,0,0,315
50049,2024-04-26, instagram ,1879,1277,360,4,225,3,0,0,202,9,774,242
50050,2024-05-24,YouTube,2397,1989,758,46,215,3,3110,13620,490,4,364,588
50051,2024-03-15,YouTube,2080,894,334,3,187,3,7133,22715,455,0,0,546
50052,2024-03-14,YouTube,352,253,83,29,35,2,9065,5330,188,0,0,225
50053,2024-03-13, instagram ,695,569,189,42,55,1,0,0,421,0,0,505
50054,2024-03-18,Instagram,486,208,177,49,14,3,0,0,83,0,0,99
50055,2024-03-30,Instagram,331,172,126,36,9,2,0,0,460,9,621,552
50056,2024-05-13,LinkedIn,989,801,567,0,19,1,0,0,440,3,447,528
50057,2024-04-05,LinkedIn,3491,1745,484,30,418,3,0,0,209,0,0,250
50058,2024-03-03,youtube,4992,3294,38,42,249,3,9918,23888,152,0,,182
50059,2024-05-15,YouTube,4489,2917,126,23,404,3,536,9406,226,0,0,271
50060,2024-04-28,LinkedIn,3613,2059,256,20,361,3,0,0,76,4,228,91
50061,2024-05-16,youtube,2636,1318,412,25,316,3,6441,13398,152,0,0,182
50062,2024-05-24, instagram ,2926,2604,356,20,292,2,0,0,185,0,,222
50063,2024-03-11, instagram ,913,502,598,18,45,2,0,0,133,9,774,159
50064,2024-03-08, instagram ,1756,790,157,10,122,1,0,0,431,0,0,517
50065,2024-05-22,LinkedIn,1789,1484,408,41,125,1,0,0,296,0,0,355
50066,2024-04-22,Facebook,4842,2808,475,19,290,0,0,0,390,0,0,468
50067,2024-04-03,youtube,2841,1306,259,35,227,2,6486,30666,314,6,576,376
50068,2024-04-21, instagram ,4354,3744,668,19,522,2,0,0,299,0,0,358
50069,2024-03-04,youtube,473,198,518,3,28,1,7635,3706,418,0,0,501
50070,2024-05-12, instagram ,769,599,228,-3,15,1,0,0,267,0,0,320
50071,2024-03-18,youtube,3196,2173,741,14,255,2,6137,23699,129,1,127,154
50072,03/08/2024,LinkedIn,3781,2835,606,25,151,3,0,0,324,0,0,388
50073,2024-04-07,YouTube,2828,1272,690,36,339,3,9866,12845,194,7,,232
50074,2024-03-25,Facebook,1920,1440,72,-5,134,0,0,0,230,0,0,276
50075,2024-05-22,LinkedIn,344,172,547,21,34,1,0,0,363,2,148,435
50076,2024-04-16,YouTube,3620,2534,428,13,289,3,7161,44419,295,9,765,354
50077,2024-04-18,Instagram,1999,1619,502,16,119,2,0,0,307,4,156,368
50078,2024-04-15, instagram ,2634,2054,82,34,26,2,0,0,230,0,0,276
50079,2024-04-06, instagram ,1811,996,509,46,54,0,0,0,357,3,219,428
50080,2024-03-25, instagram ,900,432,44,49,36,3,0,0,308,0,0,369
50081,2024-05-28,Instagram,390,198,98,38,15,3,0,0,396,0,0,475
50082,2024-05-28,YouTube,3695,2623,62,12,110,3,2260,8250,91,0,0,109
50083,2024-04-07,YouTube,2284,913,358,49,68,0,9706,8770,58,9,540,69
50084,2024-05-21, instagram ,339,159,166,13,20,3,0,0,225,9,414,270
50085,2024-04-06,LinkedIn,598,310,697,-2,47,1,0,0,201,0,0,241
50086,2024-05-29,youtube,3741,2169,419,8,112,2,3013,30690,132,3,108,158
50087,2024-03-01,youtube,3118,2775,497,3,93,3,8447,36546,236,0,0,283
50088,2024-03-13,YouTube,896,430,618,4,8,0,5133,5140,273,8,1032,327
50089,2024-03-06,LinkedIn,239,174,12,9,26,2,0,0,277,0,,332
50090,2024-05-03, instagram ,4421,2741,443,35,88,0,0,0,98,0,0,117
50091,2024-04-29,Facebook,119,60,40,30,16,0,0,0,233,0,0,279
50092,2024-04-22,LinkedIn,2580,1625,383,15,154,1,0,0,486,0,0,583
50093,2024-04-03,Instagram,1532,980,591,1,107,2,0,0,355,7,511,426
50094,2024-03-31,YouTube,1639,934,423,48,147,1,9124,2607,120,8,264,144
50095,2024-04-05,YouTube,4392,2239,141,10,307,1,1471,38308,415,7,301,498
50096,2024-05-27, instagram ,3189,1753,348,17,318,3,0,0,223,0,0,267
50097,2024-04-12,Facebook,1665,1215,141,-3,33,1,0,0,220,0,0,264
50098,2024-05-12,Facebook,4621,3049,586,40,323,3,0,0,345,3,153,414
50099,2024-05-10,youtube,2091,1254,240,36,62,1,4741,23343,258,0,0,309
50100,03/22/2024,Instagram,4268,3201,196,24,42,0,0,0,443,0,0,531
50101,2024-04-05, instagram ,3637,2291,450,44,363,0,0,0,460,9,1026,552
50102,2024-03-25,Instagram,2864,2348,686,9,400,1,0,0,358,0,0,429
50103,2024-04-18,YouTube,4339,2169,53,20,390,0,8265,39231,463,0,0,555
50104,2024-05-11,Facebook,4828,4007,728,38,434,2,0,0,214,9,756,256
50105,03/25/2024,LinkedIn,2449,1714,369,-3,171,1,0,0,323,0,0,387
50106,2024-05-23,Instagram,-3524,2396,716,-5,140,3,0,0,222,0,0,266
50107,2024-05-16,LinkedIn,988,434,712,22,128,0,0,0,281,0,0,337
50108,2024-04-27,Instagram,475,285,647,26,9,3,0,0,185,0,0,222
50109,03/10/2024,youtube,523,324,555,30,36,0,4758,37107,269,1,,322
50110,2024-03-21,youtube,2904,1945,117,25,58,0,7922,38028,82,3,432,98
50111,2024-05-11,YouTube,-3014,2531,47,17,90,0,8100,17645,467,0,0,560
50112,2024-03-26,youtube,4678,2993,448,43,233,3,2864,45546,447,0,0,536
50113,2024-04-15,Instagram,4466,1965,344,13,89,2,0,0,240,0,0,288
50114,2024-04-30, instagram ,4869,4089,512,48,48,3,0,0,156,0,0,187
50115,2024-03-13, instagram ,1380,993,449,17,138,1,0,0,107,8,552,128
50116,2024-03-06,YouTube,584,467,465,32,17,1,1200,26377,416,0,0,499
50117,2024-05-07, instagram ,4853,2086,560,-2,485,2,0,0,392,0,0,470
50118,2024-03-03,Facebook,3459,2905,19,37,138,3,0,0,81,0,0,97
50119,2024-03-12,youtube,4022,2252,444,8,40,2,9111,15501,216,8,664,259
50120,2024-05-10,LinkedIn,319,159,581,38,3,3,0,0,411,0,0,493
50121,2024-05-02,youtube,2844,2417,651,5,227,0,7335,48996,350,4,368,420
50122,2024-05-12,LinkedIn,3387,2743,642,2,440,0,0,0,124,0,0,148
50123,03/05/2024,LinkedIn,3067,2668,228,10,245,0,0,0,233,5,600,279
50124,2024-04-18,LinkedIn,729,605,553,8,14,3,0,0,436,0,0,523
50125,2024-04-28,Instagram,1635,1422,748,30,196,3,0,0,305,0,0,366
50126,2024-03-07,LinkedIn,319,137,308,21,35,1,0,0,148,0,0,177
50127,2024-04-19,Instagram,2741,1973,520,27,27,3,0,0,124,0,0,148
50128,2024-04-24,YouTube,1282,769,574,-2,76,2,5949,33366,168,0,,201
50129,2024-04-10,Facebook,3816,1984,39,8,38,3,0,0,330,0,0,396
50130,2024-03-23,LinkedIn,3714,1782,326,31,334,2,0,0,89,0,0,106
50131,2024-05-19,Instagram,3593,3125,786,34,467,3,0,0,112,0,0,134
50132,2024-03-23, instagram ,203,172,262,12,22,3,0,0,352,0,0,422
50133,03/21/2024,youtube,531,419,388,3,47,1,2670,5572,269,0,0,322
50134,2024-03-22, instagram ,857,497,686,12,102,0,0,0,464,0,0,556
50135,2024-03-01,YouTube,4507,3290,763,5,270,3,2393,18280,341,0,0,409
50136,2024-05-16, instagram ,2272,1385,102,47,68,1,0,0,219,0,0,262
50137,2024-03-05,Facebook,4135,2108,647,41,330,2,0,0,496,8,1016,595
50138,2024-05-05, instagram ,4350,3480,63,19,261,0,0,0,109,0,0,130
50139,2024-03-28,Facebook,2856,2427,129,14,285,2,0,0,193,6,384,231
50140,2024-03-28,Instagram,2184,1288,580,46,305,1,0,0,64,0,0,76
50141,2024-05-02,LinkedIn,1977,889,292,37,39,1,0,0,461,0,0,553
50142,2024-04-10,Instagram,3929,1768,501,42,314,2,0,0,460,7,518,552
50143,2024-04-17,YouTube,3815,3052,717,48,381,0,2132,48636,52,3,228,62
50144,2024-04-27,YouTube,2707,2165,29,22,378,3,1965,37911,300,0,0,360
50145,2024-03-29, instagram ,4145,3067,227,48,290,0,0,0,60,0,0,72
50146,2024-03-20,youtube,789,347,250,36,31,2,1178,3553,401,0,0,481
50147,2024-05-20,youtube,2531,2126,470,26,101,1,3999,6065,70,0,0,84
50148,2024-04-02,youtube,2815,2083,140,11,281,3,1270,1750,386,0,0,463
50149,03/22/2024,Facebook,4131,1941,105,36,371,2,0,0,333,0,0,399
50150,2024-05-12,YouTube,3528,2152,388,38,352,1,7469,24878,187,0,0,224
50151,2024-04-11,youtube,4407,3525,354,31,396,0,2764,29265,189,0,0,226
50152,2024-04-13,Instagram,453,199,68,21,63,1,0,0,304,0,0,364
50153,2024-04-04,Facebook,4069,1953,440,39,203,3,0,0,215,1,90,258
50154,2024-04-14,Instagram,2350,1997,662,31,188,1,0,0,378,0,0,453
50155,2024-03-22,Instagram,1358,774,682,29,54,0,0,0,452,0,0,542
50156,2024-05-21,Facebook,2908,1570,71,46,348,1,0,0,469,0,0,562
50157,2024-04-21, instagram ,3442,2891,694,30,275,0,0,0,413,3,189,495
50158,2024-04-09,Facebook,3370,2190,498,33,337,3,0,0,304,0,0,364
50159,2024-03-31,Instagram,770,377,545,-4,15,0,0,0,452,5,375,542
50160,2024-04-08, instagram ,3490,1675,672,6,174,1,0,0,144,0,0,172
50161,03/11/2024,LinkedIn,1214,1068,547,48,145,0,0,0,85,0,0,102
50162,2024-03-22,youtube,1286,1105,392,16,115,0,8366,13149,374,5,735,448
50163,2024-05-13,Facebook,4654,3862,756,10,279,0,0,0,157,0,0,188
50164,2024-04-21,YouTube,406,357,186,25,52,3,6197,26401,491,0,0,589
50165,2024-04-10,Instagram,3450,2656,758,6,379,1,0,0,243,0,0,291
50166,2024-05-09,Instagram,3531,2577,178,28,247,0,0,0,366,0,0,439
50167,2024-04-06,LinkedIn,1614,758,439,38,177,1,0,0,66,0,0,79
50168,2024-05-02,YouTube,3640,1565,519,40,364,2,8273,15912,68,0,0,81
50169,2024-05-16,Instagram,3494,1991,396,-5,209,2,0,0,186,0,0,223
50170,03/29/2024,youtube,4275,3334,367,4,85,3,1649,35079,374,6,180,448
50171,2024-05-11,youtube,1008,665,361,28,60,0,5673,7544,62,0,0,74
50172,2024-04-02,Instagram,693,297,179,16,41,2,0,0,66,9,936,79
50173,2024-04-04, instagram ,3356,1443,323,0,402,2,0,0,193,0,0,231
50174,03/08/2024,youtube,4399,2551,698,1,483,3,5609,29502,295,0,0,354
50175,2024-04-24,youtube,832,640,358,-1,66,2,9637,13514,367,0,0,440
50176,2024-04-13,YouTube,4958,2280,104,9,297,1,6543,30492,117,5,660,140
50177,2024-03-20,YouTube,3198,2462,244,30,447,1,1779,20647,327,0,0,392
50178,2024-05-24,Instagram,3915,2505,217,21,313,2,0,0,438,8,1128,525
50179,2024-03-10,LinkedIn,2223,978,24,-5,244,0,0,0,61,7,1036,73
50180,2024-05-19,LinkedIn,1372,644,377,30,178,3,0,0,479,1,39,574
50181,05/11/2024,youtube,4621,2495,28,49,462,0,8797,46854,205,7,602,246
50182,2024-05-01,youtube,2912,1776,541,11,320,1,7219,30568,265,0,0,318
50183,2024-05-17,Facebook,3673,1579,455,36,477,3,0,0,196,0,0,235
50184,2024-03-12,LinkedIn,3679,2170,237,45,331,1,0,0,209,0,0,250
50185,2024-04-05,Instagram,4710,1884,419,11,376,1,0,0,421,0,0,505
50186,2024-05-03,Instagram,552,391,764,26,22,0,0,0,108,0,0,129
50187,2024-05-16,Facebook,4444,3377,348,21,444,0,0,0,250,6,324,300
50188,2024-04-21,Instagram,1310,1048,729,10,13,2,0,0,297,0,0,356
50189,2024-03-10,LinkedIn,-3054,1282,547,39,335,2,0,0,228,0,,273
50190,2024-05-15,Facebook,3761,3309,329,22,451,1,0,0,228,4,388,273
50191,2024-03-31, instagram ,1878,1277,790,-3,225,3,0,0,123,0,0,147
50192,2024-05-19,Instagram,4489,2424,187,33,359,0,0,0,395,0,0,474
50193,2024-05-26, instagram ,675,344,261,6,54,3,0,0,162,0,0,194
50194,2024-03-03,Facebook,1830,1372,81,15,201,3,0,0,249,4,484,298
50195,2024-05-22,youtube,3616,3037,699,22,253,3,8259,24481,289,0,0,346
50196,2024-03-25,YouTube,2538,1700,576,15,329,0,7819,10999,317,8,1080,380
50197,05/16/2024,YouTube,2395,1293,732,4,191,0,2827,27280,151,0,0,181
50198,05/28/2024,youtube,682,375,130,6,27,0,5610,6789,351,0,0,421
50199,2024-05-23,LinkedIn,3573,2036,791,48,285,1,0,0,487,0,0,584
50200,2024-04-25,Facebook,3227,1710,664,46,225,0,0,0,363,0,0,435
50201,2024-05-11,YouTube,4632,2454,481,11,277,2,3743,31039,498,4,432,597
50202,2024-05-05,LinkedIn,4591,2754,417,9,596,0,0,0,499,0,0,598
50203,2024-03-01,Instagram,3576,3111,287,22,107,0,0,0,218,2,254,261
50204,2024-05-11, instagram ,-3715,3269,61,43,37,3,0,0,227,0,0,272
50205,2024-04-23,LinkedIn,4030,2458,486,17,483,2,0,0,366,0,0,439
50206,2024-03-02,Instagram,3545,1843,517,14,248,2,0,0,190,0,0,228
50207,2024-04-03,youtube,4994,3246,53,30,399,3,3667,19725,240,0,0,288
50208,2024-05-06,YouTube,3430,3052,105,2,171,0,3923,39780,100,1,149,120
50209,2024-05-14,LinkedIn,3767,3352,574,21,339,1,0,0,453,0,0,543
50210,2024-04-03,YouTube,2888,1212,263,19,259,1,2281,33503,450,3,276,540
50211,2024-03-31,youtube,288,190,316,13,31,0,910,6249,293,2,292,351
50212,2024-04-07,LinkedIn,2507,2181,217,-3,100,0,0,0,147,1,98,176
50213,2024-03-01,YouTube,2659,2206,588,41,132,1,8286,1205,174,0,0,208
50214,2024-05-02,YouTube,4259,1916,768,9,255,2,9066,39335,198,3,321,237
50215,2024-03-06,Facebook,3015,1869,334,42,241,0,0,0,133,0,0,159
50216,2024-03-20,Instagram,2027,1317,26,15,283,0,0,0,438,9,1323,525
50217,2024-03-13,Instagram,2723,1688,227,22,381,1,0,0,159,7,448,190
50218,2024-04-23,YouTube,1066,724,138,47,127,0,4752,23267,102,0,0,122
50219,2024-04-08,Facebook,4889,2248,401,17,391,1,0,0,372,8,384,446
50220,2024-03-08,Instagram,1387,1095,355,37,83,1,0,0,134,1,40,160
50221,2024-03-02,Facebook,3922,3019,631,8,39,2,0,0,96,1,122,115
50222,2024-03-12, instagram ,693,401,144,6,97,2,0,0,61,0,0,73
50223,2024-05-23,Instagram,2721,1442,559,23,326,1,0,0,301,0,0,361
50224,2024-03-15,LinkedIn,157,105,346,-2,12,0,0,0,484,0,0,580
50225,2024-04-08,Facebook,1411,959,189,34,141,2,0,0,266,0,0,319
50226,2024-03-30,YouTube,2695,1374,462,39,323,2,6589,48767,164,0,0,196
50227,2024-05-21,youtube,3892,2257,496,20,155,1,7189,45879,280,9,,336
50228,2024-05-07,youtube,1986,873,601,8,278,2,1948,23695,181,0,0,217
50229,2024-03-31,Instagram,1421,1023,754,34,170,1,0,0,163,0,0,195
50230,2024-04-29,YouTube,1295,1139,200,10,181,3,5576,32104,425,0,0,510
50231,2024-05-27,YouTube,622,472,298,11,12,1,8151,23837,116,8,440,139
50232,2024-05-15,LinkedIn,3597,1546,425,-2,71,1,0,0,395,0,0,474
50233,2024-03-23,Instagram,1491,834,40,5,14,1,0,0,421,0,0,505
50234,2024-03-13,youtube,1669,700,161,46,233,2,3020,45344,353,0,0,423
50235,2024-04-25,YouTube,3247,1623,272,35,259,3,5718,23343,414,5,305,496
50236,2024-03-26,LinkedIn,4045,2305,474,28,161,1,0,0,121,4,436,145
50237,2024-04-29,Instagram,4815,2648,427,25,577,0,0,0,229,0,0,274
50238,2024-05-10,Facebook,3599,1979,231,-5,467,3,0,0,167,0,0,200
50239,2024-03-16,Instagram,1183,508,212,3,82,1,0,0,184,0,0,220
50240,2024-03-28,youtube,540,448,80,22,5,0,6814,17663,138,7,966,165
50241,2024-04-02,YouTube,3217,2026,181,7,193,1,9810,14913,428,0,0,513
50242,2024-05-15,LinkedIn,1773,1418,67,13,124,0,0,0,328,0,0,393
50243,2024-04-06,LinkedIn,1271,838,577,0,101,3,0,0,134,0,0,160
50244,2024-03-20,LinkedIn,4183,3430,515,14,125,2,0,0,321,3,369,385
50245,2024-05-17,LinkedIn,2794,1676,467,33,195,1,0,0,187,0,0,224
50246,2024-03-18,Facebook,3393,1730,192,49,135,2,0,0,65,7,413,78
50247,2024-05-29,youtube,4670,1961,784,21,280,0,9905,26984,284,0,0,340
50248,03/18/2024,LinkedIn,1649,1451,86,28,131,3,0,0,271,0,0,325
50249,2024-05-01,YouTube,3654,2302,59,40,292,1,7899,35759,175,7,791,210
50250,2024-04-03,youtube,320,236,680,36,38,3,6487,20049,495,0,0,594
50251,2024-05-11,Instagram,4526,3982,335,20,181,2,0,0,401,0,0,481
50252,2024-05-23,Instagram,1075,537,686,13,43,0,0,0,267,0,0,320
50253,2024-04-09, instagram ,2011,1025,183,7,120,1,0,0,413,0,0,495
50254,2024-04-03,Instagram,847,381,667,33,67,3,0,0,213,6,690,255
50255,05/04/2024,Facebook,4182,1714,641,2,83,0,0,0,218,0,0,261
50256,2024-04-08,Instagram,915,649,718,0,36,2,0,0,419,0,0,502
50257,2024-03-30,YouTube,2578,1933,70,38,283,1,1756,33176,463,8,240,555
50258,2024-03-01,Facebook,1754,1122,741,19,35,2,0,0,144,0,0,172
50259,2024-03-28,LinkedIn,3805,1522,612,47,76,1,0,0,312,0,0,374
50260,2024-05-03,Instagram,1316,1131,148,35,118,3,0,0,243,0,0,291
50261,2024-03-07,Instagram,2164,930,46,14,21,3,0,0,78,0,0,93
50262,2024-04-30, instagram ,4570,3656,755,15,639,3,0,0,145,0,0,174
50263,2024-03-12,youtube,3640,2548,436,-3,327,1,2771,25491,81,7,896,97
50264,2024-05-21,youtube,4542,2180,604,45,317,0,852,6294,469,1,34,562
50265,2024-05-21,Facebook,1423,853,126,40,14,1,0,0,247,0,0,296
50266,2024-03-13,youtube,2568,1720,386,39,359,0,9901,12897,224,0,0,268
50267,2024-03-21,LinkedIn,2647,2064,737,-2,370,1,0,0,202,8,1064,242
50268,2024-05-06,Instagram,4830,2415,133,22,338,0,0,0,419,0,,502
50269,2024-03-03,youtube,2025,972,172,47,121,1,9446,11846,348,0,0,417
50270,2024-05-27,youtube,2428,1578,770,4,339,1,9912,36727,487,7,889,584
50271,2024-05-26, instagram ,883,547,553,0,70,1,0,0,120,0,0,144
50272,2024-04-14, instagram ,4250,3527,656,32,340,0,0,0,261,0,0,313
50273,2024-05-28,YouTube,731,292,609,-5,58,2,3134,26968,232,0,0,278
50274,2024-05-10,youtube,4039,2059,559,14,484,3,4301,11915,245,0,0,294
50275,2024-04-15,YouTube,760,524,213,35,83,0,9667,38061,280,0,0,336
50276,2024-04-05, instagram ,3357,2987,306,8,167,3,0,0,374,6,564,448
50277,03/27/2024,Facebook,4488,2109,273,49,179,2,0,0,272,6,372,326
50278,2024-04-18,LinkedIn,2325,976,134,24,209,2,0,0,110,0,0,132
50279,2024-03-08,Instagram,3026,2481,374,22,151,2,0,0,454,0,0,544
50280,2024-03-16, instagram ,4890,2787,45,5,489,0,0,0,86,0,0,103
50281,2024-04-12, instagram ,296,227,290,19,14,3,0,0,64,0,0,76
50282,2024-05-24,Facebook,3298,1517,315,18,329,1,0,0,234,0,0,280
50283,2024-05-20,Facebook,4428,3321,65,40,531,0,0,0,227,0,0,272
50284,2024-05-24,YouTube,4351,3263,770,35,522,0,8879,42179,215,8,600,258
50285,2024-04-18,Facebook,-2355,1789,775,24,259,1,0,0,225,3,312,270
50286,2024-05-01, instagram ,3388,2778,73,22,372,2,0,0,97,2,70,116
50287,2024-03-05, instagram ,1579,710,14,31,78,0,0,0,385,1,81,462
50288,2024-04-12,youtube,2057,1522,320,-3,205,1,621,2660,482,0,0,578
50289,2024-04-14,Instagram,1781,1335,420,12,231,1,0,0,59,5,700,70
50290,2024-03-07,Facebook,3187,2326,253,30,318,2,0,0,52,0,0,62
50291,2024-03-05,Facebook,2860,2488,423,31,114,0,0,0,450,0,0,540
50292,2024-04-30,LinkedIn,3922,2863,32,47,470,1,0,0,376,0,0,451
50293,2024-04-17,youtube,1179,483,671,16,129,0,9827,48359,190,0,0,228
50294,2024-04-30,LinkedIn,3431,3019,431,22,480,2,0,0,167,3,423,200
50295,2024-04-13,youtube,3539,2972,714,35,70,0,5939,45958,452,0,0,542
50296,2024-03-10,Instagram,346,211,118,4,41,3,0,0,423,6,732,507
50297,2024-05-14,LinkedIn,2493,1770,367,3,24,1,0,0,472,0,0,566
50298,2024-04-27,Facebook,1514,1014,15,12,166,0,0,0,123,0,0,147
50299,2024-03-06,Facebook,1609,965,331,0,209,0,0,0,196,0,0,235
50300,2024-05-22,youtube,4617,1985,599,14,554,3,3286,11508,373,0,0,447
50301,2024-03-14,LinkedIn,2245,1953,354,38,67,3,0,0,364,0,0,436
50302,2024-04-22,Facebook,2195,1777,100,6,131,1,0,0,192,0,0,230
50303,2024-03-09,YouTube,190,91,713,4,15,3,5429,46845,265,0,0,318
50304,2024-05-10,youtube,776,582,725,31,46,0,6502,2288,377,0,0,452
50305,2024-04-18,Facebook,732,336,759,24,102,2,0,0,54,0,0,64
50306,2024-05-11,Instagram,445,293,582,9,48,0,0,0,134,2,246,160
50307,2024-04-10, instagram ,2257,1128,749,16,248,3,0,0,151,0,0,181
50308,2024-05-03,Facebook,4645,3901,674,29,278,2,0,0,290,0,0,348
50309,2024-05-19,youtube,948,843,104,4,28,2,1366,14825,238,0,0,285
50310,2024-05-03,Instagram,1275,790,585,43,38,3,0,0,365,1,57,438
50311,2024-05-07,YouTube,4283,3554,188,31,85,3,3759,28390,409,6,516,490
50312,2024-03-08, instagram ,3632,1743,441,13,108,0,0,0,403,3,405,483
50313,04/06/2024,YouTube,1409,1099,657,20,126,0,5633,22253,453,0,0,543
50314,2024-04-07,Instagram,4716,2923,345,15,424,2,0,0,174,0,0,208
50315,2024-05-11,Instagram,3251,1918,41,1,97,2,0,0,107,0,0,128
50316,2024-05-05,LinkedIn,1181,696,183,42,11,2,0,0,140,0,0,168
50317,2024-04-29,Facebook,4155,2035,544,35,290,2,0,0,157,0,0,188
50318,2024-04-22,Instagram,1430,1029,156,41,200,3,0,0,267,2,180,320
50319,2024-05-29,LinkedIn,2068,992,437,4,20,3,0,0,494,4,252,592
50320,2024-05-01, instagram ,3325,2061,333,43,99,1,0,0,253,7,777,303
50321,2024-05-26,youtube,347,256,66,1,20,1,6874,21371,121,0,0,145
50322,04/21/2024,YouTube,4007,2844,366,41,200,3,1591,48230,85,0,0,102
50323,2024-04-04,Facebook,4640,2876,191,8,139,2,0,0,142,0,0,170
50324,2024-04-02, instagram ,3545,2304,564,-1,425,3,0,0,279,0,0,334
50325,03/10/2024,LinkedIn,1080,874,744,37,54,1,0,0,326,0,0,391
50326,2024-03-21,youtube,4291,2231,595,36,42,1,2831,28507,110,0,0,132
50327,2024-04-23,Instagram,3384,1421,423,36,169,0,0,0,100,0,0,120
50328,2024-04-05,youtube,3204,2242,418,24,224,1,3508,41759,78,0,0,93
50329,2024-04-17,Facebook,3724,1526,454,4,74,1,0,0,368,0,0,441
50330,2024-03-25,LinkedIn,632,518,314,5,69,3,0,0,384,0,0,460
50331,2024-05-15, instagram ,2851,2052,365,27,114,3,0,0,465,8,240,558
50332,2024-05-20,youtube,3895,2142,46,2,389,2,3829,13407,283,0,0,339
50333,2024-05-21,Instagram,1284,783,752,1,12,1,0,0,300,7,,360
50334,2024-04-04,YouTube,327,274,91,13,45,3,7211,15350,104,4,564,124
