TransactionID,Date,Department,Type,Amount,Budget,Status,Notes
20087,2024-05-11,Marketing,Expense,4370,1772,Cleared,
20088,2024-03-10,Marketing,Expense,8783,6655,Cleared,
20089,2024-02-17,Operations,Expense,6048,11727,Cleared,
20090,2024-05-15,Admin,Expense,13222,2476,Cleared,
20091,2024-02-27,sales,Expense,7670,3256,Cleared,
20092,2024-01-30,Admin,Expense,3464,1944,Cleared,
20093,2023-07-17,sales,Income,21750,6041,Pending,
20094,2024-04-09,Operations,Expense,8091,3864,Cleared,
20095,2023-07-11,Sales,Income,14737,5731,Cleared,
20096,2023-09-16,sales,Income,6513,13776,Cleared,
20097,2023-03-09,Marketing,Expense,12627,5435,Cleared,
20098,2023-11-30,Marketing,Income,5053,14973,Cleared,
20099,2023-08-05, operations ,Income,,7043,Cleared,
20100,10/05/2024, operations ,Expense,1881,11750,Cleared,
20101,2024-04-29,sales,Expense,5627,2532,Cleared,
20102,2023-01-19, operations ,Income,6047,19293,Cleared,
20103,2023-05-29,Marketing,Income,5691,11040,Cleared,
20104,2023-09-15,R&D,Expense,,4566,Cleared,
20105,2024-10-29,sales,Income,22392,8282,Cleared,
20106,2023-12-07,Operations,Expense,13326,3744,Cleared,
20107,06/30/2024,Sales,Income,5745,5924,Pending,
20108,2024-05-26,Marketing,Expense,11164,7830,Cleared,
20109,2023-05-05,Sales,Income,16187,5482,Pending,
20110,2024-01-07,Sales,Expense,3500,10849,Cleared,
20111,2023-03-08,sales,Income,13119,19860,Pending,
20112,2024-07-10,Sales,Expense,11080,2917,Cleared,
20113,2023-07-08,Operations,Income,9385,6085,Cleared,
20114,2023-10-20,R&D,Expense,10458,10528,Cleared,
20115,2023-02-13, operations ,Expense,1740,6924,Cleared,
20115,2023-02-13, operations ,Expense,1740,6924,Cleared,
20116,07/19/2023,Sales,Income,14815,14618,Pending,
20117,2024-09-13, operations ,Income,22189,6048,Cleared,
20118,2023-12-10,R&D,Expense,13396,9058,Cleared,
20119,2024-10-29,Operations,Expense,8810,5304,Cleared,
20120,2024-04-01,Sales,Expense,11042,4247,Cleared,
20121,2023-04-12,Operations,Income,15672,18620,Cleared,
20122,2023-01-17,Admin,Income,12218,5739,Cleared,
20123,2024-08-27,Admin,Income,,12148,Cleared,
20124,2023-01-10,Admin,Income,15839,11597,Pending,
20125,2024-09-13, operations ,Income,24795,16919,Cleared,
20126,2024-02-17,Operations,Income,6926,19665,Cleared,
20127,2024-10-22,Marketing,Expense,11432,1385,Cleared,
20128,2024-01-04,Sales,Expense,9632,11071,Cleared,
20129,2023-06-06,sales,Expense,1359,7318,Cleared,
20130,2024-06-11,R&D,Expense,11343,4441,Cleared,
20131,2024-04-04,Sales,Income,7073,11749,Cleared,
20132,2024-03-25,Admin,Expense,12340,1163,Cleared,
20133,2023-04-04,R&D,Income,8274,16660,Cleared,
20134,2023-04-26, operations ,Income,20833,10955,Cleared,
20135,2023-11-07,Admin,Expense,14266,4594,Cleared,
20136,2024-05-03,Operations,Expense,12569,9536,Cleared,
20137,2024-10-18,sales,Income,5452,7082,Pending,
20138,2024-02-07,Operations,Income,19908,9954,Cleared,
20139,2024-06-01,Marketing,Expense,9891,11266,Cleared,
20140,2023-03-26,Admin,Income,17827,13577,Cleared,
20141,2024-05-28, operations ,Expense,3411,8679,Cleared,
20142,2024-02-07,Operations,Income,17060,5234,Cleared,
20143,2024-10-06, operations ,Expense,4631,5270,Cleared,
20144,2024-02-25, operations ,Expense,-2877,11508,Cleared,
20145,2024-06-11,Admin,Income,14288,10140,Cleared,
20146,2024-11-14,R&D,Expense,13209,5799,Cleared,
20147,2023-09-09,Marketing,Expense,13302,7168,Cleared,
20148,2023-02-23,Marketing,Expense,6139,5381,Cleared,
20149,2023-09-09,Marketing,Income,9196,8341,Cleared,
20150,2023-02-07,sales,Expense,9295,4500,Cleared,
20151,2023-10-10,Sales,Expense,7868,8244,Cleared,
20152,2024-09-18,R&D,Expense,7155,5262,Cleared,
20153,02/03/2023,Operations,Income,16913,19402,Cleared,
20154,2023-03-09,Admin,Expense,7841,11941,Cleared,
20155,2023-05-01,Admin,Income,21791,19620,Cleared,
20156,2023-03-27, operations ,Expense,13008,4998,Cleared,
20157,2023-06-25,Sales,Income,12615,11139,Cleared,
20158,2024-06-25,R&D,Expense,7193,3034,Cleared,
20159,2023-07-25,Admin,Income,23624,18163,Cleared,
20160,2024-07-28,sales,Income,11205,15930,Cleared,
20161,2024-03-02,Operations,Expense,7489,2811,Cleared,
20162,2024-11-01,Sales,Expense,4445,1410,Cleared,
20163,2024-10-10,Marketing,Income,18170,4294,Cleared,
20164,2024-06-30,Sales,Income,5712,11560,Cleared,
20165,2023-05-15,Operations,Income,9136,14245,Cleared,
20166,11/18/2024, operations ,Income,,9402,Pending,
20167,2023-03-14,Admin,Income,23481,15285,Cleared,
20168,2024-10-11, operations ,Expense,5365,5647,Cleared,
20169,2024-05-03,Admin,Income,20088,15409,Cleared,
20170,2024-08-31,Operations,Income,18346,18800,Cleared,
20171,2024-09-18,R&D,Income,12667,6062,Cleared,
20172,2023-04-15,Marketing,Expense,11855,2982,Cleared,
20173,2023-08-15,R&D,Income,23793,16234,Pending,
20174,2024-03-13,Operations,Income,8205,12642,Cleared,
20175,2024-01-13,Marketing,Expense,8765,4714,Cleared,
20176,2023-08-02,Operations,Expense,3686,3596,Cleared,
20177,2023-09-04,Marketing,Expense,7778,7630,Cleared,
20178,2024-05-28,Admin,Income,,5325,Cleared,
20179,2024-09-02,Sales,Expense,2325,3624,Cleared,
20180,12/16/2024,R&D,Income,10752,4739,Cleared,
20181,2024-10-04,Marketing,Income,20685,7862,Cleared,
20182,2024-10-07,sales,Expense,11949,7820,Cleared,
20183,2023-02-23, operations ,Expense,4574,8255,Cleared,
20184,2023-02-02,sales,Expense,11107,9587,Cleared,
20185,2024-02-04,sales,Income,5808,10754,Cleared,
20186,2024-12-01,Sales,Expense,13309,7245,Cleared,
20187,2024-05-03,Marketing,Expense,1911,4263,Cleared,
20187,2024-05-03,Marketing,Expense,1911,4263,Cleared,
20188,2023-05-16,sales,Expense,10769,6888,Cleared,
20189,2024-03-12,Operations,Income,18759,15181,Cleared,
20190,12/05/2023,R&D,Expense,3581,4851,Pending,
20191,2024-07-26,Marketing,Income,14632,6433,Cleared,
20192,2023-05-28,Admin,Income,15534,5160,Cleared,
20193,2023-02-17,sales,Expense,8519,2880,Cleared,
20194,2023-07-10, operations ,Income,5987,4281,Cleared,
20195,2023-09-04,sales,Income,24057,17817,Cleared,
20196,2023-07-03,R&D,Expense,10500,3506,Cleared,
20197,2024-07-19,Sales,Expense,2171,3516,Pending,
20198,2024-05-05,Admin,Income,5567,14121,Cleared,
20199,2024-07-01,Sales,Income,6917,6961,Cleared,
20200,2023-08-05, operations ,Income,-20220,10017,Cleared,
20201,2023-01-15,R&D,Expense,7152,10464,Cleared,
20202,2024-03-24,sales,Income,16205,16984,Cleared,
20203,2024-07-27,Operations,Income,9243,17487,Cleared,
20204,2024-04-02,Sales,Expense,10146,10278,Cleared,
20205,2024-06-15,Admin,Income,9137,6542,Cleared,
20206,2024-07-05,R&D,Income,23765,9467,Cleared,
20207,2023-08-23,Admin,Expense,6863,2677,Cleared,
20208,2023-08-04,Sales,Expense,3380,6985,Pending,
20209,2024-10-27,Admin,Expense,-13559,9673,Cleared,
20210,2023-02-05,R&D,Income,23297,13927,Pending,
20211,2023-10-27,Operations,Expense,10162,11184,Cleared,
20212,07/12/2023,Sales,Income,,11206,Cleared,
20213,2023-04-17,sales,Income,18371,5282,Cleared,
20214,2024-11-14, operations ,Expense,10011,11212,Pending,
20215,08/05/2023,sales,Expense,1661,1089,Cleared,
20216,2023-04-20,Admin,Income,23174,16065,Cleared,
20217,2024-02-07,R&D,Expense,7405,10638,Cleared,
20218,2024-06-10,Operations,Income,11682,6135,Cleared,
20219,2023-06-16,Admin,Income,12978,9528,Pending,
20220,2024-10-07,Sales,Income,13397,18812,Cleared,
20221,2024-07-27,R&D,Expense,11403,4583,Pending,
20222,2023-02-19, operations ,Expense,5843,4826,Cleared,
20223,2023-04-30,R&D,Expense,13221,11081,Cleared,
20224,2024-02-21,Marketing,Expense,13242,10409,Cleared,
20225,2024-08-12,R&D,Income,21445,6583,Cleared,
20226,2023-04-12,Marketing,Income,5157,5196,Pending,
20227,2024-08-22,Operations,Expense,3867,9511,Cleared,
20228,2024-05-07,Operations,Income,11086,5305,Pending,
20229,2024-09-24,Admin,Expense,4778,5131,Pending,
20230,2024-12-20,sales,Expense,4529,11274,Pending,
20231,2024-03-15,sales,Expense,6555,2673,Cleared,
20232,2024-10-20, operations ,Income,24212,19553,Cleared,
20233,2024-05-23, operations ,Expense,8062,9614,Cleared,
20234,2023-01-07,Sales,Expense,2531,7283,Cleared,
20235,2023-06-03,Sales,Income,22961,10724,Cleared,
20236,2024-05-12,Admin,Income,12033,6544,Cleared,
20237,2023-02-12,Marketing,Income,23357,15229,Cleared,
20238,2024-12-23,Sales,Income,17371,15729,Cleared,
20239,2024-06-26,sales,Expense,10638,5313,Cleared,
20240,2023-01-31,Operations,Expense,,7208,Cleared,
20241,2023-04-29,Admin,Income,10816,11973,Cleared,
20242,2023-03-07, operations ,Expense,13184,8230,Cleared,
20243,2023-05-13,R&D,Income,11964,18116,Cleared,
20244,2023-01-23,R&D,Expense,13902,8435,Cleared,
20245,02/27/2023,Admin,Expense,13048,3326,Cleared,
20246,10/08/2024,Sales,Expense,1214,1518,Cleared,
20247,2023-09-03,Sales,Expense,9221,1240,Cleared,
20248,2024-09-21,Sales,Expense,7262,2779,Cleared,
20249,2024-02-13,Operations,Expense,3351,1221,Cleared,
20250,2023-02-08,sales,Expense,12961,6788,Cleared,
20251,2024-11-13,Operations,Expense,8558,1158,Cleared,
20252,2024-01-20,Marketing,Expense,12891,3535,Cleared,
20253,2023-07-18,Operations,Income,7823,12580,Cleared,
20254,2024-01-21,Marketing,Expense,3818,2365,Cleared,
20255,2023-11-02, operations ,Income,11960,19444,Cleared,
20256,2023-02-17, operations ,Expense,8940,7510,Cleared,
20256,2023-02-17, operations ,Expense,8940,7510,Cleared,
20257,2023-04-10,Marketing,Income,11520,5710,Cleared,
20258,2023-04-13,R&D,Income,7961,9526,Cleared,
20259,2023-10-20,R&D,Income,22117,13022,Cleared,
20260,2024-05-23,Marketing,Income,5344,9701,Cleared,
20261,2023-03-07, operations ,Income,14670,7502,Cleared,
20262,2023-01-06,Operations,Income,17064,13205,Cleared,
20263,2023-12-05,sales,Expense,1398,10871,Cleared,
20264,2024-03-16,Marketing,Expense,2199,1182,Cleared,
20265,03/12/2023, operations ,Expense,9430,3748,Cleared,
20266,2024-08-13,Operations,Expense,11887,8403,Cleared,
20267,2024-04-21,R&D,Expense,9649,11222,Cleared,
20268,2024-09-17,Admin,Expense,10313,5664,Cleared,
20269,2024-05-12, operations ,Expense,14754,1351,Cleared,
20270,2024-01-11,sales,Expense,,11510,Cleared,
20271,2023-03-02,Operations,Expense,9195,6285,Cleared,
20272,2023-03-19,Admin,Expense,13655,3269,Cleared,
20273,2024-12-02,Admin,Expense,2020,2256,Cleared,
20274,2024-08-31,Marketing,Expense,10742,11074,Cleared,
20275,2023-03-13,Operations,Expense,5284,3664,Cleared,
20276,2024-02-23,Marketing,Expense,10963,3816,Pending,
20277,2023-03-15,Admin,Expense,8271,7334,Cleared,
20278,2024-08-12,Admin,Income,14772,9491,Cleared,
20279,2023-03-04,Admin,Expense,2918,11791,Cleared,
20280,08/05/2024,sales,Expense,6611,10396,Pending,
20281,2023-05-05,Admin,Income,24418,19478,Pending,
20282,2023-12-29,Operations,Income,12720,6891,Cleared,
20283,2023-06-30,Marketing,Income,8809,16711,Pending,
20284,2023-08-08,Marketing,Expense,10244,2964,Cleared,
20285,2024-06-22, operations ,Expense,14206,10680,Cleared,
20286,2023-07-10,Operations,Income,14646,17639,Cleared,
20287,2023-06-19,sales,Income,6362,7839,Cleared,
20288,2024-11-06,R&D,Income,21023,16671,Cleared,
20289,2024-08-16,Admin,Expense,6226,10191,Cleared,
20290,2024-01-12, operations ,Expense,14128,5911,Cleared,
20291,2023-06-21,Sales,Income,10906,8221,Cleared,
20292,2023-08-30,sales,Expense,6089,4176,Pending,
20293,2023-02-13,Marketing,Expense,10682,11765,Cleared,
20294,07/22/2023,Sales,Expense,2055,3618,Cleared,
20295,2024-11-04,Sales,Expense,7672,7448,Cleared,
20296,2024-09-04,R&D,Income,17873,11571,Cleared,
20297,2024-12-30,R&D,Income,13246,8544,Cleared,
20298,2024-06-10, operations ,Expense,5333,8681,Cleared,
20299,2024-11-10,Marketing,Expense,8225,11960,Cleared,
20300,2024-11-08,Marketing,Income,7201,15409,Cleared,
20301,2024-11-22,Admin,Income,23554,17612,Pending,
20302,2023-01-05,Admin,Income,12710,18637,Cleared,
20303,2024-07-09,Operations,Expense,3771,11119,Cleared,
20304,2024-09-02, operations ,Expense,3210,1813,Cleared,
20305,2024-01-24,Marketing,Income,16921,10872,Cleared,
20306,06/09/2024,Sales,Expense,7039,5286,Cleared,
20306,06/09/2024,Sales,Expense,7039,5286,Cleared,
20307,2023-03-23,sales,Income,7177,13596,Cleared,
20308,2024-01-24,Operations,Income,,18762,Cleared,
20309,2024-07-03,Operations,Expense,13271,9838,Cleared,
20310,2023-09-08,Admin,Expense,8750,9670,Cleared,
20311,2024-05-29,sales,Expense,10273,7410,Cleared,
20312,2023-01-10,R&D,Income,10100,9688,Cleared,
20313,2024-01-27,Marketing,Income,24372,19649,Cleared,
20314,2023-01-29,sales,Income,6280,8470,Cleared,
20315,2024-09-17,Sales,Expense,-11577,7811,Cleared,
20316,2023-02-07,R&D,Expense,7435,2413,Cleared,
20317,2023-04-12, operations ,Expense,7583,6636,Cleared,
20318,2023-12-13,R&D,Income,13973,16231,Cleared,
20319,2024-12-10,sales,Income,5879,13184,Cleared,
20320,2024-12-24,Marketing,Income,8087,8173,Cleared,
20321,2024-10-13,sales,Expense,11134,11133,Cleared,
20322,2024-12-03,sales,Income,19256,19927,Cleared,
20323,2023-12-03,R&D,Income,24681,6044,Pending,
20324,2024-07-26,Admin,Income,14133,7679,Cleared,
20325,2024-04-24,Operations,Income,24475,18232,Cleared,
20326,2024-01-27,Marketing,Expense,11940,6044,Cleared,
20327,2024-12-05,Sales,Income,23219,12949,Cleared,
20328,2024-08-22,sales,Expense,4351,8992,Cleared,
20329,2024-06-18,sales,Expense,,4248,Cleared,
20330,2024-11-10, operations ,Expense,3201,2086,Cleared,
20331,2023-11-20,R&D,Expense,5731,2955,Cleared,
20332,2023-02-14,Marketing,Expense,13095,2116,Cleared,
20333,2023-08-23,Operations,Expense,8732,3435,Cleared,
20334,2023-08-28,Operations,Income,18014,19134,Cleared,
20335,2024-06-10,Admin,Expense,14117,11396,Cleared,
20336,2023-11-06,R&D,Expense,2313,1233,Cleared,
20337,2024-05-01,Sales,Income,19533,14108,Cleared,
20338,2024-05-28,Operations,Expense,13525,9441,Cleared,
20339,2024-07-20, operations ,Income,19319,11134,Pending,
20340,2023-06-02,R&D,Income,21164,5284,Cleared,
20341,2023-02-11,Admin,Income,12052,14271,Cleared,
20342,2023-06-16,Marketing,Expense,5767,7319,Cleared,
20343,2024-07-04,Marketing,Income,19174,6273,Cleared,
20344,2024-02-27, operations ,Income,16009,11655,Pending,
20345,2024-03-12, operations ,Expense,6623,1191,Cleared,
20346,2023-07-07, operations ,Expense,8709,8301,Cleared,
20347,2023-08-15,R&D,Expense,11464,9915,Cleared,
20348,2023-04-04,Marketing,Expense,10564,6356,Cleared,
20349,2024-06-14,Admin,Expense,8809,6392,Cleared,
20350,2023-10-31,Operations,Expense,11688,5589,Cleared,
20351,2024-03-08,Sales,Income,7101,4821,Cleared,
20352,2023-02-13, operations ,Expense,7763,7571,Cleared,
20353,2023-06-19,sales,Income,13914,6929,Cleared,
20354,2024-05-22, operations ,Income,6988,5168,Cleared,
20355,2024-03-05,R&D,Expense,12576,1038,Cleared,
20356,2024-10-04,R&D,Expense,6028,5785,Cleared,
20357,2024-12-12,Admin,Expense,6160,4874,Cleared,
20358,2023-06-10, operations ,Expense,10361,1318,Cleared,
20359,2024-12-26,Marketing,Expense,6405,6265,Cleared,
20360,2023-09-08, operations ,Expense,8446,2894,Cleared,
20361,2023-10-21,Admin,Expense,14243,10041,Pending,
20362,2024-06-18,Sales,Income,23562,7638,Cleared,
20363,2023-05-31, operations ,Income,6325,16522,Cleared,
20364,2024-01-02, operations ,Income,5812,10537,Cleared,
20365,2023-01-31,Sales,Expense,14044,9448,Pending,
20366,2023-01-17, operations ,Expense,4752,1321,Cleared,
20367,2024-01-20,R&D,Expense,12598,11295,Cleared,
20368,2023-03-22,R&D,Expense,12865,9745,Cleared,
20369,2024-06-06,sales,Expense,7637,2281,Cleared,
20370,2024-04-07, operations ,Expense,1527,6646,Cleared,
20371,2024-11-19,Marketing,Expense,3712,4630,Cleared,
20372,2024-12-11,R&D,Expense,7260,8895,Pending,
20373,2024-10-06,R&D,Income,22716,13436,Cleared,
20374,2024-08-22,Admin,Income,12109,18822,Cleared,
20375,2023-07-28,Admin,Income,5749,7299,Pending,
20376,2024-11-21,sales,Expense,,4903,Cleared,
20377,2023-09-15,Admin,Income,18034,17115,Cleared,
20378,04/28/2023,Admin,Expense,-6969,11717,Cleared,
20379,2024-02-14,Marketing,Income,12759,8695,Pending,
20379,2024-02-14,Marketing,Income,12759,8695,Pending,
20380,2024-03-04,sales,Income,20819,13355,Cleared,
20381,2023-12-25,Marketing,Expense,3218,11074,Cleared,
20382,2023-09-05, operations ,Expense,1599,8117,Pending,
20383,2024-03-31,Sales,Income,23673,14152,Cleared,
20384,2024-04-19,Sales,Expense,3636,11092,Cleared,
20385,10/30/2023,Sales,Expense,10264,4795,Cleared,
20386,2023-01-27,Sales,Income,16862,13057,Cleared,
20387,2024-10-06,Marketing,Expense,7837,7195,Cleared,
20388,2023-03-31,Marketing,Expense,14222,7496,Cleared,
20389,2024-11-25,Sales,Expense,12271,8371,Cleared,
20390,2024-04-30,Marketing,Expense,9254,11871,Cleared,
20391,2023-12-30,R&D,Income,5413,6957,Cleared,
20391,2023-12-30,R&D,Income,5413,6957,Cleared,
20392,2024-11-13,Admin,Expense,9020,11847,Cleared,
20393,2023-03-03,R&D,Income,14214,15095,Cleared,
20394,2024-06-02,Marketing,Income,6803,6291,Cleared,
20395,2024-11-25,Admin,Income,18758,19151,Pending,
20396,2024-09-24, operations ,Expense,1192,8747,Cleared,
20397,01/05/2024,sales,Expense,5085,11353,Cleared,
20398,2024-02-10,R&D,Income,22340,10915,Cleared,
20399,2024-11-10, operations ,Income,6801,5952,Cleared,
20400,09/02/2024,Admin,Expense,2588,11288,Cleared,
20401,2023-10-18,Sales,Expense,1677,1231,Cleared,
20402,2024-02-16,Operations,Income,12919,5096,Cleared,
20403,2024-06-22,Operations,Expense,9309,6935,Cleared,
20404,2024-06-12,Operations,Expense,2626,6594,Cleared,
20405,2024-12-17,sales,Expense,12510,8232,Cleared,
20406,04/09/2024,sales,Expense,1130,6140,Pending,
20407,2024-10-10,R&D,Expense,13006,7970,Pending,
20408,2023-01-20,R&D,Income,8751,5489,Cleared,
20409,2024-02-27, operations ,Income,10895,14904,Cleared,
20410,2023-03-23,Marketing,Expense,3528,9533,Cleared,
20411,2024-01-20, operations ,Income,5376,12006,Cleared,
20412,2023-12-13,Sales,Income,23609,10669,Cleared,
20413,2024-02-15, operations ,Income,20518,18747,Cleared,
20414,2024-10-13,Sales,Expense,6726,1617,Cleared,
20415,2023-02-24,Sales,Expense,3437,1075,Cleared,
20416,2023-10-08, operations ,Expense,9772,6870,Cleared,
20417,2024-02-16,R&D,Income,5467,14712,Cleared,
20418,2024-05-04,Sales,Expense,2411,1710,Cleared,
20419,2023-03-29,sales,Income,5557,5053,Cleared,
20420,2023-09-26,Operations,Expense,4234,3025,Cleared,
20421,2023-08-22,R&D,Expense,2296,7319,Cleared,
20422,2024-11-27,Sales,Expense,14686,9793,Cleared,
20423,2024-03-11,Operations,Expense,8094,5016,Cleared,
20424,2023-01-29,R&D,Expense,,2893,Cleared,
20425,02/13/2024,Operations,Income,23417,17171,Pending,
20426,2023-06-08, operations ,Expense,13712,4866,Cleared,
20427,2024-10-12,Admin,Expense,8327,6258,Cleared,
20428,2024-03-07,sales,Expense,6564,7542,Cleared,
20429,2023-10-10,Sales,Expense,10787,2594,Cleared,
20430,2023-07-09,Admin,Expense,8863,5625,Cleared,
20431,2024-07-06,Marketing,Income,-21799,8145,Cleared,
20432,2024-01-03,sales,Expense,5772,8135,Pending,
20433,2024-08-22,Operations,Income,15927,7166,Cleared,
20434,2023-06-21,Operations,Income,23528,6049,Cleared,
20435,2023-04-10,R&D,Income,16886,5946,Cleared,
20436,2024-05-04,R&D,Income,17438,11370,Cleared,
20437,2024-10-18, operations ,Income,6579,5505,Cleared,
20438,2024-03-19,R&D,Expense,4385,2681,Cleared,
20439,2024-08-05,Marketing,Income,11134,12271,Cleared,
20440,2024-10-11,Admin,Expense,8568,6440,Cleared,
20441,2023-01-18,Operations,Expense,5275,2510,Cleared,
20442,2024-03-30,R&D,Income,21893,10595,Cleared,
20443,2023-04-14,sales,Income,11455,14059,Cleared,
20444,2023-05-31,Sales,Income,13002,4189,Cleared,
20445,07/27/2023,R&D,Income,21856,8580,Cleared,
20446,2023-01-30,Operations,Expense,6027,7722,Cleared,
20447,2023-05-24,sales,Income,10267,18559,Cleared,
20448,2024-12-29,Sales,Expense,4887,2120,Cleared,
20449,2023-05-02,Sales,Expense,10892,7860,Cleared,
20450,2023-03-04,Admin,Income,24457,4325,Cleared,
20451,2023-01-08,Admin,Expense,2823,9901,Cleared,
20452,2024-07-13,Marketing,Expense,,8118,Cleared,
20453,2023-08-03, operations ,Income,19955,9172,Cleared,
20454,2024-12-12,R&D,Expense,1376,2925,Cleared,
20455,2023-09-18,Operations,Expense,1319,9029,Cleared,
20456,2023-02-08,R&D,Income,17768,9036,Cleared,
20457,2023-04-26,Sales,Income,10656,5952,Cleared,
20458,2024-05-17,Sales,Expense,4956,11101,Pending,
20459,2024-10-16,Operations,Expense,3856,10739,Pending,
20460,2024-12-08,Sales,Expense,11353,1357,Cleared,
20461,2024-11-04,Sales,Expense,9917,6991,Cleared,
20462,2024-06-20,Admin,Income,23203,11684,Cleared,
20463,2023-01-13, operations ,Expense,6132,4405,Cleared,
20464,2024-10-16,Marketing,Income,6903,6566,Pending,
20465,2023-03-08,Operations,Income,24556,5894,Cleared,
