CampaignID,LaunchDate,Channel,TargetAudience,SpendAmount,Impressions,Clicks,Conversions,Status
30029,2024-01-19,email,Gen Z,13832,152075,1216,115,Active
30030,01/27/2023,Search Engine,B2B ,8891,198767,9540,753,Completed
30031,2023-06-16, social media ,General,7150,49944,898,14,Completed
30032,2023-02-15,Search Engine,Millennials,14324,356369,9978,818,Completed
30033,2024-12-07,email,B2B ,2470,604206,16313,1435,Completed
30034,2023-10-08, social media ,Millennials,5156,300984,2106,134,Active
30035,2023-02-18,Search Engine,B2B,6421,426952,13662,382,Completed
30036,2023-08-19,Social Media,B2B ,10258,381902,13748,893,Completed
30037,2024-05-28,Affiliate,B2B,11018,158777,2222,171,Active
30038,2024-09-20,email,General,10324,867337,6938,180,Paused
30039,2023-03-10,Affiliate,Millennials,8844,584448,20455,1902,Paused
30040,2024-08-04, social media ,  Gen Z,,973069,25299,151,Active
30041,2024-01-24,Search Engine,  Gen Z,,128188,5512,319,Completed
30042,2023-07-04,Search Engine,B2B ,8177,627424,20704,227,Active
30043,2024-06-28,Affiliate,  Gen Z,12330,858648,7727,610,Paused
30044,2023-01-10,Email,  Gen Z,10597,548710,15912,143,Completed
30045,11/27/2024,Search Engine,General,6022,108924,4683,192,Active
30046,2023-06-11,Email,Millennials,3856,930842,45611,2189,Completed
30047,2024-11-12,Email,B2B,9967,223667,2013,110,Active
30048,2023-09-21,Affiliate,B2B ,3360,384166,1920,180,Completed
30049,2023-05-31, social media ,B2B,6308,330716,10913,109,Paused
30050,2023-12-22, social media ,Millennials,1044,924173,30497,945,Paused
30051,2024-08-07,Email,B2B ,,130547,4177,196,Completed
30052,2024-04-15, social media ,General,3108,49078,1914,176,Active
30052,2024-04-15, social media ,General,3108,49078,1914,176,Active
30053,2024-10-29,Email,  Gen Z,507,556092,4448,142,Paused
30054,2024-03-06,Affiliate,Gen Z,10031,307992,8315,407,Completed
30055,2024-12-20,Email,B2B,7326,156034,4837,261,Paused
30056,2024-08-03,email,Millennials,,357461,2502,100,Completed
30057,2024-08-30,Social Media,  Gen Z,2655,409882,10656,458,Paused
30058,2023-12-03,Social Media,B2B,9569,906123,41681,3042,Active
30059,02/15/2023,Search Engine,Gen Z,5859,285778,3143,135,Paused
30060,2023-04-11, social media ,B2B,7391,38698,503,3,Active
30061,2024-06-16,Email,Millennials,2305,60493,665,30,Completed
30062,2024-02-19,Social Media,B2B ,1724,363687,4727,132,Active
30063,2024-05-11,Email,General,4457,413356,18601,1004,Active
30064,2023-04-08,Email,General,1726,882816,7945,222,Active
30065,2023-10-25,Search Engine,B2B,11526,287284,12065,1049,Completed
30066,2023-06-03,Social Media,  Gen Z,7552,234030,8893,498,Paused
30067,2023-11-07, social media ,Millennials,7717,440798,8375,150,Completed
30068,2024-09-08,Search Engine,B2B,14115,994173,32807,2329,Active
30069,2023-09-29,Search Engine,B2B,3134,760087,33443,1772,Paused
30070,2024-06-15, social media ,General,7699,619615,13631,763,Paused
30071,2024-07-18,Search Engine,General,1587,170430,6476,602,Completed
30072,2023-03-31, social media ,  Gen Z,1044,999405,28982,898,Paused
30073,2023-10-27, social media ,General,5572,87744,438,14,Paused
30074,2023-12-30,email,Millennials,9327,576997,20771,1620,Paused
30075,2023-06-16, social media ,  Gen Z,8228,141814,3119,3,Paused
30076,2024-09-19,email,  Gen Z,6660,598358,20942,1926,Paused
30077,2023-12-17,Email,  Gen Z,11522,642292,31472,1888,Paused
30078,2024-05-01,Search Engine,  Gen Z,,208465,9172,843,Paused
30079,2024-12-14,Social Media,Millennials,11208,740226,7402,81,Paused
30080,09/14/2023,Social Media,General,8674,266694,10134,30,Completed
30081,2024-01-25,email,B2B ,6910,563965,14663,87,Paused
30082,2023-05-20,email,  Gen Z,7025,705791,11292,542,Paused
30083,2023-07-30,Search Engine,  Gen Z,13880,91790,2937,52,Paused
30084,2023-01-21,email,Millennials,1454,350448,10513,672,Paused
30085,2023-03-10,Email,General,10552,132708,928,71,Active
30086,2024-09-24,Email,General,8199,97661,2148,94,Active
30087,2024-04-23,Social Media,Gen Z,2241,216993,9764,898,Completed
30088,2023-09-13,Email,B2B,5758,420672,11358,136,Completed
30089,01/29/2024,email,  Gen Z,8702,874262,22730,568,Active
30090,2023-11-14,email,B2B,10536,63864,2682,233,Paused
30091,2024-08-08, social media ,Gen Z,1559,317704,15249,1433,Active
30092,2023-10-15,Social Media,Gen Z,2462,253885,1523,70,Paused
30093,2024-05-10,Social Media,General,13018,868470,20843,583,Completed
30094,2024-09-28,Email,Millennials,6359,767132,9205,257,Active
30095,2024-03-11, social media ,B2B,9474,555074,17207,1445,Completed
30096,2024-10-21, social media ,Gen Z,7423,233028,2097,106,Completed
30097,2023-12-16, social media ,B2B ,14347,363100,5809,174,Active
30098,2023-04-25,Email,B2B ,6203,460278,20252,1377,Active
30099,2024-07-23,Email,B2B,6341,524684,24135,410,Completed
30100,2024-05-29,Affiliate,B2B ,13281,456370,6845,397,Paused
30101,2023-06-09,Search Engine,General,10533,761091,25877,1630,Active
30102,2023-11-26,Email,Millennials,7355,945003,35910,1328,Active
30103,2024-01-04,Social Media,Gen Z,10999,997513,23940,1053,Paused
30104,2024-12-24,Affiliate,Millennials,11770,671649,8059,411,Active
30105,2024-10-27,Search Engine,Millennials,8720,756497,13616,1143,Active
30106,2023-06-22,Email,General,8280,181834,6182,117,Completed
30107,2023-01-10,Email,General,3101,231944,1855,37,Paused
30108,2023-02-03,Search Engine,  Gen Z,,22787,797,11,Completed
30109,2023-09-03,Email,  Gen Z,3703,545511,26730,2272,Completed
30110,2024-04-07, social media ,B2B ,13820,836147,6689,508,Active
30111,2023-08-29,Email,B2B,9377,163858,5407,275,Paused
30112,2024-08-01,Email,Millennials,4428,50117,1453,29,Completed
30113,2023-09-05,Email,Gen Z,10705,215681,9274,74,Completed
30114,2023-08-10,Search Engine,B2B,13240,944147,39654,872,Paused
30115,01/19/2023, social media ,Millennials,10433,144502,867,20,Completed
30116,2023-08-14,Search Engine,  Gen Z,7900,65351,1568,103,Paused
30117,2024-03-10,email,Gen Z,12908,474431,14707,514,Paused
30118,2023-06-26,Search Engine,B2B,5927,676817,24365,121,Completed
30119,2023-01-27,Email,Millennials,13672,59601,2384,185,Completed
30120,2023-08-24,email,B2B,10077,322753,9682,619,Paused
30121,2024-04-27,Social Media,General,2795,645077,25158,2390,Paused
30122,2023-06-13, social media ,B2B ,10288,414034,12006,672,Completed
30123,2024-05-12,email,B2B,502,995140,21893,1050,Active
30124,2023-08-22, social media ,Millennials,4283,535605,5891,11,Completed
30125,2023-08-02,Search Engine,General,,410345,4513,49,Completed
30126,2024-06-12,Social Media,B2B ,11913,888711,34659,1940,Active
30126,2024-06-12,Social Media,B2B ,11913,888711,34659,1940,Active
30127,2023-08-26,Social Media,  Gen Z,7684,510348,2551,107,Completed
30128,2024-03-26,Affiliate,Gen Z,5558,991754,48595,1603,Completed
30129,2023-09-30, social media ,Gen Z,7498,21808,348,9,Active
30130,2023-07-31,email,General,700,756280,25713,257,Paused
30131,2024-02-02,Email,Gen Z,10141,120953,4717,268,Completed
30132,09/02/2023,Search Engine,Millennials,6392,395908,19399,310,Paused
30133,2024-02-22, social media ,Millennials,12808,488876,7333,491,Completed
30134,2023-05-09,Email,General,5485,843402,9277,445,Paused
30135,2023-06-06, social media ,Millennials,12439,590035,9440,94,Active
30136,2024-02-16,Social Media,B2B,6008,356887,6423,211,Active
30137,2024-09-01,Social Media,B2B ,11943,939765,10337,20,Active
30138,2023-06-09,Social Media,B2B,9968,388335,13203,554,Completed
30139,2023-12-14, social media ,B2B,14131,525375,21015,399,Active
30140,2024-12-10,email,Millennials,1681,764178,14519,1364,Active
30141,2023-06-05,Social Media,Millennials,13445,418000,18810,1279,Paused
30142,2024-05-01,Search Engine,Gen Z,5074,869714,28700,631,Completed
30143,2024-10-05,Email,General,7153,79132,3481,34,Completed
30144,2024-08-02,Social Media,B2B,10678,853848,18784,525,Paused
30145,2023-12-06,Affiliate,  Gen Z,996,878994,21974,681,Active
30146,2023-04-29,email,B2B ,5431,559794,23511,1857,Paused
30147,2024-08-19, social media ,  Gen Z,13130,693521,27740,2302,Paused
30148,2023-04-15,Email,Gen Z,8146,82232,411,26,Paused
30149,2024-11-18,Affiliate,General,13478,646574,27156,1194,Completed
30150,2024-07-05,email,Millennials,2625,698730,27250,1417,Active
30151,2024-06-16,Search Engine,B2B,5340,735512,28684,2237,Completed
30152,2023-02-23,Email,B2B,5049,854013,9394,9,Active
30153,2024-10-22,Social Media,Gen Z,5326,947712,18006,1584,Completed
30154,2024-04-11,email,B2B,7049,961374,8652,579,Active
30155,2024-01-26,Search Engine,B2B ,11594,414577,18655,708,Active
30156,2023-03-31,Search Engine,Millennials,4550,66351,2720,127,Completed
30157,03/14/2024, social media ,B2B,14515,354965,4614,415,Paused
30158,2024-01-15,email,B2B ,7917,143833,6472,627,Paused
30159,2023-11-21,Email,Gen Z,2266,615685,3694,313,Paused
30160,2023-07-25,Search Engine,Gen Z,6008,577606,17328,363,Paused
30161,2024-02-14,email,B2B,8089,154647,5412,303,Completed
30162,2023-10-20,Search Engine,  Gen Z,13658,132502,3975,341,Paused
30163,2023-03-15,Email,B2B,6718,296841,5936,249,Paused
30164,2024-05-14,Search Engine,Gen Z,11058,776462,34940,628,Active
30165,2024-03-22, social media ,  Gen Z,6101,861229,20669,1322,Paused
30166,2024-02-27, social media ,Gen Z,1243,619071,13619,313,Paused
30167,2024-02-18,Search Engine,B2B ,11370,428236,17129,1661,Paused
30168,2024-05-03,Search Engine,B2B ,8796,358289,9315,912,Completed
30169,2024-01-01,Search Engine,B2B,10573,371792,6320,492,Completed
30170,2023-08-22, social media ,General,10640,875745,4378,367,Paused
30171,2024-03-27,Search Engine,  Gen Z,4755,475938,2855,214,Paused
30172,2023-06-18,email,B2B,6126,774760,18594,1282,Paused
30173,2024-08-12,Affiliate,  Gen Z,14852,171962,5330,511,Completed
30174,2024-06-09,Social Media,Gen Z,12769,533539,21875,1618,Active
30175,2024-07-15,Email,B2B ,5353,588034,8820,370,Completed
30176,2023-11-27,Social Media,Millennials,5798,35123,1545,24,Paused
30177,2023-11-05,Social Media,B2B,5276,421842,18982,1670,Completed
30178,2024-01-23,Search Engine,B2B,4984,369801,1849,134,Paused
30179,2024-02-14,Affiliate,  Gen Z,8817,685189,27407,2357,Completed
30180,2023-03-22, social media ,General,14680,148056,6218,323,Completed
30181,2023-08-31, social media ,Gen Z,13310,915716,25640,358,Completed
30182,2023-11-22,email,  Gen Z,6314,430676,6029,66,Active
30183,2024-09-28,Search Engine,B2B ,11760,893731,39324,3539,Completed
30184,2023-07-29,Affiliate,Millennials,7740,153050,6734,235,Completed
30185,2024-11-08, social media ,B2B ,2263,275959,6347,196,Completed
30186,2023-03-16,Email,B2B ,3168,784490,25103,652,Completed
30187,2023-10-30,email,Millennials,3382,324141,2593,62,Completed
30188,2023-03-16, social media ,Gen Z,,824668,26389,1319,Paused
30189,2023-01-28,Email,B2B ,10197,389759,3118,224,Paused
30190,2024-05-26,email,B2B ,11953,898225,7185,172,Paused
30191,04/01/2024,Social Media,Gen Z,2891,773668,30946,2011,Paused
30192,2023-06-10,Social Media,  Gen Z,6727,399779,13992,223,Completed
30193,2023-08-20,Affiliate,Gen Z,4620,952444,34287,1440,Paused
30194,2023-12-08,Email,B2B ,8818,716646,13616,1252,Completed
30195,2023-03-31,Social Media,B2B ,13250,202594,7293,393,Paused
30196,2024-04-11,Email,B2B,669,554829,23857,2242,Active
30197,2024-04-01, social media ,B2B,11053,638701,30657,2575,Active
30198,2023-01-10, social media ,Gen Z,7590,515402,14431,1053,Completed
30199,2024-09-14, social media ,Millennials,2235,334858,13059,104,Completed
30200,2024-12-04, social media ,Gen Z,6131,74919,524,29,Paused
30201,2023-12-25,email,B2B ,14244,216517,4330,186,Active
30202,2023-12-16,Search Engine,B2B ,,889219,30233,241,Completed
30203,2024-07-16,Affiliate,Millennials,7223,798941,19973,1358,Active
30204,2023-07-16,Social Media,B2B,6766,437194,12678,938,Paused
30205,2024-05-10,Search Engine,  Gen Z,9666,65725,788,72,Paused
30206,2023-06-21,Search Engine,Millennials,10135,262734,7619,739,Paused
30207,2024-11-14,Social Media,B2B ,14891,98147,1374,71,Active
30208,2024-09-18, social media ,  Gen Z,9282,517515,11385,580,Paused
30208,2024-09-18, social media ,  Gen Z,9282,517515,11385,580,Paused
30209,2024-04-13,Social Media,Gen Z,4307,998552,17973,359,Paused
30210,2024-05-24,Social Media,B2B ,14108,484408,3875,275,Active
30211,11/19/2023,Email,B2B,10728,934786,5608,330,Active
30212,2024-11-06,Search Engine,General,12684,954946,13369,307,Active
30213,2024-03-12,email,B2B ,12159,228682,10519,462,Completed
30213,2024-03-12,email,B2B ,12159,228682,10519,462,Completed
30214,2023-06-16,Social Media,B2B ,12685,179573,3771,67,Completed
30215,2023-03-12,Affiliate,General,6388,173017,1730,84,Completed
30216,2023-04-06,Search Engine,General,,555969,22794,1527,Completed
30217,2024-11-01, social media ,B2B,1581,530079,3710,315,Completed
30218,2023-12-15,Social Media,Millennials,3152,771733,29325,909,Active
30219,2024-08-27, social media ,General,5316,156668,6423,237,Active
30220,2023-05-03,Search Engine,  Gen Z,14878,693582,21501,967,Completed
30221,2024-06-08,Social Media,General,9998,579199,3475,319,Paused
30222,2024-05-23,Email,B2B ,7679,980326,44114,220,Paused
30223,2023-02-16,Social Media,  Gen Z,4964,398595,2790,198,Completed
30224,2023-07-17, social media ,B2B,12525,314839,4722,155,Active
30225,2023-11-01, social media ,B2B,4118,553014,17696,973,Completed
30226,2024-01-22,Social Media,B2B,10668,594160,19607,1686,Completed
30226,2024-01-22,Social Media,B2B,10668,594160,19607,1686,Completed
30227,2023-10-18,email,Gen Z,14981,99064,3070,245,Active
30228,2023-02-01, social media ,Millennials,13206,515609,13921,139,Active
30229,2023-05-17, social media ,B2B,5457,777821,26445,1798,Paused
30230,2023-10-17,Affiliate,General,3573,243466,6817,654,Active
30231,2024-04-15,Affiliate,B2B ,8240,856161,9417,329,Paused
30232,12/16/2024, social media ,Millennials,9920,902069,36984,591,Paused
30233,2024-05-25, social media ,General,4900,631341,10732,611,Active
30234,2023-06-30,email,B2B ,8857,128338,5133,282,Active
30235,2024-02-11,Affiliate,B2B ,14634,272407,8989,134,Completed
30236,2023-05-26,Affiliate,  Gen Z,14048,338032,9126,73,Active
30237,2024-04-09,Email,Millennials,13974,253591,9129,328,Completed
30238,2024-11-13,email,Gen Z,8255,400273,2001,188,Active
30239,2024-07-12, social media ,Millennials,9740,769316,19232,96,Active
30240,2024-11-13, social media ,B2B,10308,871939,19182,882,Paused
30241,2024-09-06,email,Gen Z,13132,784973,7849,54,Active
30242,06/02/2023,Search Engine,General,10876,530181,24388,2194,Completed
30243,2023-05-11,Affiliate,Millennials,2827,99173,1090,62,Paused
30244,2023-05-20,Affiliate,Millennials,9336,949784,33242,3091,Completed
30245,2023-10-06, social media ,Millennials,2740,122340,5260,278,Paused
30246,12/28/2023,Search Engine,B2B,8612,911564,4557,419,Paused
30247,2023-09-01, social media ,  Gen Z,6937,679279,32605,717,Completed
30248,2023-12-20,Affiliate,General,14572,506513,3039,215,Active
30249,2023-12-14,Affiliate,  Gen Z,3603,299181,11668,1061,Active
30250,2023-11-19,email,B2B,3139,966077,12559,690,Paused
30251,2023-03-07,Social Media,B2B ,14712,201118,5631,506,Completed
30252,2023-03-22,email,B2B,7526,392286,13730,617,Active
30253,2023-07-27, social media ,B2B ,9152,363411,2543,134,Paused
30254,2024-05-16,email,  Gen Z,6020,609365,18280,712,Active
30255,2024-03-04,Affiliate,B2B,10804,41685,1667,143,Completed
30256,2024-05-24,Search Engine,Gen Z,4922,660898,7930,666,Active
30257,2023-08-21,Social Media,General,9036,85684,685,59,Paused
30258,2024-09-26,Search Engine,Gen Z,2905,700042,4200,310,Completed
30259,2024-10-26,Affiliate,General,,520311,23934,550,Active
30260,2023-07-13,email,Millennials,3048,484223,17916,1397,Active
30261,2023-11-01,Social Media,B2B ,3130,834217,20855,1689,Paused
30262,2024-01-03,Social Media,  Gen Z,14261,81000,2430,230,Paused
30262,2024-01-03,Social Media,  Gen Z,14261,81000,2430,230,Paused
30263,2024-05-29,email,Millennials,13462,629507,18255,54,Completed
30264,2024-07-05,Search Engine,General,8708,595487,4763,361,Paused
30265,2024-03-23,Social Media,Millennials,4813,306281,10107,222,Active
30266,2023-10-22,Social Media,  Gen Z,,191524,8044,217,Paused
30267,2024-07-31,Email,General,5498,255901,12283,1068,Paused
30268,2023-02-06,Social Media,Gen Z,10574,508574,8137,309,Paused
30269,2024-12-24,Affiliate,General,9953,565708,25456,2341,Active
30270,09/07/2024,Social Media,B2B ,10153,688756,15152,378,Active
30271,2024-09-06, social media ,B2B ,12640,833366,16667,33,Active
30272,06/12/2023,Social Media,Gen Z,12389,375194,8629,828,Completed
30273,2024-10-04,Social Media,  Gen Z,13535,728885,21866,2142,Paused
30274,2024-09-15,email,B2B ,12497,233792,1870,110,Active
30275,2024-06-20,Social Media,General,8847,726693,4360,361,Active
30276,2023-12-08,Search Engine,B2B ,12997,154310,4937,222,Active
30277,2024-11-06, social media ,Millennials,972,333404,4334,385,Active
30278,2024-08-15,Search Engine,  Gen Z,3986,770993,32381,3076,Paused
30279,2023-11-05,Social Media,General,1658,791853,36425,3533,Completed
30280,2023-01-30,email,  Gen Z,5910,593788,21376,1389,Paused
30281,2023-07-11,Email,B2B,622,45192,1898,115,Active
30282,2024-11-11, social media ,Gen Z,7508,154896,3407,330,Active
30283,2024-09-20,Email,  Gen Z,4783,845334,13525,351,Completed
30284,2023-03-23,Social Media,Gen Z,9476,597926,26906,376,Active
30285,2024-11-04,Search Engine,Millennials,4619,539959,15658,407,Paused
30286,2024-07-18, social media ,Gen Z,2269,305506,14969,538,Completed
30287,2023-09-09,Social Media,  Gen Z,6426,974763,39965,359,Active
30288,2023-02-19,Email,General,2059,408196,15103,1057,Completed
30289,2024-11-19,Social Media,Millennials,8920,696478,21590,302,Completed
30290,2024-06-18,Affiliate,Gen Z,,109003,3379,152,Paused
30291,10/11/2023,email,General,7323,847049,26258,1706,Active
30292,2023-05-18,Social Media,  Gen Z,1742,925410,8328,408,Completed
30293,2023-05-07,email,Gen Z,14741,375692,12022,156,Active
30294,2024-07-27,Social Media,B2B,982,901535,34258,1849,Active
30295,2023-06-05,email,  Gen Z,7163,252946,8600,301,Completed
30296,2024-06-28,email,General,6784,741601,11124,44,Active
30297,2023-10-06,Affiliate,  Gen Z,10860,351950,4927,364,Paused
30298,2023-12-11,Affiliate,Gen Z,14960,428043,8988,422,Completed
30299,2024-01-03,Social Media,B2B,6154,98918,494,15,Active
30300,10/27/2024,Social Media,B2B,9061,429852,7737,108,Active
30301,2023-05-25,Social Media,Gen Z,5325,101128,4146,273,Paused
30302,2023-11-11, social media ,B2B ,3797,207587,2075,153,Active
30303,2024-09-04,Email,Gen Z,9482,197786,9295,158,Completed
30304,2024-02-12, social media ,B2B,4161,283631,13047,665,Paused
30305,2023-12-22,Affiliate,General,,992848,8935,17,Paused
30306,2024-06-04,Social Media,General,4512,45198,1446,102,Paused
30307,2024-03-06,Search Engine,  Gen Z,11649,392690,16492,1352,Paused
30308,2024-08-07,email,B2B,1377,192639,9054,54,Completed
30309,2024-04-09,Search Engine,B2B,9254,91602,4030,358,Completed
30310,2024-08-07, social media ,Millennials,14126,815828,30185,543,Paused
30311,2024-04-03,Affiliate,B2B ,13216,860050,20641,1568,Paused
30312,2023-03-28,Email,B2B ,6241,851732,33217,3122,Paused
30313,2023-05-23,email,General,11089,948750,10436,344,Paused
30314,2023-06-17,Email,B2B ,12926,949514,4747,218,Completed
30315,2024-09-02,Affiliate,  Gen Z,3726,246536,10847,455,Paused
30316,2023-06-15,email,  Gen Z,4904,625298,16257,1007,Active
30317,2023-05-21,Social Media,Millennials,9952,199018,8159,750,Active
30318,2024-12-10,Social Media,  Gen Z,,116867,5259,241,Active
30319,11/22/2023,email,B2B ,713,550407,12108,1186,Active
30320,2023-11-02, social media ,  Gen Z,14705,525649,18397,1103,Completed
30321,2024-06-28,Social Media,B2B ,5765,610828,12827,923,Paused
30322,2024-09-23,Social Media,Millennials,13270,836995,13391,709,Active
30323,2024-08-05,Email,Millennials,,920345,20247,1559,Paused
30324,2024-08-20,Email,General,3372,894901,35796,2183,Paused
30325,2023-04-05,Social Media,B2B ,10057,819351,35232,1197,Active
30326,2024-02-13, social media ,B2B,1824,576270,14406,504,Completed
30327,2023-06-02, social media ,  Gen Z,4311,844478,17734,1294,Paused
30328,2023-06-08,Affiliate,Gen Z,1601,615757,18472,1699,Active
30329,2023-09-28,Affiliate,  Gen Z,10946,124338,1740,27,Active
30330,2023-09-25,Email,  Gen Z,10360,319178,1595,154,Paused
30331,2024-11-18,Email,  Gen Z,14561,204285,8579,669,Completed
30332,2024-05-26,Social Media,B2B,6249,942409,15078,768,Paused
30333,2023-11-28,email,B2B ,1688,571378,9142,841,Active
30334,2023-12-24,email,B2B,11515,418971,2513,77,Paused
30335,2024-07-27,Social Media,  Gen Z,4252,532257,3725,264,Completed
30336,2024-02-04,Affiliate,Gen Z,4834,505516,8593,464,Completed
30337,2024-03-14,Search Engine,B2B,,20421,857,41,Active
30338,2024-02-28,email,General,3040,919560,34023,2925,Paused
30339,2023-01-20,email,B2B ,10698,794774,22253,89,Completed
30340,2023-11-02,Search Engine,General,12514,507463,3552,309,Paused
30341,2024-03-07,Email,Gen Z,11362,72930,1531,124,Active
30342,2023-10-18,Social Media,General,3369,384351,2690,258,Active
30343,2024-05-04, social media ,Millennials,8923,287707,4027,326,Paused
30344,2024-05-03,Email,B2B,9760,354035,8850,601,Active
30345,2024-02-06,Email,General,4509,188955,6613,542,Paused
30346,2024-01-29, social media ,B2B,7474,460645,3685,217,Active
30347,2024-03-13,Email,Millennials,12688,499951,17998,917,Paused
30348,2024-09-20, social media ,B2B ,1544,841804,5050,70,Completed
30349,2023-10-06,Email,General,4188,488432,2442,146,Paused
30350,2023-08-13,Search Engine,Gen Z,1511,502722,6535,84,Completed
30351,02/24/2024,Affiliate,General,10381,132097,1981,110,Active
30352,2023-06-23,Email,B2B ,3942,101769,1424,71,Completed
30353,2023-09-05,Email,B2B,686,248060,7193,690,Completed
30354,2023-12-22,Email,  Gen Z,9739,694154,30542,1130,Completed
30355,2024-09-24,Affiliate,B2B ,5516,78313,626,56,Paused
30356,2023-03-18, social media ,Gen Z,3490,862612,42267,84,Active
30357,2024-08-09, social media ,Millennials,3954,378275,10591,656,Paused
30358,2024-12-06,Email,  Gen Z,4939,879343,22862,1988,Completed
30358,2024-12-06,Email,  Gen Z,4939,879343,22862,1988,Completed
30359,2023-10-07, social media ,Millennials,7367,912606,4563,168,Completed
30360,2023-03-20,Search Engine,  Gen Z,2000,284749,10535,400,Completed
30361,2024-02-24, social media ,B2B ,4742,945619,9456,510,Active
30362,2024-08-03,Email,B2B,501,858977,27487,1649,Active
30363,2024-07-24,Social Media,General,6724,756455,9833,167,Paused
30364,2024-05-28,Social Media,B2B,10469,444162,3553,92,Paused
30365,2023-04-03,Email,B2B,10358,960042,41281,3137,Active
30366,2024-12-06,email,B2B ,10139,141046,2961,103,Active
30367,2024-03-04,Affiliate,Millennials,8427,639344,7672,406,Completed
30368,2024-10-25,Affiliate,Millennials,14489,633648,9504,294,Paused
30368,2024-10-25,Affiliate,Millennials,14489,633648,9504,294,Paused
30369,2023-02-26,Search Engine,General,601,400716,18833,1676,Active
30370,2024-02-05,Search Engine,  Gen Z,5998,335986,4703,272,Completed
30371,06/23/2024,Search Engine,Gen Z,6733,999552,37982,455,Completed
30372,2024-02-27, social media ,Gen Z,631,87834,3513,203,Completed
30373,2023-05-16, social media ,Gen Z,1510,62129,2795,25,Active
30374,2023-07-05,Search Engine,B2B,14342,322420,15153,242,Completed
30375,2024-03-25,Social Media,Millennials,4659,708854,7797,623,Active
30376,2024-01-30,email,Millennials,,253495,8872,186,Completed
30377,2023-06-26,Affiliate,  Gen Z,9838,951952,24750,1584,Completed
30378,2023-08-13,Email,  Gen Z,13083,489605,6364,598,Active
30379,2023-09-06,Email,B2B,9788,313139,11273,541,Completed
30380,2024-06-28,Search Engine,General,6248,46860,609,20,Paused
30381,2023-07-07,Email,  Gen Z,7145,781414,10158,20,Completed
30382,2024-12-23,email,General,,230498,2765,259,Active
30383,2023-05-16,Email,B2B ,3709,564687,6776,508,Completed
30384,2023-05-15,email,  Gen Z,11424,172984,7957,222,Completed
30385,2023-04-13, social media ,B2B ,13368,19018,912,15,Paused
30386,2024-05-11,Affiliate,General,11393,711844,23490,1973,Active
30387,2023-05-13,Affiliate,General,4427,952784,46686,140,Active
30388,2024-10-04,Search Engine,  Gen Z,8227,894571,9840,767,Completed
30389,2023-08-14,Affiliate,B2B,3742,251984,3527,225,Completed
30390,2023-12-08,Email,Gen Z,4069,737054,3685,66,Paused
30391,2024-08-05,email,Millennials,11518,530907,20174,1392,Active
30392,09/27/2024,email,Gen Z,12865,438822,16675,1367,Paused
30393,2024-04-06,Email,General,7203,502631,11560,890,Paused
30394,2023-11-14,Social Media,General,14584,858611,30051,2704,Active
30395,02/10/2024,Email,Gen Z,2602,686441,21279,893,Paused
30396,2024-07-10,Affiliate,  Gen Z,2692,593697,9499,265,Paused
30397,2023-01-22,Social Media,Gen Z,5026,677139,30471,426,Paused
30398,2024-04-25,Email,Millennials,5556,954957,36288,689,Active
30399,2024-11-02,Search Engine,  Gen Z,1928,932918,8396,545,Completed
30400,2023-06-18, social media ,Gen Z,2470,607471,27336,1448,Paused
30401,2024-10-04,email,General,13562,800038,14400,777,Active
30402,2024-09-05,email,B2B ,6675,75164,3607,18,Completed
