ProductID,OrderDate,DeliveryDate,Supplier,WarehouseLocation,QuantityOrdered,QuantityReceived,UnitCost,Status
40095,2023-01-11,2023-01-28, alpha corp ,New York DC,4475,4475,234,Delivered
40096,2023-05-11,,Alpha Corp,Chicago DC,4018,0,454,In Transit
40097,2024-03-19,,Beta Mfg,Dallas DC,4351,0,244,Delayed
40098,2023-11-26,2023-12-07,Alpha Corp, unknown,1757,1757,332,Delivered
40099,2024-11-19,2024-12-05,Gamma Logistics,Los Angeles DC,3437,3437,486,Delivered
40100,2024-05-27,,Beta Mfg, unknown,2048,0,358,In Transit
40101,2024-03-12,, alpha corp , unknown,2094,0,,In Transit
40102,2024-01-12,2024-01-20,Delta Supplies,Dallas DC,4724,4724,57,Delivered
40103,2024-01-05,2024-01-27, alpha corp ,Chicago DC,2314,2314,195,Delivered
40104,2024-03-29,2024-04-06,Gamma Logistics,New York DC,1318,1238,94,Delivered
40105,2024-01-04,,Gamma Logistics,New York DC,4973,0,210,Delayed
40106,2023-09-17,,Alpha Corp,New York DC,446,0,143,In Transit
40107,2024-06-22,,Beta Mfg,Chicago DC,2528,0,231,Delayed
40108,2023-03-20,,Gamma Logistics,Dallas DC,2928,0,436,Delayed
40109,2023-12-02,,Gamma Logistics,Los Angeles DC,3669,0,257,Delayed
40110,2023-03-08,,Gamma Logistics,New York DC,4053,0,324,In Transit
40111,2024-04-14,,Beta Mfg,Los Angeles DC,778,0,254,In Transit
40112,2024-08-21,,Gamma Logistics, unknown,3634,0,451,Delayed
40113,2023-02-18,,Beta Mfg, unknown,2738,0,192,In Transit
40114,2023-12-28,,Delta Supplies, unknown,3866,0,41,In Transit
40115,2024-10-20,,Gamma Logistics,Los Angeles DC,4066,0,193,Delayed
40116,2023-05-02,,Gamma Logistics,New York DC,1916,0,62,In Transit
40117,2024-11-13,2024-11-15,Gamma Logistics, unknown,3061,3061,81,Delivered
40118,2023-04-11,,Beta Mfg,Los Angeles DC,856,0,281,In Transit
40119,2023-06-14,,Beta Mfg,Chicago DC,4581,0,79,In Transit
40120,2023-02-07,, alpha corp ,Chicago DC,4488,0,393,Delayed
40121,2024-11-16,2024-12-13,Alpha Corp,Los Angeles DC,2747,2747,174,Delivered
40122,2024-09-28,2024-10-15,Delta Supplies,Dallas DC,777,777,414,Delivered
40123,2024-03-09,2024-03-30,Alpha Corp, unknown,4686,4686,418,Delivered
40124,2024-09-29,2024-10-10,Alpha Corp,New York DC,741,741,90,Delivered
40125,2023-01-05,2023-01-12,Beta Mfg,Dallas DC,2476,2476,,Delivered
40126,2023-03-26,, alpha corp ,Chicago DC,1925,0,352,In Transit
40127,2023-07-13,,Delta Supplies, unknown,1234,0,408,Delayed
40128,2024-05-09,2024-05-25,Gamma Logistics, unknown,519,519,220,Delivered
40129,2024-11-12,,Beta Mfg,Chicago DC,3397,0,161,In Transit
40130,2023-02-02,, alpha corp ,Chicago DC,2983,0,492,In Transit
40131,2023-07-13,,Delta Supplies,Los Angeles DC,4287,0,363,In Transit
40132,2023-06-28,, alpha corp ,New York DC,4546,0,451,Delayed
40133,2024-04-07,,Alpha Corp,Dallas DC,3489,0,440,In Transit
40134,2023-08-08,2023-09-01, alpha corp ,New York DC,4834,4834,32,Delivered
40135,2023-09-16,2023-10-07, alpha corp ,Dallas DC,3587,3587,123,Delivered
40136,2024-05-10,,Gamma Logistics,Dallas DC,1769,0,410,In Transit
40137,2023-10-14,,Alpha Corp,Los Angeles DC,3106,0,476,Delayed
40138,2023-03-16,, alpha corp , unknown,1188,0,246,Delayed
40139,2024-05-28,2024-06-04,Delta Supplies,Los Angeles DC,4132,4132,416,Delivered
40140,2023-04-10,,Gamma Logistics,Chicago DC,4922,0,196,Delayed
40141,2024-08-27,2024-09-09,Gamma Logistics,Los Angeles DC,2830,2830,158,Delivered
40142,2023-10-20,2023-11-04,Alpha Corp,Dallas DC,3768,3768,377,Delivered
40143,2024-11-12,, alpha corp ,Chicago DC,2636,0,39,In Transit
40144,2024-02-10,2024-03-08,Beta Mfg,Los Angeles DC,333,333,,Delivered
40145,2023-03-11,2023-03-19,Beta Mfg, unknown,1722,1722,454,Delivered
40146,2023-10-11,,Delta Supplies,Chicago DC,277,0,259,In Transit
40147,2024-07-25,,Alpha Corp,New York DC,1550,0,236,In Transit
40148,2023-07-14,,Delta Supplies, unknown,971,0,486,In Transit
40149,2023-07-26,2023-08-13,Alpha Corp, unknown,3282,3282,262,Delivered
40150,2023-02-18,,Gamma Logistics,Dallas DC,652,0,,In Transit
40151,2023-01-04,,Beta Mfg,Dallas DC,1230,0,43,In Transit
40152,2023-05-08,,Delta Supplies,Dallas DC,3064,0,287,In Transit
40153,2023-11-11,,Alpha Corp, unknown,638,0,268,Delayed
40154,2023-08-17,2023-09-14,Beta Mfg,Los Angeles DC,1582,1582,474,Delivered
40155,2024-09-23,, alpha corp , unknown,4871,0,67,In Transit
40156,2024-02-04,2024-02-06, alpha corp ,Los Angeles DC,3560,3560,423,Delivered
40157,2024-10-26,,Alpha Corp,Dallas DC,3380,0,,In Transit
40158,2024-08-16,,Beta Mfg,Dallas DC,2430,0,46,Delayed
40159,2023-11-15,2023-12-06, alpha corp ,Los Angeles DC,3697,3697,452,Delivered
40160,2023-08-20,,Delta Supplies,Los Angeles DC,4424,0,141,Delayed
40161,2024-07-06,2024-07-17,Beta Mfg,Chicago DC,1833,1833,,Delivered
40162,2023-01-19,, alpha corp ,New York DC,1545,0,92,In Transit
40163,2023-12-13,2023-12-22,Alpha Corp,Dallas DC,2410,2410,161,Delivered
40164,2023-02-01,,Delta Supplies,Los Angeles DC,1596,0,70,Delayed
40165,2024-02-10,,Beta Mfg, unknown,398,0,375,In Transit
40166,2024-10-15,,Delta Supplies, unknown,3570,0,338,Delayed
40167,2024-01-31,,Alpha Corp,New York DC,4359,0,379,In Transit
40168,2024-11-11,2024-12-05,Gamma Logistics,Los Angeles DC,620,527,26,Delivered
40169,2024-05-17,, alpha corp ,Dallas DC,4960,0,208,In Transit
40170,2024-09-26,,Delta Supplies,Chicago DC,3337,0,329,Delayed
40171,2024-02-04,,Delta Supplies,Dallas DC,3175,0,71,In Transit
40172,2023-11-02,,Beta Mfg,New York DC,4219,0,311,In Transit
40173,2024-10-30,2024-11-08,Delta Supplies,Los Angeles DC,3055,3055,404,Delivered
40174,2023-04-29,,Gamma Logistics,Dallas DC,3760,0,68,In Transit
40175,2023-07-10,,Beta Mfg, unknown,2677,0,239,Delayed
40176,2024-08-03,2024-08-25,Alpha Corp, unknown,1479,1479,435,Delivered
40177,2024-07-07,2024-07-10,Alpha Corp, unknown,887,887,173,Delivered
40178,2024-06-19,,Delta Supplies,Chicago DC,4754,0,280,Delayed
40179,2023-08-10,2023-09-07,Alpha Corp,Dallas DC,4933,4933,248,Delivered
40180,2023-11-02,2023-11-09, alpha corp ,Dallas DC,4985,4985,157,Delivered
40181,2024-09-12,2024-09-21,Gamma Logistics,Dallas DC,918,918,265,Delivered
40182,2024-06-16,,Delta Supplies, unknown,1242,0,184,Delayed
40183,2024-11-06,,Gamma Logistics, unknown,907,0,464,In Transit
40184,2023-11-22,,Delta Supplies,Dallas DC,1880,0,135,Delayed
40185,2023-12-12,,Gamma Logistics,New York DC,407,0,54,In Transit
40186,2023-06-14,2023-06-21, alpha corp ,New York DC,2378,2378,366,Delivered
40187,2023-12-25,,Delta Supplies,Los Angeles DC,255,0,391,In Transit
40188,2024-05-24,2024-06-07,Beta Mfg, unknown,1716,1716,393,Delivered
40189,2023-07-05,2023-07-11,Beta Mfg,Los Angeles DC,3675,3675,,Delivered
40190,2024-05-26,,Delta Supplies, unknown,3528,0,293,In Transit
40191,2024-05-31,2024-06-07,Beta Mfg,Los Angeles DC,220,220,361,Delivered
40192,2023-11-12,,Beta Mfg,New York DC,1997,0,435,Delayed
40193,2023-10-04,2023-10-25,Alpha Corp,Los Angeles DC,4639,4639,45,Delivered
40194,2023-02-22,2023-03-11,Beta Mfg,Los Angeles DC,1931,1931,196,Delivered
40195,2024-02-19,,Alpha Corp,Los Angeles DC,4340,0,184,Delayed
40196,2024-01-21,2024-02-09, alpha corp ,Los Angeles DC,424,424,432,Delivered
40197,2023-10-24,,Beta Mfg,Chicago DC,280,0,132,In Transit
40198,2023-04-09,,Gamma Logistics, unknown,4566,0,283,In Transit
40199,2023-06-27,,Delta Supplies,Dallas DC,3997,0,402,In Transit
40200,2024-04-21,2024-05-04,Beta Mfg, unknown,1942,1942,430,Delivered
40201,2024-02-23,,Delta Supplies,Chicago DC,4754,0,412,Delayed
40202,2024-09-11,,Beta Mfg,Los Angeles DC,533,0,100,In Transit
40203,2024-07-02,,Alpha Corp, unknown,228,0,277,Delayed
40204,2023-01-23,, alpha corp ,New York DC,3744,0,53,Delayed
40205,2023-11-23,2023-12-19,Delta Supplies,Dallas DC,1488,1279,241,Delivered
40206,2023-01-02,,Gamma Logistics,Dallas DC,790,0,231,Delayed
40207,2023-03-21,2023-04-09,Gamma Logistics,Los Angeles DC,4438,4438,196,Delivered
40208,2023-03-31,,Gamma Logistics, unknown,4936,0,111,In Transit
40209,2023-10-09,,Gamma Logistics,Dallas DC,1320,0,404,Delayed
40210,2024-01-29,, alpha corp ,Dallas DC,4798,0,300,In Transit
40211,2023-12-19,, alpha corp ,Los Angeles DC,4367,0,131,Delayed
40212,2024-02-21,2024-03-20,Gamma Logistics,Los Angeles DC,4138,4138,395,Delivered
40213,2023-03-05,,Gamma Logistics,Dallas DC,1115,0,216,Delayed
40214,2024-07-03,,Alpha Corp,Los Angeles DC,4066,0,78,In Transit
40215,2024-11-14,,Delta Supplies,Dallas DC,3162,0,340,In Transit
40216,2024-04-13,2024-04-25,Alpha Corp, unknown,4057,4057,308,Delivered
40217,2024-08-06,,Alpha Corp,Dallas DC,2942,0,405,Delayed
40218,2024-09-17,,Delta Supplies,New York DC,2998,0,310,In Transit
40219,2024-09-04,, alpha corp ,Chicago DC,1576,0,,In Transit
40220,2024-02-23,,Beta Mfg,New York DC,2170,0,246,In Transit
40221,2024-04-25,2024-05-10,Beta Mfg,Chicago DC,963,963,,Delivered
40222,2023-05-18,,Delta Supplies,New York DC,4482,0,326,In Transit
40223,2023-07-16,, alpha corp ,New York DC,511,0,62,In Transit
40224,2023-11-25,,Alpha Corp,Los Angeles DC,1255,0,442,In Transit
40225,2023-11-26,2023-12-11,Alpha Corp,Los Angeles DC,1112,1112,138,Delivered
40226,2024-10-19,,Alpha Corp,Dallas DC,1373,0,369,Delayed
40227,2024-09-30,,Alpha Corp, unknown,4169,0,283,Delayed
40228,2024-10-12,2024-10-21,Delta Supplies,Chicago DC,664,650,127,Delivered
40229,2023-09-16,,Delta Supplies,Chicago DC,916,0,346,Delayed
40230,2023-02-01,2023-02-09,Alpha Corp,Chicago DC,2389,2389,54,Delivered
40231,2024-10-13,2024-11-09,Beta Mfg,Los Angeles DC,677,677,397,Delivered
40232,2024-02-05,,Delta Supplies,Los Angeles DC,1056,0,227,In Transit
40233,2024-08-15,,Beta Mfg,Chicago DC,1358,0,151,In Transit
40234,2023-11-15,,Delta Supplies,Dallas DC,384,0,132,Delayed
40235,2023-09-11,,Beta Mfg, unknown,764,0,,In Transit
40236,2024-10-30,,Alpha Corp,Chicago DC,3459,0,229,Delayed
40237,2023-02-11,,Alpha Corp,Dallas DC,377,0,236,Delayed
40238,2024-11-30,,Delta Supplies,Chicago DC,3244,0,277,In Transit
40239,2024-03-30,,Beta Mfg,New York DC,2751,0,467,Delayed
40240,2023-07-17,2023-08-12,Beta Mfg,New York DC,3834,3834,113,Delivered
40241,2024-05-19,2024-05-22,Gamma Logistics, unknown,2034,2034,,Delivered
40242,2024-07-04,, alpha corp ,Los Angeles DC,2050,0,451,In Transit
40243,2023-04-05,,Beta Mfg,Los Angeles DC,2615,0,479,Delayed
40244,2023-12-26,,Beta Mfg,Dallas DC,3328,0,384,Delayed
40245,2024-08-17,,Delta Supplies,Dallas DC,4204,0,454,Delayed
40246,2023-10-04,,Beta Mfg,New York DC,274,0,428,In Transit
40247,2023-03-06,, alpha corp ,Dallas DC,603,0,287,Delayed
40248,2023-09-13,,Gamma Logistics,Chicago DC,3829,0,219,In Transit
40249,2024-06-21,,Delta Supplies, unknown,1188,0,356,In Transit
40250,2023-03-20,,Gamma Logistics, unknown,4965,0,350,In Transit
40251,2024-08-19,,Beta Mfg,Chicago DC,619,0,201,In Transit
40252,2024-01-10,,Alpha Corp,Dallas DC,1075,0,337,In Transit
40253,2023-04-12,2023-05-01,Beta Mfg,Los Angeles DC,2454,2454,391,Delivered
40254,2024-10-20,, alpha corp ,New York DC,4905,0,144,Delayed
40255,2023-09-15,,Alpha Corp, unknown,2611,0,168,Delayed
40256,2024-11-15,,Delta Supplies,New York DC,1237,0,258,Delayed
40257,2024-08-13,,Alpha Corp,New York DC,4836,0,114,In Transit
40258,2023-12-05,2023-12-21,Gamma Logistics,Los Angeles DC,461,461,335,Delivered
40259,2024-02-05,2024-02-16,Gamma Logistics,Los Angeles DC,2120,2120,392,Delivered
40260,2024-07-28,,Beta Mfg,Los Angeles DC,2272,0,285,In Transit
40261,2023-07-10,,Alpha Corp,New York DC,623,0,,Delayed
40262,2023-02-12,,Beta Mfg, unknown,3270,0,388,In Transit
40263,2023-06-01,,Gamma Logistics,Los Angeles DC,2376,0,239,Delayed
40264,2023-05-27,,Delta Supplies,Los Angeles DC,1367,0,245,Delayed
40265,2024-08-06,2024-08-30,Beta Mfg,New York DC,3343,3343,43,Delivered
40266,2024-09-03,, alpha corp ,Los Angeles DC,1082,0,26,In Transit
40267,2024-08-17,,Delta Supplies,New York DC,3063,0,,In Transit
40268,2024-05-23,, alpha corp ,New York DC,408,0,175,In Transit
40269,2023-03-08,, alpha corp , unknown,1212,0,31,Delayed
40270,2024-01-05,, alpha corp ,New York DC,826,0,46,In Transit
40271,2024-08-12,,Beta Mfg,New York DC,954,0,95,Delayed
40272,2023-01-11,,Beta Mfg, unknown,4680,0,109,In Transit
40273,2023-03-05,,Gamma Logistics,Los Angeles DC,3681,0,355,Delayed
40274,2023-01-04,,Beta Mfg,Chicago DC,4950,0,355,Delayed
40275,2024-05-02,, alpha corp , unknown,4145,0,292,In Transit
40276,2024-05-20,,Alpha Corp,Dallas DC,902,0,85,Delayed
40277,2024-02-23,2024-03-08, alpha corp ,Los Angeles DC,4219,4219,214,Delivered
40278,2024-09-20,,Gamma Logistics,Los Angeles DC,4202,0,467,In Transit
40279,2024-07-11,2024-07-14,Alpha Corp,Chicago DC,1660,1660,51,Delivered
40280,2024-03-14,,Gamma Logistics,Los Angeles DC,3235,0,426,In Transit
40281,2024-01-21,,Delta Supplies,Chicago DC,1219,0,343,In Transit
40282,2023-06-02,2023-06-29, alpha corp ,Los Angeles DC,4990,4391,33,Delivered
40283,2024-02-01,, alpha corp ,Dallas DC,4645,0,383,Delayed
40284,2024-09-10,2024-09-15,Beta Mfg,New York DC,280,271,33,Delivered
40285,2024-07-27,, alpha corp ,Chicago DC,1359,0,,In Transit
40286,2023-06-24,2023-07-15,Beta Mfg,New York DC,364,334,207,Delivered
40287,2024-10-26,,Delta Supplies,New York DC,3150,0,469,Delayed
40288,2023-12-19,, alpha corp ,Chicago DC,989,0,408,Delayed
40289,2023-02-20,, alpha corp ,New York DC,4787,0,312,In Transit
40290,2023-08-05,,Delta Supplies,Dallas DC,2963,0,363,In Transit
40291,2024-08-03,,Alpha Corp,Chicago DC,3206,0,250,In Transit
40292,2023-08-25,2023-08-28, alpha corp , unknown,215,215,143,Delivered
40293,2023-03-12,,Alpha Corp,Chicago DC,258,0,60,In Transit
40294,2023-01-12,,Delta Supplies,Dallas DC,3240,0,29,In Transit
40295,2023-10-24,,Alpha Corp,Los Angeles DC,3402,0,394,Delayed
40296,2023-10-29,,Gamma Logistics,Los Angeles DC,3700,0,34,In Transit
40297,2023-11-04,2023-11-21, alpha corp ,Los Angeles DC,275,275,195,Delivered
40298,2023-02-11,,Alpha Corp,Dallas DC,2618,0,378,In Transit
40299,2023-04-18,,Beta Mfg,Los Angeles DC,2818,0,87,In Transit
40300,2023-10-12,,Beta Mfg,Chicago DC,3380,0,264,In Transit
40301,2023-06-15,,Beta Mfg,New York DC,2924,0,411,In Transit
40302,2023-04-04,,Delta Supplies, unknown,321,0,491,Delayed
40303,2024-06-10,, alpha corp ,Chicago DC,3426,0,352,In Transit
40304,2023-03-22,,Gamma Logistics,Dallas DC,1477,0,71,In Transit
40305,2024-08-07,,Gamma Logistics,Chicago DC,4307,0,425,Delayed
40306,2024-08-28,,Delta Supplies,Dallas DC,4667,0,,Delayed
40307,2024-05-08,,Beta Mfg,Chicago DC,960,0,329,In Transit
40308,2023-10-21,,Alpha Corp,New York DC,4128,0,27,Delayed
40309,2024-08-25,2024-09-04,Gamma Logistics, unknown,3505,3505,38,Delivered
40310,2023-01-09,,Alpha Corp,New York DC,4449,0,143,In Transit
40311,2023-12-28,2024-01-03,Delta Supplies,Los Angeles DC,2108,1728,61,Delivered
40312,2023-06-14,2023-07-05,Gamma Logistics,Chicago DC,4549,4321,12,Delivered
40313,2024-05-09,,Delta Supplies,Los Angeles DC,3644,0,327,Delayed
40314,2023-12-16,2023-12-26,Beta Mfg,New York DC,3859,3859,343,Delivered
40315,2023-12-06,, alpha corp ,Dallas DC,1599,0,424,Delayed
40316,2023-06-05,,Beta Mfg, unknown,911,0,60,In Transit
40317,2023-08-14,2023-08-30,Delta Supplies, unknown,275,275,290,Delivered
40318,2024-06-17,,Alpha Corp,Dallas DC,416,0,85,Delayed
40319,2023-07-07,,Alpha Corp,Chicago DC,2800,0,462,In Transit
40320,2023-05-21,, alpha corp , unknown,171,0,206,In Transit
40321,2023-03-03,2023-03-29,Delta Supplies,Los Angeles DC,3619,3619,72,Delivered
40322,2024-07-19,,Delta Supplies, unknown,4750,0,346,In Transit
40323,2023-01-16,,Alpha Corp,New York DC,3108,0,189,Delayed
40324,2023-11-04,,Gamma Logistics,Los Angeles DC,3447,0,47,In Transit
40325,2023-10-22,,Gamma Logistics,New York DC,3403,0,179,In Transit
40326,2024-03-30,,Beta Mfg,Chicago DC,791,0,462,In Transit
40327,2024-10-13,2024-11-07,Delta Supplies,Chicago DC,2619,2619,170,Delivered
40328,2023-12-22,2024-01-01,Beta Mfg,Dallas DC,4787,4787,32,Delivered
40329,2023-02-05,2023-02-14,Alpha Corp,Los Angeles DC,3731,3731,177,Delivered
40330,2023-09-19,2023-10-12,Delta Supplies,Dallas DC,2416,2416,259,Delivered
40331,2024-10-18,,Delta Supplies,New York DC,1744,0,55,Delayed
40332,2024-04-09,2024-04-22,Beta Mfg, unknown,1397,1117,198,Delivered
40333,2024-08-02,,Gamma Logistics,Dallas DC,2951,0,385,Delayed
40334,2024-07-06,,Gamma Logistics,Chicago DC,1067,0,379,In Transit
40335,2023-10-23,,Gamma Logistics,Dallas DC,2273,0,25,In Transit
40336,2024-06-15,2024-06-22,Beta Mfg,Dallas DC,2659,2659,109,Delivered
40337,2024-06-10,,Alpha Corp, unknown,3108,0,195,In Transit
40338,2023-02-14,,Beta Mfg, unknown,244,0,436,Delayed
40339,2023-05-27,,Gamma Logistics,Dallas DC,3624,0,410,Delayed
40340,2024-03-27,, alpha corp ,Los Angeles DC,437,0,,Delayed
40341,2024-07-28,,Alpha Corp,Chicago DC,2977,0,92,Delayed
40342,2023-04-22,,Beta Mfg,Los Angeles DC,313,0,318,In Transit
40343,2023-01-19,2023-02-03,Delta Supplies,New York DC,4459,4459,308,Delivered
40344,2024-03-31,,Gamma Logistics,Los Angeles DC,626,0,110,Delayed
40345,2024-01-03,,Gamma Logistics,Los Angeles DC,1289,0,155,Delayed
40346,2023-01-16,,Gamma Logistics,Dallas DC,341,0,105,Delayed
40347,2023-01-06,,Delta Supplies,New York DC,3132,0,190,Delayed
40348,2024-04-03,,Alpha Corp,Los Angeles DC,1130,0,78,In Transit
40349,2023-12-12,,Beta Mfg,Los Angeles DC,4777,0,351,Delayed
40350,2023-03-26,2023-03-28,Delta Supplies, unknown,3674,3674,382,Delivered
40351,2024-11-30,,Gamma Logistics,Chicago DC,3250,0,404,Delayed
40352,2024-10-06,2024-11-02,Gamma Logistics, unknown,4357,4357,,Delivered
40353,2023-04-21,2023-05-06,Gamma Logistics,Chicago DC,1890,1530,197,Delivered
