TicketID,DateOpened,DateClosed,Category,Priority,AgentName,ResolutionTimeHrs,CSAT_Score
80152,2024-11-06,2024-11-08,Billing,Low,Sarah K.,63,4
80153,2024-09-29,2024-09-30,BILLING,Urgent,Mike T.,34,3
80154,2024-06-19,2024-06-22, technical ,Medium,Tom B.,84,2
80155,2024-06-05,2024-06-08,General,Medium,Tom B.,88,2
80156,2024-06-28,2024-07-01,Technical,High,Sarah K.,90,
80157,2024-12-14,2024-12-18,Account,Low,Jessica L.,119,5
80158,2024-06-29,2024-06-30,BILLING,High,David W.,26,4
80159,2024-11-21,2024-11-21,BILLING,Low,Mike T.,6,1
80160,2024-04-21,2024-04-21,Technical,Medium,Tom B.,23,2
80161,2024-02-10,2024-02-13,Billing,Low,Jessica L.,81,3
80162,2024-02-01,2024-02-05, technical ,Medium,David W.,103,2
80163,2024-04-23,2024-04-23,General,Low,Sarah K.,16,4
80164,2024-02-22,2024-02-25,BILLING,Low,David W.,77,4
80165,2024-08-11,2024-08-13, technical ,Low,Sarah K.,64,4
80166,2024-10-25,2024-10-27,Account,Low,Jessica L.,60,
80167,2024-01-24,2024-01-27, technical ,Low,Tom B.,84,
80168,2024-11-01,2024-11-01, technical ,Medium,Sarah K.,17,
80169,2024-07-05,2024-07-06,Billing,High,Mike T.,43,5
80170,01/16/2024,2024-01-17,General,Urgent,David W.,32,4
80171,2024-09-17,2024-09-17,General,Urgent,Mike T.,6,
80172,2024-08-25,2024-08-25,BILLING,Medium,Sarah K.,21,1
80173,2024-09-01,2024-09-05,Technical,Low,Tom B.,99,5
80174,2024-09-21,2024-09-24,Billing,High,Tom B.,74,2
80175,2024-05-06,2024-05-07,BILLING,Urgent,Mike T.,33,1
80176,2024-02-29,2024-03-01,Billing,Urgent,Jessica L.,29,3
80177,2024-02-06,2024-02-06,Technical,Urgent,Jessica L.,20,2
80178,2024-12-08,2024-12-11,General,Medium,Sarah K.,-80,2
80179,2024-10-12,2024-10-13,BILLING,Medium,Tom B.,41,
80180,2024-01-15,2024-01-15,Account,Low,Sarah K.,22,5
80181,2024-11-07,,General,Medium,David W.,,
80182,2024-09-17,2024-09-17,BILLING,Urgent,Mike T.,23,3
80183,2024-11-13,2024-11-14,Account,High,Tom B.,28,2
80184,2024-05-17,2024-05-17,BILLING,Urgent,Sarah K.,6,
80185,2024-06-17,2024-06-19,Technical,Medium,Mike T.,55,2
80186,2024-07-22,2024-07-22,BILLING,Urgent,Tom B.,3,
80187,2024-01-10,2024-01-12,Technical,High,David W.,59,1
80188,2024-06-23,2024-06-24,General,Urgent,Jessica L.,34,5
80189,2024-03-07,2024-03-11,General,Low,David W.,100,
80190,2024-04-22,2024-04-23,Billing,Medium,Mike T.,44,4
80191,2024-08-20,,General,High,Jessica L.,,
80192,2024-01-12,2024-01-12,BILLING,Medium,Tom B.,1,2
80193,2024-02-10,2024-02-14,General,Low,Tom B.,118,4
80194,2024-02-11,2024-02-15,Account,Low,Tom B.,112,4
80195,2024-10-24,2024-10-25,General,Urgent,Mike T.,29,3
80196,2024-06-19,2024-06-19,General,Urgent,Jessica L.,21,4
80197,2024-09-14,2024-09-16,Billing,Medium,Tom B.,50,4
80198,2024-08-10,2024-08-13,Billing,Low,Jessica L.,74,4
80199,2024-11-12,2024-11-12,Account,High,Sarah K.,1,3
80200,2024-08-12,2024-08-16,BILLING,Low,Sarah K.,101,
80201,2024-12-30,,Billing,Medium,Mike T.,,
80202,2024-06-29,2024-07-02,BILLING,Low,David W.,82,1
80203,2024-06-19,2024-06-19,BILLING,Medium,Mike T.,22,2
80204,2024-12-20,2024-12-23,BILLING,Low,Sarah K.,91,1
80205,2024-12-15,2024-12-17,General,Low,David W.,58,
80206,2024-03-01,2024-03-01,General,Medium,Tom B.,18,3
80207,2024-01-31,2024-02-02,Account,High,Tom B.,61,4
80208,2024-08-02,2024-08-02,General,Low,Jessica L.,22,4
80209,2024-08-08,2024-08-12,Technical,High,Tom B.,108,4
80210,2024-07-26,2024-07-30,Technical,Medium,Sarah K.,107,
80211,2024-04-07,2024-04-09,Technical,Medium,David W.,54,2
80212,2024-07-04,2024-07-06, technical ,Low,David W.,48,4
80213,2024-02-18,2024-02-18,General,Low,Mike T.,2,2
80214,2024-05-17,2024-05-21, technical ,High,David W.,98,5
80215,06/18/2024,2024-06-18,BILLING,Medium,David W.,19,1
80216,2024-02-13,2024-02-16,Technical,Low,Tom B.,80,
80217,2024-12-22,2024-12-23,Technical,Urgent,Mike T.,32,1
80218,2024-01-16,2024-01-16,Account,Medium,Jessica L.,16,1
80219,2024-03-26,2024-03-27,General,Medium,Jessica L.,38,4
80220,2024-07-31,2024-07-31,BILLING,Urgent,David W.,13,
80221,2024-06-01,2024-06-01,General,Urgent,Jessica L.,12,5
80222,2024-01-28,2024-01-31, technical ,Low,Mike T.,83,4
80223,2024-07-14,,Account,Urgent,Sarah K.,,
80224,2024-09-27,2024-10-01,Technical,Medium,David W.,118,4
80225,2024-08-07,2024-08-07,Technical,Urgent,Mike T.,9,4
80226,2024-11-03,2024-11-04, technical ,Urgent,Sarah K.,31,1
80227,2024-09-28,2024-09-28, technical ,Medium,Tom B.,5,3
80228,2024-09-14,,General,Urgent,Tom B.,,
80229,2024-04-27,2024-04-30,BILLING,High,Sarah K.,92,1
80230,2024-06-24,2024-06-24,General,Urgent,Tom B.,11,5
80231,2024-12-02,2024-12-02,Account,Low,Mike T.,15,4
80232,2024-09-22,2024-09-23,BILLING,Urgent,Jessica L.,32,3
80233,2024-01-15,,General,Urgent,Jessica L.,,
80234,2024-03-16,,Billing,Low,Sarah K.,,
80235,2024-01-17,2024-01-18, technical ,Urgent,Mike T.,36,5
80236,2024-06-25,2024-06-25,Account,Urgent,Mike T.,4,5
80237,2024-01-21,2024-01-22,Account,High,David W.,26,1
80238,2024-09-14,2024-09-15, technical ,Low,Tom B.,36,4
80239,06/23/2024,2024-06-23,General,Low,Mike T.,4,1
80240,2024-04-26,2024-04-28, technical ,Medium,Tom B.,51,2
80241,2024-10-27,,Billing,Medium,Jessica L.,,
80242,2024-04-05,2024-04-08,Billing,Low,Sarah K.,90,
80243,2024-02-24,2024-02-24,Account,Medium,Tom B.,13,1
80244,2024-05-01,2024-05-02,Account,Medium,Jessica L.,47,5
80245,2024-05-06,,General,Low,David W.,,
80246,2024-08-21,2024-08-22,Account,Urgent,Sarah K.,31,5
80247,2024-08-21,2024-08-21,Account,Urgent,Mike T.,6,
80248,2024-09-26,2024-09-27,General,High,Tom B.,43,4
80249,2024-04-17,2024-04-20, technical ,Low,Jessica L.,88,1
80250,2024-12-15,2024-12-19,General,Medium,David W.,117,
80251,2024-11-02,2024-11-03,General,High,Sarah K.,47,
80252,2024-10-07,2024-10-10,Technical,High,Jessica L.,91,2
80253,2024-01-17,2024-01-18,Account,High,David W.,43,
80254,2024-10-31,2024-11-04,General,Low,Jessica L.,101,
80255,2024-02-11,2024-02-11,Billing,High,Jessica L.,16,1
80256,2024-11-26,2024-11-26,BILLING,High,Mike T.,23,5
80257,2024-10-18,2024-10-21, technical ,Low,Tom B.,95,1
80258,05/19/2024,2024-05-22,Technical,Low,David W.,95,
80259,2024-03-29,2024-03-31,General,Medium,Sarah K.,64,1
80260,2024-09-24,2024-09-27,BILLING,Low,David W.,89,5
80261,2024-11-16,2024-11-17,Account,Urgent,Mike T.,32,
80262,2024-07-28,2024-07-29,BILLING,High,David W.,40,
80263,2024-09-01,2024-09-05,Technical,Low,Sarah K.,105,5
80264,2024-05-09,2024-05-09,Billing,Low,David W.,22,4
80265,2024-05-31,2024-06-01,BILLING,Medium,Sarah K.,46,2
80266,2024-12-03,,BILLING,Medium,Sarah K.,,
80267,2024-03-13,2024-03-13,General,Urgent,Sarah K.,9,1
80268,2024-09-06,,Account,Low,Sarah K.,,
80269,2024-11-28,2024-11-29,Technical,Urgent,Sarah K.,27,5
80270,2024-10-09,2024-10-13, technical ,High,Sarah K.,104,5
80271,2024-05-17,2024-05-17,Billing,High,Sarah K.,14,
80272,2024-11-08,2024-11-09,Technical,Urgent,David W.,29,
80273,2024-04-13,2024-04-16,BILLING,High,David W.,89,4
80274,2024-01-29,2024-02-01,Billing,Medium,David W.,78,3
80275,2024-09-10,2024-09-14, technical ,Low,Jessica L.,115,5
80276,2024-05-16,2024-05-18,BILLING,Low,Sarah K.,60,
80277,2024-01-19,2024-01-19,Technical,Urgent,Sarah K.,19,5
80278,2024-06-25,2024-06-25,Technical,Urgent,Mike T.,1,
80279,2024-07-11,2024-07-14,General,Medium,Tom B.,93,1
80280,2024-03-28,,General,Medium,Sarah K.,,
80281,2024-01-13,2024-01-15,Billing,Medium,Mike T.,60,4
80282,2024-11-26,2024-11-27,Billing,Medium,Jessica L.,41,5
80283,2024-11-02,2024-11-05,Account,Low,David W.,83,4
80284,2024-11-09,,BILLING,Low,Sarah K.,,
80285,2024-05-13,2024-05-15, technical ,Medium,Jessica L.,55,3
80286,2024-07-30,2024-07-30,General,Low,David W.,16,1
80287,2024-02-01,2024-02-01,General,Low,Jessica L.,22,1
80288,2024-01-08,2024-01-11,General,Medium,Sarah K.,72,3
80289,2024-09-12,,Billing,High,Jessica L.,,
80290,2024-04-02,2024-04-06, technical ,Medium,Tom B.,104,5
80291,2024-07-10,2024-07-13,General,Medium,David W.,74,1
80292,2024-02-17,2024-02-17,BILLING,Urgent,Mike T.,1,4
80293,2024-01-28,2024-02-01, technical ,Low,Jessica L.,105,3
80294,2024-02-14,2024-02-15,Account,Urgent,Jessica L.,28,1
80295,2024-07-13,2024-07-13,General,Urgent,Tom B.,6,
80296,2024-03-03,,Technical,Low,David W.,,
80297,2024-04-28,2024-04-28,General,Medium,Sarah K.,4,5
80298,2024-12-23,2024-12-25,Account,Medium,Jessica L.,66,1
80299,2024-09-26,2024-09-28,General,High,Mike T.,51,3
80300,2024-04-03,2024-04-03,General,Urgent,Mike T.,15,2
80301,2024-02-06,2024-02-09,Account,Medium,David W.,76,3
80302,2024-07-06,,BILLING,Medium,Sarah K.,,
80303,2024-02-18,2024-02-18, technical ,Urgent,Sarah K.,20,3
80304,2024-08-14,2024-08-14,Technical,Urgent,Mike T.,-22,4
80305,2024-04-10,2024-04-11,General,Urgent,Jessica L.,33,5
80306,2024-02-20,2024-02-20,Technical,Medium,David W.,14,3
80307,2024-04-27,2024-04-27, technical ,Urgent,Tom B.,11,2
80308,2024-06-21,2024-06-21,General,Urgent,Jessica L.,2,5
80309,2024-06-13,2024-06-17,Technical,Low,David W.,117,5
80310,2024-11-19,2024-11-20, technical ,Low,Jessica L.,46,4
80311,2024-09-01,2024-09-02, technical ,High,Sarah K.,46,2
80312,2024-06-03,2024-06-03,General,Urgent,Sarah K.,-8,4
80313,2024-06-13,2024-06-16, technical ,Low,David W.,77,3
80314,09/28/2024,2024-10-01,Billing,Medium,David W.,73,
80315,2024-11-25,2024-11-25,Billing,Low,Jessica L.,6,5
80316,2024-10-27,2024-10-27,Account,Urgent,Sarah K.,9,
80317,2024-04-16,2024-04-18,Billing,Medium,Jessica L.,49,1
80318,2024-10-26,2024-10-30, technical ,Low,Sarah K.,115,3
80319,2024-05-19,2024-05-19,General,Urgent,David W.,8,2
80320,2024-06-08,2024-06-09,General,High,Tom B.,38,3
80321,2024-04-12,2024-04-16, technical ,Medium,Jessica L.,108,2
80322,2024-11-04,2024-11-04,General,High,Sarah K.,14,2
80323,2024-09-24,2024-09-24,General,Urgent,Sarah K.,6,1
80324,2024-07-17,2024-07-17,BILLING,Urgent,Mike T.,8,1
80325,2024-05-21,2024-05-24,General,Medium,David W.,88,1
80326,2024-04-03,2024-04-06,General,Low,Jessica L.,94,4
80327,2024-07-20,2024-07-20,Billing,Urgent,David W.,2,4
80328,2024-08-13,,Billing,Medium,Sarah K.,,
80329,2024-04-13,2024-04-13,Technical,Urgent,Mike T.,22,3
80330,2024-10-23,2024-10-26,Account,High,Jessica L.,82,1
80331,2024-09-15,2024-09-16,Account,Urgent,David W.,-28,1
80332,2024-03-02,2024-03-02,Account,Urgent,Mike T.,13,3
80333,2024-08-09,2024-08-09,Billing,Urgent,Tom B.,16,1
80334,2024-06-19,2024-06-19,Technical,Urgent,Sarah K.,17,2
80335,2024-11-16,,Technical,Medium,Sarah K.,,
80336,2024-08-08,2024-08-11,Account,High,Sarah K.,95,5
80337,2024-08-17,,Billing,Urgent,David W.,,
80338,2024-07-19,2024-07-22, technical ,High,Jessica L.,94,
80339,2024-03-02,2024-03-02,Billing,Urgent,Jessica L.,8,1
80340,2024-09-03,2024-09-07,General,High,Sarah K.,100,2
80341,2024-08-04,2024-08-05,BILLING,Medium,Tom B.,35,2
80342,2024-01-22,2024-01-24,Billing,Low,David W.,54,5
80343,2024-07-04,2024-07-05, technical ,High,Mike T.,28,1
80344,2024-12-29,2025-01-02,Technical,High,Sarah K.,103,4
80345,2024-03-04,2024-03-07,Technical,Low,David W.,88,3
80346,2024-07-16,2024-07-19,General,High,Tom B.,95,2
80347,2024-02-17,2024-02-17, technical ,Low,Jessica L.,16,
80348,2024-01-04,2024-01-05,Billing,Medium,Jessica L.,32,4
80349,2024-01-15,2024-01-15,BILLING,Urgent,Mike T.,5,4
80350,2024-05-16,2024-05-17, technical ,Medium,Mike T.,29,1
80351,2024-02-06,2024-02-06,Account,Medium,David W.,4,
80352,2024-03-31,,BILLING,Medium,David W.,,
80353,2024-11-06,2024-11-09,General,High,Tom B.,87,2
80354,2024-09-16,,Account,Urgent,Mike T.,,
80355,2024-06-15,2024-06-16,Account,High,David W.,34,2
80356,2024-01-05,2024-01-09,Technical,Medium,Jessica L.,107,3
80357,2024-08-22,2024-08-25,BILLING,High,Sarah K.,93,1
80358,2024-10-11,2024-10-12,General,Low,Tom B.,29,3
80359,2024-03-20,2024-03-23,Technical,High,Tom B.,82,3
80360,2024-01-27,2024-01-28,BILLING,Medium,Mike T.,36,5
80361,2024-12-27,2024-12-27,Account,Low,Mike T.,15,2
80362,2024-10-23,,Billing,Urgent,Jessica L.,,
80363,2024-05-26,2024-05-26,Account,Medium,Tom B.,20,3
80364,2024-04-07,2024-04-07, technical ,Urgent,Mike T.,3,
80365,2024-03-13,2024-03-13, technical ,High,Sarah K.,7,3
80366,2024-12-28,,BILLING,Medium,Tom B.,,
80367,2024-05-02,2024-05-06,BILLING,High,David W.,101,5
80368,2024-08-10,2024-08-13, technical ,Medium,David W.,82,4
80369,2024-11-12,2024-11-13,BILLING,High,Mike T.,44,5
80370,2024-04-13,2024-04-14,Technical,Low,David W.,47,2
80371,2024-07-07,2024-07-11,General,Medium,Tom B.,104,4
80372,2024-07-30,2024-07-31, technical ,Low,Sarah K.,24,2
80373,2024-06-09,2024-06-10,Billing,Urgent,Mike T.,25,4
80374,2024-08-07,2024-08-07,BILLING,Urgent,David W.,3,3
80375,2024-12-27,2024-12-27,Account,Urgent,Sarah K.,22,1
80376,2024-02-17,2024-02-18,BILLING,High,Tom B.,36,4
80377,2024-07-05,2024-07-07,BILLING,Medium,Mike T.,49,5
80378,2024-08-24,2024-08-25,Account,Urgent,Sarah K.,29,1
80379,2024-06-26,2024-06-30,General,High,Tom B.,98,3
80380,2024-04-15,2024-04-16,Account,High,Tom B.,33,5
80381,2024-11-16,2024-11-17,General,Low,Jessica L.,39,5
80382,2024-06-27,2024-06-28,Billing,Low,Jessica L.,32,1
80383,2024-01-25,2024-01-29,Billing,Medium,Jessica L.,106,5
80384,2024-12-18,2024-12-18,Account,Urgent,Tom B.,10,
80385,2024-07-04,2024-07-07,BILLING,High,Jessica L.,75,2
80386,2024-01-25,2024-01-27,Account,Medium,Jessica L.,69,1
80387,2024-12-23,2024-12-26,BILLING,High,Sarah K.,74,2
80388,2024-07-25,2024-07-25,Billing,Urgent,Tom B.,23,2
80389,2024-04-12,2024-04-13,BILLING,Medium,Jessica L.,38,1
80390,2024-02-18,2024-02-18, technical ,Medium,Jessica L.,8,2
80391,2024-05-12,2024-05-12,BILLING,Medium,Sarah K.,23,3
80392,2024-03-25,2024-03-29,General,Medium,David W.,107,3
80393,2024-02-24,2024-02-24,Billing,Urgent,Mike T.,3,4
80394,2024-02-08,2024-02-12, technical ,High,Jessica L.,115,3
80395,10/12/2024,, technical ,Low,Sarah K.,,
80396,2024-05-05,2024-05-07, technical ,High,Tom B.,69,5
80397,2024-01-17,2024-01-17,Billing,Low,Jessica L.,20,5
80398,2024-01-15,2024-01-15,Account,Urgent,Sarah K.,13,1
80399,2024-01-22,2024-01-26,BILLING,Low,Jessica L.,104,2
80400,2024-02-26,2024-02-26,Account,Urgent,Sarah K.,13,
80401,2024-02-10,2024-02-12,BILLING,Medium,Tom B.,66,5
80402,2024-05-25,2024-05-26, technical ,High,Sarah K.,27,5
80403,2024-08-05,2024-08-05, technical ,Urgent,Jessica L.,17,4
80404,2024-03-05,,Billing,Medium,Mike T.,,
80405,2024-07-04,2024-07-07,Technical,Medium,Jessica L.,86,1
80406,2024-10-24,2024-10-24,BILLING,Low,Mike T.,9,2
80407,2024-01-01,,Account,Medium,Jessica L.,,
80408,2024-06-02,2024-06-02,General,High,Mike T.,21,4
80409,2024-06-19,2024-06-20,General,Medium,Tom B.,27,
80410,2024-07-01,2024-07-01,General,Urgent,Sarah K.,21,5
80411,2024-11-28,2024-11-28,Account,Urgent,Sarah K.,11,2
80412,2024-08-02,2024-08-02,General,Urgent,Jessica L.,10,1
80413,2024-09-24,2024-09-26, technical ,Medium,David W.,60,3
80414,2024-07-09,2024-07-10,BILLING,Urgent,Mike T.,29,4
80415,2024-03-12,2024-03-12,BILLING,High,Mike T.,4,4
80416,2024-04-30,, technical ,Medium,Sarah K.,,
80417,2024-01-12,2024-01-15,General,Low,David W.,95,5
80418,2024-08-24,2024-08-28,BILLING,High,David W.,111,2
